set,size,hits
COG complex,8,5
CCC complex,13,6
COG1-COG8-COG2-COG3-COG4 subcomplex,5,4
"CCC-Wash (WASH1, FAM21C) complex",15,6
CCDC22-CCDC93-C16orf62 complex,3,3
Golgi vesicle transport,415,27
endosome,993,44
Golgi transport complex,14,5
proton-transporting V-type ATPase complex,27,6
endocytic vesicle membrane,190,15
endocytic vesicle,335,20
vesicle tethering complex,75,9
cytoplasmic vesicle,2433,81
intracellular vesicle,2438,81
intracellular anatomical structure,14808,350
COMMD1-CCDC22-CCDC93-C16orf62 complex,4,3
protein transport,1754,67
establishment of protein localization,1866,70
vesicle organization,342,22
proton-transporting two-sector ATPase complex,54,7
membrane-bounded organelle,13201,317
endomembrane system organization,572,30
cytoplasmic vesicle membrane,789,33
phagocytic vesicle membrane,75,8
phagocytic vesicle,139,11
COPI-coated vesicle,28,5
coated vesicle,296,17
vesicle membrane,1183,44
autophagosome,98,9
organelle,14027,331
CCDC22-CCDC93-C16orf62-FAM21-WASH1 complex,5,3
Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex,5,3
COG1-COG8-COG5-COG6-COG7 subcomplex,5,3
coated vesicle membrane,177,12
late endosome,285,16
intracellular membrane-bounded organelle,12046,291
vacuolar proton-transporting V-type ATPase complex,19,4
endomembrane system,4651,129
pH reduction,59,8
protein localization,2670,88
nitrogen compound transport,2216,76
cellular localization,3519,110
intracellular pH reduction,56,8
endoplasmic reticulum to Golgi vesicle-mediated transport,208,15
macroautophagy,337,20
endosome organization,81,9
macromolecule localization,3148,99
lipoprotein particle receptor binding,28,6
Golgi-associated vesicle,95,8
"proton-transporting V-type ATPase, V0 domain",10,3
vesicle coat,55,6
intracellular organelle,13117,310
autolysosome,11,3
extrinsic component of membrane,315,16
zymogen granule membrane,11,3
endosomal transport,244,16
regulation of branching morphogenesis of a nerve,5,3
protein-containing complex,5541,147
transferrin transport,36,6
vacuolar acidification,24,5
vesicle-mediated transport,2193,73
regulation of intracellular pH,89,9
protein-containing complex subunit organization,2017,68
vacuolar proton-transporting V-type ATPase complex assembly,6,3
cellular response to increased oxygen levels,14,4
cellular response to stress,2142,71
regulation of cellular pH,95,9
