source,term_id,term_name,term_size,query_size,intersection_size
MSigDB:H,HALLMARK_MYC_TARGETS_V1,Myc Targets V1,194,9837,5707
MSigDB:H,HALLMARK_E2F_TARGETS,E2F Targets,190,9837,5668
MSigDB:H,HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,182,9837,5229
MSigDB:H,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,193,9837,3321
MSigDB:H,HALLMARK_MYC_TARGETS_V2,Myc Targets V2,55,9837,3012
MSigDB:H,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,78,9837,2635
MSigDB:H,HALLMARK_HEME_METABOLISM,Heme Metabolism,133,9837,2428
MSigDB:H,HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,158,9837,1754
MSigDB:H,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,176,9837,1706
MSigDB:H,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,45,9837,924
MSigDB:H,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,52,9837,773
MSigDB:H,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,94,9837,517
MSigDB:H,HALLMARK_APOPTOSIS,Apoptosis,85,9837,423
MSigDB:H,HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,51,9837,344
MSigDB:H,HALLMARK_GLYCOLYSIS,Glycolysis,117,9837,333
MSigDB:H,HALLMARK_COMPLEMENT,Complement,80,9837,332
MSigDB:H,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,74,9837,296
MSigDB:H,HALLMARK_PROTEIN_SECRETION,Protein Secretion,84,9837,266
MSigDB:H,HALLMARK_ADIPOGENESIS,Adipogenesis,147,9837,192
MSigDB:H,HALLMARK_APICAL_JUNCTION,Apical Junction,82,9837,152
MSigDB:H,HALLMARK_P53_PATHWAY,P53 Pathway,119,9837,151
MSigDB:H,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,40,9837,122
MSigDB:H,HALLMARK_HYPOXIA,Hypoxia,88,9837,99
MSigDB:H,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,76,9837,95
MSigDB:H,HALLMARK_TGF_BETA_SIGNALING,Tgf Beta Signaling,36,9837,89
MSigDB:H,HALLMARK_COAGULATION,Coagulation,34,9837,84
MSigDB:H,HALLMARK_DNA_REPAIR,Dna Repair,131,9837,83
MSigDB:H,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,105,9837,62
MSigDB:H,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,32,9837,44
MSigDB:H,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,41,9837,38
MSigDB:H,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,68,9837,30
MSigDB:H,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3K Akt Mtor Signaling,76,9837,20
MSigDB:H,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,59,9837,18
MSigDB:H,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,64,9837,16
MSigDB:H,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,89,9837,11
MSigDB:H,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,52,9837,10
MSigDB:H,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,76,9837,9
MSigDB:H,HALLMARK_KRAS_SIGNALING_DN,Kras Signaling Dn,26,9837,4
MSigDB:H,HALLMARK_UV_RESPONSE_UP,Uv Response Up,104,9837,3
MSigDB:H,HALLMARK_SPERMATOGENESIS,Spermatogenesis,56,9837,0
MSigDB:H,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt Beta Catenin Signaling,20,9837,0
MSigDB:H,HALLMARK_ANGIOGENESIS,Angiogenesis,11,9837,0
MSigDB:H,HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,42,9837,0
MSigDB:H,HALLMARK_APICAL_SURFACE,Apical Surface,12,9837,0
MSigDB:H,HALLMARK_PEROXISOME,Peroxisome,66,9837,0
MSigDB:H,HALLMARK_PANCREAS_BETA_CELLS,Pancreas Beta Cells,9,9837,0
MSigDB:H,HALLMARK_NOTCH_SIGNALING,Notch Signaling,14,9837,0
MSigDB:H,HALLMARK_MYOGENESIS,Myogenesis,54,9837,0
MSigDB:H,HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,10,9837,0
MSigDB:H,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,85,9837,0
