program,n_declared,n_present,frac_present,n_hits_q05,R_p,scoreable
HALLMARK_ADIPOGENESIS,200,152,0.76,36,1.5682,True
HALLMARK_ALLOGRAFT_REJECTION,200,88,0.44,39,1.6021,True
HALLMARK_ANDROGEN_RESPONSE,101,74,0.7327,35,1.5563,True
HALLMARK_ANGIOGENESIS,36,11,0.3056,0,0.0,True
HALLMARK_APICAL_JUNCTION,200,105,0.525,45,1.6628,True
HALLMARK_APICAL_SURFACE,44,17,0.3864,0,0.0,True
HALLMARK_APOPTOSIS,161,109,0.677,20,1.3222,True
HALLMARK_BILE_ACID_METABOLISM,112,61,0.5446,15,1.2041,True
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,57,0.7703,39,1.6021,True
HALLMARK_COAGULATION,138,55,0.3986,55,1.7482,True
HALLMARK_COMPLEMENT,200,112,0.56,50,1.7076,True
HALLMARK_DNA_REPAIR,150,140,0.9333,58,1.7709,True
HALLMARK_E2F_TARGETS,200,193,0.965,96,1.9868,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,73,0.365,60,1.7853,True
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,114,0.57,2,0.4771,True
HALLMARK_ESTROGEN_RESPONSE_LATE,200,112,0.56,0,0.0,True
HALLMARK_FATTY_ACID_METABOLISM,158,113,0.7152,18,1.2788,True
HALLMARK_G2M_CHECKPOINT,200,179,0.895,85,1.9345,True
HALLMARK_GLYCOLYSIS,200,144,0.72,19,1.301,True
HALLMARK_HEDGEHOG_SIGNALING,36,16,0.4444,0,0.0,True
HALLMARK_HEME_METABOLISM,200,171,0.855,44,1.6532,True
HALLMARK_HYPOXIA,200,127,0.635,0,0.0,True
HALLMARK_IL2_STAT5_SIGNALING,199,125,0.6281,12,1.1139,True
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,46,0.5287,13,1.1461,True
HALLMARK_INFLAMMATORY_RESPONSE,200,85,0.425,46,1.6721,True
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,66,0.6804,28,1.4624,True
HALLMARK_INTERFERON_GAMMA_RESPONSE,200,116,0.58,46,1.6721,True
HALLMARK_KRAS_SIGNALING_DN,200,62,0.31,8,0.9542,True
HALLMARK_KRAS_SIGNALING_UP,200,81,0.405,0,0.0,True
HALLMARK_MITOTIC_SPINDLE,199,176,0.8844,35,1.5563,True
HALLMARK_MTORC1_SIGNALING,200,185,0.925,49,1.699,True
HALLMARK_MYC_TARGETS_V1,200,192,0.96,96,1.9868,True
HALLMARK_MYC_TARGETS_V2,58,56,0.9655,89,1.9542,True
HALLMARK_MYOGENESIS,200,101,0.505,14,1.1761,True
HALLMARK_NOTCH_SIGNALING,32,18,0.5625,0,0.0,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,176,0.88,85,1.9345,True
HALLMARK_P53_PATHWAY,200,146,0.73,2,0.4771,True
HALLMARK_PANCREAS_BETA_CELLS,40,13,0.325,0,0.0,True
HALLMARK_PEROXISOME,104,77,0.7404,0,0.0,True
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,85,0.8095,10,1.0414,True
HALLMARK_PROTEIN_SECRETION,96,85,0.8854,39,1.6021,True
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,42,0.8571,30,1.4914,True
HALLMARK_SPERMATOGENESIS,135,70,0.5185,19,1.301,True
HALLMARK_TGF_BETA_SIGNALING,54,46,0.8519,10,1.0414,True
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,129,0.645,44,1.6532,True
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,101,0.8938,24,1.3979,True
HALLMARK_UV_RESPONSE_DN,144,89,0.6181,0,0.0,True
HALLMARK_UV_RESPONSE_UP,158,118,0.7468,49,1.699,True
HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,29,0.6905,0,0.0,True
HALLMARK_XENOBIOTIC_METABOLISM,200,114,0.57,24,1.3979,True
