collection,set,n_declared,n_present,scoreable,n_hits_q05,R_p
go_bp,GOBP_ACTIN_CROSSLINK_FORMATION,14,7,False,,
go_bp,GOBP_DNA_REPLICATION_SYNTHESIS_OF_PRIMER,6,6,False,,
go_bp,GOBP_NEGATIVE_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS,17,6,False,,
go_bp,GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION,43,23,True,0.0,0.0
go_bp,GOBP_RESPONSE_TO_SUCROSE,5,0,False,,
hallmark,HALLMARK_ADIPOGENESIS,200,147,True,192.0,2.2856
hallmark,HALLMARK_APICAL_JUNCTION,200,82,True,152.0,2.1847
hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,52,True,773.0,2.8887
hallmark,HALLMARK_E2F_TARGETS,200,190,True,5668.0,3.7535
hallmark,HALLMARK_FATTY_ACID_METABOLISM,158,105,True,62.0,1.7993
hallmark,HALLMARK_HEME_METABOLISM,200,133,True,2428.0,3.3854
hallmark,HALLMARK_INFLAMMATORY_RESPONSE,200,51,True,344.0,2.5378
hallmark,HALLMARK_KRAS_SIGNALING_UP,200,52,True,10.0,1.0414
hallmark,HALLMARK_MYC_TARGETS_V2,58,55,True,3012.0,3.479
hallmark,HALLMARK_P53_PATHWAY,200,119,True,151.0,2.1818
hallmark,HALLMARK_PROTEIN_SECRETION,96,84,True,266.0,2.4265
hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,78,True,2635.0,3.4209
hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,20,True,0.0,0.0
reactome,REACTOME_COMPLEMENT_CASCADE,115,8,False,,
reactome,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,217,46,True,2.0,0.4771
reactome,REACTOME_PENTOSE_PHOSPHATE_PATHWAY,15,11,True,0.0,0.0
reactome,REACTOME_REGULATION_OF_PD_L1_CD274_TRANSLATION,14,8,False,,
reactome,REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,19,5,False,,
wikipathways,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,27,4,False,,
wikipathways,WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,63,24,True,0.0,0.0
wikipathways,WP_MFAP5MEDIATED_OVARIAN_CANCER_CELL_MOTILITY_AND_INVASIVENESS,13,8,False,,
wikipathways,WP_PROTEOGLYCAN_BIOSYNTHESIS,18,8,False,,
wikipathways,WP_TRIACYLGLYCERIDE_SYNTHESIS,24,9,False,,
go_bp,GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,10,0,False,,
go_bp,GOBP_ENAMEL_MINERALIZATION,21,6,False,,
go_bp,GOBP_NEURAL_PLATE_MORPHOGENESIS,6,3,False,,
go_bp,GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,111,47,True,0.0,0.0
go_bp,GOBP_VESICLE_COATING,38,36,True,0.0,0.0
hallmark,HALLMARK_ALLOGRAFT_REJECTION,200,59,True,18.0,1.2788
hallmark,HALLMARK_APICAL_SURFACE,44,12,True,0.0,0.0
hallmark,HALLMARK_COAGULATION,138,34,True,84.0,1.9294
hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,45,True,924.0,2.9661
hallmark,HALLMARK_G2M_CHECKPOINT,200,182,True,5229.0,3.7185
hallmark,HALLMARK_HYPOXIA,200,88,True,99.0,2.0
hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,40,True,122.0,2.0899
hallmark,HALLMARK_MITOTIC_SPINDLE,199,158,True,1754.0,3.2443
hallmark,HALLMARK_MYOGENESIS,200,54,True,0.0,0.0
hallmark,HALLMARK_PANCREAS_BETA_CELLS,40,9,False,,
hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,41,True,38.0,1.5911
hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,94,True,517.0,2.7143
hallmark,HALLMARK_XENOBIOTIC_METABOLISM,200,85,True,0.0,0.0
reactome,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,41,10,True,0.0,0.0
reactome,REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,27,11,True,0.0,0.0
reactome,REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS,21,8,False,,
reactome,REACTOME_REGULATION_OF_PTEN_MRNA_TRANSLATION,9,9,False,,
reactome,REACTOME_UBIQUINOL_BIOSYNTHESIS,13,11,True,0.0,0.0
wikipathways,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,120,111,True,727.0,2.8621
wikipathways,WP_HIPPOMERLIN_SIGNALING_DYSREGULATION,121,42,True,1.0,0.301
wikipathways,WP_NEOLACTO_SERIES_SPHINGOLIPID_METABOLISM,11,6,False,,
wikipathways,WP_PURINERGIC_SIGNALING,34,5,False,,
wikipathways,WP_WNT_SIGNALING_NETPATH,51,38,True,0.0,0.0
go_bp,GOBP_ATP_METABOLIC_PROCESS,237,157,True,1676.0,3.2245
go_bp,GOBP_ENDOSOMAL_LUMEN_ACIDIFICATION,14,12,True,255.0,2.4082
go_bp,GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION,9,4,False,,
go_bp,GOBP_POSITIVE_T_CELL_SELECTION,51,20,True,3.0,0.6021
go_bp,GOBP_VESICLE_ORGANIZATION,412,249,True,1030.0,3.0133
hallmark,HALLMARK_ANDROGEN_RESPONSE,101,64,True,16.0,1.2304
hallmark,HALLMARK_APOPTOSIS,161,85,True,423.0,2.6274
hallmark,HALLMARK_COMPLEMENT,200,80,True,332.0,2.5224
hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,76,True,9.0,1.0
hallmark,HALLMARK_GLYCOLYSIS,200,117,True,333.0,2.5237
hallmark,HALLMARK_IL2_STAT5_SIGNALING,199,89,True,11.0,1.0792
hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,74,True,296.0,2.4728
hallmark,HALLMARK_MTORC1_SIGNALING,200,176,True,1706.0,3.2322
hallmark,HALLMARK_NOTCH_SIGNALING,32,14,True,0.0,0.0
hallmark,HALLMARK_PEROXISOME,104,66,True,0.0,0.0
hallmark,HALLMARK_SPERMATOGENESIS,135,56,True,0.0,0.0
hallmark,HALLMARK_UV_RESPONSE_DN,144,68,True,30.0,1.4914
reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,7,3,False,,
reactome,REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,5,1,False,,
reactome,REACTOME_MATURATION_OF_DENV_PROTEINS,52,45,True,160.0,2.2068
reactome,REACTOME_PURINE_SALVAGE,13,9,False,,
reactome,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS,7,5,False,,
wikipathways,WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,18,8,False,,
wikipathways,WP_FACT_COMPLEX_AND_DNA_DOUBLESTRAND_BREAK_REPAIR,31,16,True,0.0,0.0
wikipathways,WP_JOUBERT_SYNDROME,76,43,True,0.0,0.0
wikipathways,WP_PATHWAYS_OF_NUCLEIC_ACID_METABOLISM_AND_INNATE_IMMUNE_SENSING,16,7,False,,
wikipathways,WP_RESISTIN_AS_A_REGULATOR_OF_INFLAMMATION,33,17,True,0.0,0.0
go_bp,GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS,24,8,False,,
go_bp,GOBP_HINDBRAIN_MATURATION,5,2,False,,
go_bp,GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,11,2,False,,
go_bp,GOBP_RESPONSE_TO_AXON_INJURY,82,30,True,0.0,0.0
go_bp,GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY,47,18,True,0.0,0.0
hallmark,HALLMARK_ANGIOGENESIS,36,11,True,0.0,0.0
hallmark,HALLMARK_BILE_ACID_METABOLISM,112,42,True,0.0,0.0
hallmark,HALLMARK_DNA_REPAIR,150,131,True,83.0,1.9243
hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,200,76,True,95.0,1.9823
hallmark,HALLMARK_HEDGEHOG_SIGNALING,36,10,True,0.0,0.0
hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,32,True,44.0,1.6532
hallmark,HALLMARK_KRAS_SIGNALING_DN,200,26,True,4.0,0.699
hallmark,HALLMARK_MYC_TARGETS_V1,200,194,True,5707.0,3.7565
hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,193,True,3321.0,3.5214
hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,76,True,20.0,1.3222
hallmark,HALLMARK_TGF_BETA_SIGNALING,54,36,True,89.0,1.9542
hallmark,HALLMARK_UV_RESPONSE_UP,158,104,True,3.0,0.6021
reactome,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,102,12,True,130.0,2.1173
reactome,REACTOME_FLT3_SIGNALING_IN_DISEASE,28,24,True,3.0,0.6021
reactome,REACTOME_MRNA_POLYADENYLATION,127,123,True,2288.0,3.3596
reactome,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX,70,11,True,0.0,0.0
reactome,REACTOME_SIALIC_ACID_METABOLISM,33,14,True,0.0,0.0
wikipathways,WP_ATR_SIGNALING,11,10,True,0.0,0.0
wikipathways,WP_GASTRIC_CANCER_NETWORK_2,32,20,True,224.0,2.3522
wikipathways,WP_LDLRAD4_INTRONIC_SNP_EFFECT_ON_COVID_PATIENTS,8,2,False,,
wikipathways,WP_PHOSPHATIDYL_INOSITOL_PHOSPHATE_PATHWAY,46,23,True,0.0,0.0
wikipathways,WP_ROS_IN_COVID19_ENDOTHELIAL_DYSFUNCTION,8,4,False,,
