mapping,family,set_token,size,hits
A1 SMPDB x MW-union(all human studies),smpdb,set_2ea504427c,55,43
A1 SMPDB x MW-union(all human studies),smpdb,set_6cedf5e797,21,11
A1 SMPDB x MW-union(all human studies),smpdb,set_2269f3f803,66,48
A1 SMPDB x MW-union(all human studies),smpdb,set_88b55fb0f6,34,23
A1 SMPDB x MW-union(all human studies),smpdb,set_62f7838c4b,27,15
A1 SMPDB x MW-union(all human studies),smpdb,set_8f14919c57,30,23
A1 SMPDB x MW-union(all human studies),smpdb,set_6a07e89aca,17,11
A1 SMPDB x MW-union(all human studies),smpdb,set_ee5450b2bd,29,10
A1 SMPDB x MW-union(all human studies),smpdb,set_1e739fc094,18,12
A1 SMPDB x MW-union(all human studies),smpdb,set_dc3ecf91c4,26,13
A1 SMPDB x MW-union(all human studies),smpdb,set_91963c7ed3,25,17
A1 SMPDB x MW-union(all human studies),smpdb,set_fe4be9692e,41,30
A1 SMPDB x MW-union(all human studies),smpdb,set_cafeb96a19,20,11
A1 SMPDB x MW-union(all human studies),smpdb,set_ad39336678,18,13
A1 SMPDB x MW-union(all human studies),smpdb,set_17971c5e65,51,40
A1 SMPDB x MW-union(all human studies),smpdb,set_cebba23029,12,7
A1 SMPDB x MW-union(all human studies),smpdb,set_0c94cdb580,47,34
A1 SMPDB x MW-union(all human studies),smpdb,set_4138901fbd,40,17
A1 SMPDB x MW-union(all human studies),smpdb,set_2a8a0c2c46,29,21
A1 SMPDB x MW-union(all human studies),smpdb,set_92fd5187ca,21,15
A1 SMPDB x MW-union(all human studies),smpdb,set_ebe56592ba,25,18
A1 SMPDB x MW-union(all human studies),smpdb,set_f6749acc3e,28,13
A1 SMPDB x MW-union(all human studies),smpdb,set_02ce992066,26,14
A1 SMPDB x MW-union(all human studies),smpdb,set_6c6f6fe984,27,19
A1 SMPDB x MW-union(all human studies),smpdb,set_144dc4b8a3,59,36
A1 SMPDB x MW-union(all human studies),smpdb,set_36e1adacc2,43,32
A1 SMPDB x MW-union(all human studies),smpdb,set_3ad12c9721,39,27
A1 SMPDB x MW-union(all human studies),smpdb,set_b2e59f9fd9,64,41
A1 SMPDB x MW-union(all human studies),smpdb,set_12e6179242,11,7
A1 SMPDB x MW-union(all human studies),smpdb,set_c73206817a,27,21
