pathway_id	n_unique_reactions	n_reaction_slots
PWY-7498	10	10
METHGLYUT-PWY	8	8
PWY-5327	36	36
PWY-5494	4	4
PWY-5497	25	25
PWY-5328	18	18
PWY490-3	4	4
NADSYN-PWY	9	9
PWY-7431	8	8
PWY-7433	5	5
PWY-7434	8	8
PWY-7436	6	6
PYRIDNUCSAL-PWY	7	7
PWY-7438	25	25
NPGLUCAT-PWY	9	9
PWY-5140	12	12
P164-PWY	15	15
PWY-1269	5	5
PWY-6969	10	10
PWY-5838	10	10
PWY-6961	7	7
PWY-6962	6	6
PWY-5499	9	9
METH-ACETATE-PWY	6	6
PWY-7688	6	6
PWY-6148	14	14
PWY-7942	6	6
PWY-7947	5	5
PWY-6142	29	29
PWY-6143	6	6
PWY-6141	11	11
PWY-6146	57	57
PWY-6147	5	5
PWY-6145	12	12
P4-PWY	18	18
PWY-7897	15	15
PWY-7894	6	6
PWY-5954	8	8
HCAMHPDEG-PWY	5	5
PWY-7305	38	38
PWY-7303	4	4
PWY-8053	8	8
PWY-6371	28	28
PWY-6372	7	7
PWY-7238	8	8
PWY-7230	9	9
PWY-7237	10	10
PWY-7235	11	11
PWY-7234	6	6
PWY-5971	31	31
PWY66-389	4	4
PWY66-388	7	7
PWY-6516	31	31
4-HYDROXYMANDELATE-DEGRADATION-PWY	6	6
ERGOSTEROL-SYN-PWY	37	37
PWY-7156	56	56
PWY-7153	8	8
PWY-7857	6	6
PWY-7159	10	10
PWY-7323	6	6
P441-PWY	21	21
GLUDEG-I-PWY	4	4
P184-PWY	8	8
PWY-6797	7	7
PWY-8020	5	5
PWY-6555	9	9
PWY-6554	5	5
PWY-6558	13	13
PWY-4203	4	4
PWY-5004	12	12
PWY0-1415	6	6
COA-PWY-1	5	5
PWY-822	5	5
PWY-821	11	11
ANAEROFRUCAT-PWY	14	14
PWY-5312	11	11
PWY-5313	9	9
PWY-1541	6	6
PWY-6060	4	4
PWY-7446	5	5
CODH-PWY	10	10
PWY-7442	7	7
PWY-5178	10	10
PWY-5179	7	7
PWY-6317	5	5
PWY-6977	19	19
PWY-6975	8	8
PWY-6527	7	7
FASYN-INITIAL-PWY	6	6
HEMESYN2-PWY	4	4
PWY-3781	4	4
P185-PWY	12	12
GLCMANNANAUT-PWY	5	5
PWY-7936	7	7
PWY-6151	4	4
PWY0-1297	7	7
PWY-8111	6	6
PWY-6604	17	17
PWY-6607	4	4
PWY-6606	4	4
PWY-7338	12	12
PWY-7337	12	12
PWY-5940	18	18
PWY-7840	5	5
LYSINE-DEG1-PWY	5	5
PWY66-3	26	26
PWY-5420	7	7
PWY-5353	8	8
ARO-PWY	7	7
PWY-7841	12	12
PWY-6305	4	4
PWY-6307	4	4
PWY-7209	5	5
PWY-7204	9	9
PWY-7200	9	9
PWY66-394	6	6
PWY66-391	7	7
PWY66-398	11	11
PWY66-399	12	12
UDPNAGSYN-PWY	5	5
PWY1A0-6120	34	34
PWY-7979	5	5
PWY-6415	10	10
PWY-7401	18	18
P381-PWY	36	36
PWY-6524	4	4
PWY-7480	5	5
BENZCOA-PWY	28	28
PWY-695	5	5
ARGSYN-PWY	9	9
PWY-6630	10	10
PWY-6632	10	10
PWY-5898	10	10
