arm	variant	n_sets	r2_size_alone	spearman	sets_with_zero_hits	size_min	size_max	verdict	corpus_percentile	note
reaction-count size	A_pooled_detection_samples	491	0.0014	-0.0022	0	4	268	NOT SIZE-DOMINATED	0.3	hits = number of the 762 pooled samples in which the pathway was detected (>0). DETECTION mapping.
reaction-count size	B_pooled_species_breadth_max	405	0.008	-0.0857	0	4	268	NOT SIZE-DOMINATED	0.9	hits = max over cohorts of the number of distinct species strata observed for the pathway. RECOVERED-CONTRIBUTOR mapping.
reaction-count size	B_pooled_species_breadth_mean	405	0.0076	-0.0872	0	4	268	NOT SIZE-DOMINATED	0.9	hits = mean over 7 cohorts of distinct species strata observed. RECOVERED-CONTRIBUTOR mapping.
reaction-count size	C_pooled_diffabund_FDR10	324	0.0117	-0.2333	172	4	205	NOT SIZE-DOMINATED	1.1	hits = number of species-stratified instances of the pathway significant at BH-FDR<0.10 for CRC vs control, summed over cohorts. DIFFERENTIAL-ABUNDANCE mapping (closest analogue to a gene-set hit count).
reaction-count size	A_FengQ_2015	459	0.0019	0.0325	0	4	268	NOT SIZE-DOMINATED	0.3	per-cohort DETECTION mapping
reaction-count size	B_FengQ_2015	373	0.006	-0.1086	0	4	205	NOT SIZE-DOMINATED	0.7	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_FengQ_2015	292	0.0092	-0.201	164	4	205	NOT SIZE-DOMINATED	1.0	per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_ThomasAM_2018a	413	0.0034	0.0145	0	4	268	NOT SIZE-DOMINATED	0.6	per-cohort DETECTION mapping
reaction-count size	B_ThomasAM_2018a	351	0.014	-0.1536	0	4	268	NOT SIZE-DOMINATED	1.4	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_ThomasAM_2018a	293			293	4	205	DEGENERATE (no variance in hits) - no defensible number		per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_ThomasAM_2018b	409	0.0037	0.0611	0	4	268	NOT SIZE-DOMINATED	0.6	per-cohort DETECTION mapping
reaction-count size	B_ThomasAM_2018b	343	0.0105	-0.1763	0	4	205	NOT SIZE-DOMINATED	1.0	per-cohort RECOVERED-CONTRIBUTOR mapping
reaction-count size	C_ThomasAM_2018b	280			280	4	205	DEGENERATE (no variance in hits) - no defensible number		per-cohort DIFFERENTIAL-ABUNDANCE mapping (FDR<0.10)
reaction-count size	A_ThomasAM_2019_c	431	0.0014	0.0315	0	4	268	NOT SIZE-DOMINATED	0.3	per-cohort DETECTION mapping
reaction-count size	B_ThomasAM_2019_c	361	0.0134	-0.1454	0	4	268	NOT SIZE-DOMINATED	1.3	per-cohort RECOVERED-CONTRIBUTOR mapping
