cohort	pathway_id	size	hits	n_samples
FengQ_2015	PWY-1042	10	154	154
FengQ_2015	ILEUSYN-PWY	7	154	154
FengQ_2015	PWY-7111	5	154	154
FengQ_2015	VALSYN-PWY	4	154	154
FengQ_2015	ARO-PWY	7	154	154
FengQ_2015	ARGSYNBSUB-PWY	9	154	154
FengQ_2015	PWY-6163	5	154	154
FengQ_2015	PWY-5686	6	154	154
FengQ_2015	ARGSYN-PWY	9	154	154
FengQ_2015	PWY-6386	8	154	154
FengQ_2015	PWY-7400	14	154	154
FengQ_2015	DTDPRHAMSYN-PWY	4	154	154
FengQ_2015	PWY-6122	5	154	154
FengQ_2015	PWY-6277	5	154	154
FengQ_2015	PWY-6609	4	154	154
FengQ_2015	PWY-6387	8	154	154
FengQ_2015	PWY-6151	4	154	154
FengQ_2015	COMPLETE-ARO-PWY	17	154	154
FengQ_2015	GLYCOGENSYNTH-PWY	4	154	154
FengQ_2015	PWY-6121	5	154	154
FengQ_2015	PWY-7221	4	154	154
FengQ_2015	TRNA-CHARGING-PWY	21	154	154
FengQ_2015	PEPTIDOGLYCANSYN-PWY	10	154	154
FengQ_2015	COA-PWY-1	5	154	154
FengQ_2015	BRANCHED-CHAIN-AA-SYN-PWY	19	154	154
FengQ_2015	GLUTORN-PWY	5	154	154
FengQ_2015	PWY0-1319	4	154	154
FengQ_2015	PWY-5667	4	154	154
FengQ_2015	PWY-5103	7	154	154
FengQ_2015	CALVIN-PWY	13	154	154
FengQ_2015	PWY-6385	14	154	154
FengQ_2015	COA-PWY	4	154	154
FengQ_2015	PWY-3841	11	154	154
FengQ_2015	PWY-5097	7	154	154
FengQ_2015	PWY-2942	8	154	154
FengQ_2015	1CMET2-PWY	9	154	154
FengQ_2015	PWY-724	10	154	154
FengQ_2015	PWY-6700	4	154	154
FengQ_2015	PWY-7229	8	154	154
FengQ_2015	PWY-6123	6	154	154
FengQ_2015	HISTSYN-PWY	11	154	154
FengQ_2015	PWY-3001	13	154	154
FengQ_2015	PWY-6124	5	154	154
FengQ_2015	PWY-6126	8	154	154
FengQ_2015	HSERMETANA-PWY	4	154	154
FengQ_2015	PWY-6936	5	154	154
FengQ_2015	ANAGLYCOLYSIS-PWY	11	154	154
FengQ_2015	PWY-6317	5	154	154
FengQ_2015	THRESYN-PWY	6	154	154
FengQ_2015	PANTOSYN-PWY	9	154	154
FengQ_2015	PWY-6527	7	154	154
FengQ_2015	PWY-7220	4	154	154
FengQ_2015	PWY-7222	4	154	154
FengQ_2015	NONOXIPENT-PWY	5	154	154
FengQ_2015	TRPSYN-PWY	7	154	154
FengQ_2015	PWY-5695	4	154	154
FengQ_2015	ANAEROFRUCAT-PWY	14	154	154
FengQ_2015	PANTO-PWY	4	154	154
FengQ_2015	OANTIGEN-PWY	10	154	154
FengQ_2015	PWY-7357	6	154	154
FengQ_2015	PWY-6471	16	154	154
FengQ_2015	GLYCOLYSIS	12	154	154
FengQ_2015	PWY-6892	8	154	154
FengQ_2015	SER-GLYSYN-PWY	4	154	154
FengQ_2015	RIBOSYN2-PWY	9	154	154
FengQ_2015	PWY0-1586	12	154	154
FengQ_2015	PYRIDNUCSYN-PWY	6	154	154
FengQ_2015	PWY-7237	10	154	154
FengQ_2015	PWY-6168	9	154	154
FengQ_2015	MET-SAM-PWY	9	154	154
FengQ_2015	THISYNARA-PWY	7	154	154
FengQ_2015	PWY-6897	5	154	154
FengQ_2015	UDPNAGSYN-PWY	5	154	154
FengQ_2015	PWY-5484	11	154	154
FengQ_2015	PWY-5347	9	154	154
FengQ_2015	METSYN-PWY	8	154	154
FengQ_2015	GLUCONEO-PWY	13	154	154
FengQ_2015	PWY-6703	4	154	154
FengQ_2015	PWY-2941	9	154	154
FengQ_2015	COBALSYN-PWY	9	154	154
