cohort	pathway_id	size	hits	n_strata_cols
FengQ_2015	PWY-1042	10	185	185
FengQ_2015	ILEUSYN-PWY	7	189	189
FengQ_2015	PWY-7111	5	304	304
FengQ_2015	VALSYN-PWY	4	310	310
FengQ_2015	ARO-PWY	7	164	164
FengQ_2015	ARGSYNBSUB-PWY	9	190	190
FengQ_2015	PWY-6163	5	219	219
FengQ_2015	PWY-5686	6	329	329
FengQ_2015	ARGSYN-PWY	9	167	167
FengQ_2015	PWY-6386	8	311	311
FengQ_2015	PWY-7400	14	162	162
FengQ_2015	DTDPRHAMSYN-PWY	4	277	277
FengQ_2015	PWY-6122	5	376	376
FengQ_2015	PWY-6277	5	376	376
FengQ_2015	PWY-6609	4	314	314
FengQ_2015	PWY-6387	8	348	348
FengQ_2015	PWY-6151	4	264	264
FengQ_2015	COMPLETE-ARO-PWY	17	134	134
FengQ_2015	GLYCOGENSYNTH-PWY	4	118	118
FengQ_2015	PWY-6121	5	342	342
FengQ_2015	PWY-7221	4	351	351
FengQ_2015	TRNA-CHARGING-PWY	21	176	176
FengQ_2015	PEPTIDOGLYCANSYN-PWY	10	333	333
FengQ_2015	COA-PWY-1	5	376	376
FengQ_2015	BRANCHED-CHAIN-AA-SYN-PWY	19	186	186
FengQ_2015	GLUTORN-PWY	5	170	170
FengQ_2015	PWY0-1319	4	217	217
FengQ_2015	PWY-5667	4	215	215
FengQ_2015	PWY-5103	7	190	190
FengQ_2015	CALVIN-PWY	13	103	103
FengQ_2015	PWY-6385	14	268	268
FengQ_2015	COA-PWY	4	318	318
FengQ_2015	PWY-3841	11	260	260
FengQ_2015	PWY-5097	7	234	234
FengQ_2015	PWY-2942	8	248	248
FengQ_2015	1CMET2-PWY	9	180	180
FengQ_2015	PWY-724	10	101	101
FengQ_2015	PWY-6700	4	287	287
FengQ_2015	PWY-7229	8	97	97
FengQ_2015	PWY-6123	6	219	219
FengQ_2015	HISTSYN-PWY	11	194	194
FengQ_2015	PWY-3001	13	95	95
FengQ_2015	PWY-6124	5	215	215
FengQ_2015	PWY-6126	8	97	97
FengQ_2015	HSERMETANA-PWY	4	87	87
FengQ_2015	PWY-6936	5	160	160
FengQ_2015	ANAGLYCOLYSIS-PWY	11	90	90
FengQ_2015	PWY-6317	5	96	96
FengQ_2015	THRESYN-PWY	6	134	134
FengQ_2015	PANTOSYN-PWY	9	143	143
FengQ_2015	PWY-6527	7	101	101
FengQ_2015	PWY-7220	4	227	227
FengQ_2015	PWY-7222	4	227	227
FengQ_2015	NONOXIPENT-PWY	5	153	153
FengQ_2015	TRPSYN-PWY	7	128	128
FengQ_2015	PWY-5695	4	167	167
FengQ_2015	PANTO-PWY	4	186	186
FengQ_2015	OANTIGEN-PWY	10	66	66
FengQ_2015	PWY-7357	6	120	120
FengQ_2015	GLYCOLYSIS	12	39	39
FengQ_2015	PWY-6892	8	59	59
FengQ_2015	SER-GLYSYN-PWY	4	154	154
FengQ_2015	RIBOSYN2-PWY	9	192	192
FengQ_2015	PWY0-1586	12	129	129
FengQ_2015	PYRIDNUCSYN-PWY	6	94	94
FengQ_2015	PWY-7237	10	106	106
FengQ_2015	PWY-6168	9	102	102
FengQ_2015	MET-SAM-PWY	9	33	33
FengQ_2015	THISYNARA-PWY	7	74	74
FengQ_2015	PWY-6897	5	70	70
FengQ_2015	UDPNAGSYN-PWY	5	191	191
FengQ_2015	PWY-5484	11	37	37
FengQ_2015	PWY-5347	9	27	27
FengQ_2015	METSYN-PWY	8	33	33
FengQ_2015	PWY-6703	4	155	155
FengQ_2015	PWY-2941	9	63	63
FengQ_2015	COBALSYN-PWY	9	39	39
FengQ_2015	DENOVOPURINE2-PWY	27	22	22
FengQ_2015	P461-PWY	20	28	28
FengQ_2015	PWY-7282	10	28	28
FengQ_2015	PWY-841	21	22	22
FengQ_2015	PWY-1861	9	16	16
FengQ_2015	PWY-7234	6	95	95
FengQ_2015	PHOSLIPSYN-PWY	10	26	26
FengQ_2015	PWY-5104	6	46	46
FengQ_2015	PWY66-409	17	13	13
FengQ_2015	PWY-5973	5	97	97
FengQ_2015	PWY-7187	7	27	27
FengQ_2015	PWY0-166	14	54	54
FengQ_2015	PWY-5659	4	57	57
FengQ_2015	METH-ACETATE-PWY	6	7	7
FengQ_2015	PWY-6353	11	17	17
FengQ_2015	HOMOSER-METSYN-PWY	5	36	36
FengQ_2015	PWY-6305	4	33	33
FengQ_2015	PWY0-1297	7	60	60
FengQ_2015	PWY-6125	8	103	103
FengQ_2015	GLCMANNANAUT-PWY	5	55	55
FengQ_2015	PWY-5154	9	36	36
FengQ_2015	PWY0-162	9	31	31
FengQ_2015	PWY-5188	6	115	115
FengQ_2015	DAPLYSINESYN-PWY	9	39	39
FengQ_2015	THISYN-PWY	12	21	21
FengQ_2015	PWY4FS-7	6	33	33
FengQ_2015	PWY4FS-8	6	33	33
FengQ_2015	PWY-7228	6	120	120
FengQ_2015	LACTOSECAT-PWY	4	48	48
FengQ_2015	PWY-4041	6	42	42
FengQ_2015	PWY-7117	14	22	22
FengQ_2015	COLANSYN-PWY	12	8	8
FengQ_2015	SALVADEHYPOX-PWY	5	27	27
FengQ_2015	PWYG-321	205	6	6
FengQ_2015	FERMENTATION-PWY	17	18	18
FengQ_2015	PWY0-845	11	32	32
FengQ_2015	ARGININE-SYN4-PWY	4	44	44
FengQ_2015	PWY-7664	14	35	35
FengQ_2015	GLUCUROCAT-PWY	7	15	15
FengQ_2015	PWY-7184	9	56	56
FengQ_2015	NONMEVIPP-PWY	9	16	16
FengQ_2015	FASYN-INITIAL-PWY	6	29	29
FengQ_2015	PWY0-862	6	40	40
FengQ_2015	PWY-5913	9	26	26
FengQ_2015	PWY-6606	4	25	25
FengQ_2015	PWY-6282	9	35	35
FengQ_2015	PENTOSE-P-PWY	8	44	44
FengQ_2015	PWY-5989	6	30	30
FengQ_2015	PPGPPMET-PWY	6	20	20
FengQ_2015	PWY-7323	6	12	12
FengQ_2015	PWY-7456	7	5	5
FengQ_2015	PWY0-1261	12	22	22
FengQ_2015	PYRIDOXSYN-PWY	7	41	41
FengQ_2015	P185-PWY	12	17	17
FengQ_2015	RHAMCAT-PWY	5	66	66
FengQ_2015	PWY-7210	8	13	13
FengQ_2015	PWY-7198	7	27	27
FengQ_2015	HISDEG-PWY	4	102	102
FengQ_2015	PWY-5030	6	35	35
FengQ_2015	GOLPDLCAT-PWY	4	19	19
FengQ_2015	FAO-PWY	7	21	21
FengQ_2015	PWY-6147	5	73	73
FengQ_2015	PWY-5136	5	19	19
FengQ_2015	PWY-1269	5	49	49
FengQ_2015	PWY0-1479	10	21	21
FengQ_2015	CITRULBIO-PWY	8	18	18
FengQ_2015	PWY-6284	20	12	12
FengQ_2015	GLYCOCAT-PWY	8	20	20
FengQ_2015	PWY-4984	5	16	16
FengQ_2015	PWY-5384	4	32	32
FengQ_2015	PWY-7013	5	28	28
FengQ_2015	NAD-BIOSYNTHESIS-II	5	25	25
FengQ_2015	PWY-5941	6	5	5
FengQ_2015	PWY-7312	4	2	2
FengQ_2015	NAGLIPASYN-PWY	6	32	32
FengQ_2015	FUCCAT-PWY	4	22	22
FengQ_2015	PWY-6595	6	10	10
FengQ_2015	GLUCOSE1PMETAB-PWY	5	25	25
FengQ_2015	P124-PWY	15	5	5
FengQ_2015	HEMESYN2-PWY	4	17	17
FengQ_2015	PWY-5367	6	27	27
FengQ_2015	PWY0-1298	6	36	36
FengQ_2015	PWY0-1061	6	40	40
FengQ_2015	P125-PWY	5	16	16
FengQ_2015	P161-PWY	5	36	36
FengQ_2015	SO4ASSIM-PWY	4	26	26
FengQ_2015	PWY0-1241	5	34	34
FengQ_2015	PWY-5138	5	21	21
FengQ_2015	PWY-6572	8	1	1
FengQ_2015	PWY-7371	5	7	7
FengQ_2015	HEME-BIOSYNTHESIS-II	4	30	30
FengQ_2015	PWY66-389	4	13	13
FengQ_2015	P562-PWY	7	4	4
FengQ_2015	KETOGLUCONMET-PWY	8	15	15
FengQ_2015	PWY-6837	5	15	15
FengQ_2015	ANAEROFRUCAT-PWY	14	24	24
FengQ_2015	PWY-6891	7	20	20
FengQ_2015	PWY-6519	11	19	19
FengQ_2015	PWY-922	7	8	8
FengQ_2015	PWY-7315	4	26	26
FengQ_2015	PWY-6167	10	3	3
FengQ_2015	PWY-5101	8	4	4
FengQ_2015	METHANOGENESIS-PWY	6	3	3
FengQ_2015	PWY-7316	4	4	4
FengQ_2015	PWY-5837	7	19	19
FengQ_2015	PWY-6349	6	3	3
FengQ_2015	PWY-5198	6	3	3
FengQ_2015	PWY-6478	4	3	3
FengQ_2015	GLUCONEO-PWY	13	25	25
FengQ_2015	TEICHOICACID-PWY	12	10	10
FengQ_2015	PWY-6588	5	8	8
FengQ_2015	PWY-6471	16	25	25
FengQ_2015	P441-PWY	21	16	16
FengQ_2015	BIOTIN-BIOSYNTHESIS-PWY	16	16	16
FengQ_2015	PWY-6859	4	19	19
FengQ_2015	PWY1F-823	4	4	4
FengQ_2015	PYRIDNUCSAL-PWY	7	6	6
FengQ_2015	PWY-6270	10	1	1
FengQ_2015	PWY-7560	9	2	2
FengQ_2015	PWY-241	7	4	4
FengQ_2015	PWY-181	9	1	1
FengQ_2015	POLYAMSYN-PWY	8	12	12
FengQ_2015	GALACTARDEG-PWY	4	20	20
FengQ_2015	GLUCARGALACTSUPER-PWY	4	20	20
FengQ_2015	TCA	11	17	17
FengQ_2015	PWY-6531	5	7	7
FengQ_2015	PWY-6876	5	1	1
FengQ_2015	TCA-GLYOX-BYPASS	13	16	16
FengQ_2015	GLUCARDEG-PWY	4	17	17
FengQ_2015	PWY-4702	14	7	7
FengQ_2015	PWY-6803	4	16	16
FengQ_2015	AEROBACTINSYN-PWY	4	3	3
FengQ_2015	PWY-7446	5	9	9
FengQ_2015	PWY-6731	4	2	2
FengQ_2015	HEXITOLDEGSUPER-PWY	19	16	16
FengQ_2015	P4-PWY	18	13	13
