cohort	pathway_id	size	hits	n_tested
FengQ_2015	PWY-1042	10	15	68
FengQ_2015	ILEUSYN-PWY	7	19	88
FengQ_2015	PWY-7111	5	26	123
FengQ_2015	VALSYN-PWY	4	26	124
FengQ_2015	ARO-PWY	7	12	54
FengQ_2015	ARGSYNBSUB-PWY	9	12	74
FengQ_2015	PWY-6163	5	17	75
FengQ_2015	PWY-5686	6	22	105
FengQ_2015	ARGSYN-PWY	9	7	60
FengQ_2015	PWY-6386	8	23	93
FengQ_2015	PWY-7400	14	7	59
FengQ_2015	DTDPRHAMSYN-PWY	4	19	99
FengQ_2015	PWY-6122	5	23	126
FengQ_2015	PWY-6277	5	23	126
FengQ_2015	PWY-6609	4	15	110
FengQ_2015	PWY-6387	8	21	109
FengQ_2015	PWY-6151	4	12	91
FengQ_2015	COMPLETE-ARO-PWY	17	10	47
FengQ_2015	GLYCOGENSYNTH-PWY	4	7	47
FengQ_2015	PWY-6121	5	19	112
FengQ_2015	PWY-7221	4	26	113
FengQ_2015	TRNA-CHARGING-PWY	21	12	53
FengQ_2015	PEPTIDOGLYCANSYN-PWY	10	23	103
FengQ_2015	COA-PWY-1	5	19	112
FengQ_2015	BRANCHED-CHAIN-AA-SYN-PWY	19	19	88
FengQ_2015	GLUTORN-PWY	5	9	63
FengQ_2015	PWY0-1319	4	16	75
FengQ_2015	PWY-5667	4	16	75
FengQ_2015	PWY-5103	7	18	88
FengQ_2015	CALVIN-PWY	13	7	31
FengQ_2015	PWY-6385	14	20	82
FengQ_2015	COA-PWY	4	16	94
FengQ_2015	PWY-3841	11	16	79
FengQ_2015	PWY-5097	7	18	88
FengQ_2015	PWY-2942	8	18	82
FengQ_2015	1CMET2-PWY	9	14	68
FengQ_2015	PWY-724	10	8	34
FengQ_2015	PWY-6700	4	20	97
FengQ_2015	PWY-7229	8	7	28
FengQ_2015	PWY-6123	6	12	71
FengQ_2015	HISTSYN-PWY	11	11	63
FengQ_2015	PWY-3001	13	7	34
FengQ_2015	PWY-6124	5	14	70
FengQ_2015	PWY-6126	8	7	28
FengQ_2015	HSERMETANA-PWY	4	11	44
