cohort	pathway_id	size_members_measured	hits_FDR10	hits_nominal05	size_reactions
FengQ_2015	PWY-1042	68	15	21	10
FengQ_2015	ILEUSYN-PWY	88	19	27	7
FengQ_2015	PWY-7111	123	26	41	5
FengQ_2015	VALSYN-PWY	124	26	40	4
FengQ_2015	ARO-PWY	54	12	15	7
FengQ_2015	ARGSYNBSUB-PWY	74	12	17	9
FengQ_2015	PWY-6163	75	17	23	5
FengQ_2015	PWY-5686	105	22	33	6
FengQ_2015	ARGSYN-PWY	60	7	11	9
FengQ_2015	PWY-6386	93	23	32	8
FengQ_2015	PWY-7400	59	7	11	14
FengQ_2015	DTDPRHAMSYN-PWY	99	19	29	4
FengQ_2015	PWY-6122	126	23	40	5
FengQ_2015	PWY-6277	126	23	40	5
FengQ_2015	PWY-6609	110	15	31	4
FengQ_2015	PWY-6387	109	21	33	8
FengQ_2015	PWY-6151	91	12	19	4
FengQ_2015	COMPLETE-ARO-PWY	47	10	13	17
FengQ_2015	GLYCOGENSYNTH-PWY	47	7	13	4
FengQ_2015	PWY-6121	112	19	31	5
FengQ_2015	PWY-7221	113	26	36	4
FengQ_2015	TRNA-CHARGING-PWY	53	12	15	21
FengQ_2015	PEPTIDOGLYCANSYN-PWY	103	23	33	10
FengQ_2015	COA-PWY-1	112	19	29	5
FengQ_2015	BRANCHED-CHAIN-AA-SYN-PWY	88	19	30	19
FengQ_2015	GLUTORN-PWY	63	9	15	5
FengQ_2015	PWY0-1319	75	16	25	4
FengQ_2015	PWY-5667	75	16	25	4
FengQ_2015	PWY-5103	88	18	31	7
FengQ_2015	CALVIN-PWY	31	7	10	13
FengQ_2015	PWY-6385	82	20	30	14
FengQ_2015	COA-PWY	94	16	26	4
FengQ_2015	PWY-3841	79	16	21	11
FengQ_2015	PWY-5097	88	18	27	7
FengQ_2015	PWY-2942	82	18	33	8
FengQ_2015	1CMET2-PWY	68	14	18	9
FengQ_2015	PWY-724	34	8	13	10
FengQ_2015	PWY-6700	97	20	30	4
FengQ_2015	PWY-7229	28	7	14	8
FengQ_2015	PWY-6123	71	12	22	6
FengQ_2015	HISTSYN-PWY	63	11	19	11
FengQ_2015	PWY-3001	34	7	10	13
FengQ_2015	PWY-6124	70	14	20	5
FengQ_2015	PWY-6126	28	7	14	8
FengQ_2015	HSERMETANA-PWY	44	11	15	4
FengQ_2015	PWY-6936	59	11	16	5
