prevalence_threshold	size	hits	n_sets	r2	spearman	zero	size_range	verdict
0.05	membersMeasured	fdr10	343	0.7943	0.8713	186	[1, 1285]	CONFOUNDED
0.05	reactions	fdr10	343	0.0109	-0.2373	186	[4, 205]	NOT SIZE-DOMINATED
0.05	membersMeasured	fdr20	343	0.7469	0.8925	141	[1, 1285]	CONFOUNDED
0.05	reactions	fdr20	343	0.0149	-0.2377	141	[4, 205]	NOT SIZE-DOMINATED
0.05	membersMeasured	nom05	343	0.7369	0.9385	53	[1, 1285]	CONFOUNDED
0.05	reactions	nom05	343	0.0109	-0.1846	53	[4, 205]	NOT SIZE-DOMINATED
0.1	membersMeasured	fdr10	324	0.7844	0.8857	172	[1, 932]	CONFOUNDED
0.1	reactions	fdr10	324	0.0117	-0.2333	172	[4, 205]	NOT SIZE-DOMINATED
0.1	membersMeasured	fdr20	324	0.7439	0.9089	122	[1, 932]	CONFOUNDED
0.1	reactions	fdr20	324	0.0113	-0.2376	122	[4, 205]	NOT SIZE-DOMINATED
0.1	membersMeasured	nom05	324	0.7514	0.9382	40	[1, 932]	CONFOUNDED
0.1	reactions	nom05	324	0.013	-0.2145	40	[4, 205]	NOT SIZE-DOMINATED
0.25	membersMeasured	fdr10	290	0.7829	0.9005	151	[1, 571]	CONFOUNDED
0.25	reactions	fdr10	290	0.0126	-0.2295	151	[4, 205]	NOT SIZE-DOMINATED
0.25	membersMeasured	fdr20	290	0.7638	0.9476	40	[1, 571]	CONFOUNDED
0.25	reactions	fdr20	290	0.0087	-0.2092	40	[4, 205]	NOT SIZE-DOMINATED
0.25	membersMeasured	nom05	290	0.7716	0.9514	34	[1, 571]	CONFOUNDED
0.25	reactions	nom05	290	0.0143	-0.25	34	[4, 205]	NOT SIZE-DOMINATED
0.5	membersMeasured	fdr10	254	0.8217	0.895	145	[1, 318]	CONFOUNDED
0.5	reactions	fdr10	254	0.0186	-0.2849	145	[4, 205]	NOT SIZE-DOMINATED
0.5	membersMeasured	fdr20	254	0.8067	0.955	82	[1, 318]	CONFOUNDED
0.5	reactions	fdr20	254	0.0264	-0.3357	82	[4, 205]	NOT SIZE-DOMINATED
0.5	membersMeasured	nom05	254	0.8021	0.9459	84	[1, 318]	CONFOUNDED
0.5	reactions	nom05	254	0.0259	-0.3376	84	[4, 205]	NOT SIZE-DOMINATED
