job,genome,antigen_class,cell_class,peak_threshold,typeB,n_query_regions,status,n_sets,size_min,size_max,r2_A,spearman_A,zero_A,verdict_A,r2_B,spearman_B,zero_B,verdict_B,rho_size_vs_logQ,rho_size_vs_fold
000b5579-acc7-4baf-9c77-6d4ab0b438dc,hg38,TFs and others,All cell types,50.0,rnd,1017.0,ok,22267,67.0,807639.0,0.4404,0.8552,2418.0,CONFOUNDED,0.5483,0.8574,3887.0,CONFOUNDED,-0.6057,0.4609
0015b573-c11f-4860-a675-e2c29384b718,hg38,TFs and others,All cell types,500.0,rnd,48000.0,ok,26767,1.0,83768.0,0.4663,0.9115,3735.0,CONFOUNDED,0.6011,0.9539,2316.0,CONFOUNDED,-0.8884,0.6159
00401d19-f0e9-4c58-b5d0-993d21971ea2,mm10,TFs and others,Gonad,50.0,bed,331.0,ok,399,64.0,53559.0,0.35,0.6343,227.0,PARTIALLY CONFOUNDED,0.2902,0.6018,1.0,PARTIALLY CONFOUNDED,-0.5806,0.5136
00480f72-c37c-47f4-be0a-5bc50ceaa194,hg38,TFs and others,All cell types,50.0,rnd,80.0,ok,22249,18.0,807639.0,0.2348,0.722,75.0,PARTIALLY CONFOUNDED,0.1718,0.2691,20919.0,NOT SIZE-DOMINATED,-0.717,0.3059
00520983-cdf6-4499-83d3-2bdeb167b01b,hg38,RNA polymerase,Blood,50.0,rnd,329.0,ok,860,297.0,94025.0,0.4476,0.7676,188.0,CONFOUNDED,0.7968,0.9351,235.0,CONFOUNDED,-0.702,0.3408
007ba088-5945-42f9-9c13-4378e3d3123a,,,,,,,TOO FEW SETS (<8),0,,,,,,,,,,,,
011b03c8-d133-417a-bd48-875a1126f7c6,hg38,TFs and others,All cell types,50.0,rnd,525.0,ok,31877,9.0,807639.0,0.345,0.85,2742.0,PARTIALLY CONFOUNDED,0.752,0.8638,19561.0,CONFOUNDED,-0.8335,-0.2125
0183d9f0-f016-44a9-90e9-6ac07867f0cc,mm10,Histone,Neural,50.0,bed,602.0,ok,3145,6.0,145418.0,0.6013,0.9587,914.0,CONFOUNDED,0.4993,0.9906,0.0,CONFOUNDED,-0.7799,0.6543
0186e43c-0a6e-4f88-b51a-61ee808be276,mm10,TFs and others,All cell types,50.0,rnd,15353.0,ok,21858,20.0,285009.0,0.4865,0.9465,215.0,CONFOUNDED,0.5794,0.9841,1193.0,CONFOUNDED,-0.8451,0.1799
01957b37-94fa-4879-9066-2acd799d1c8a,mm10,Histone,Gonad,50.0,bed,753.0,ok,1148,18.0,94035.0,0.7785,0.9421,413.0,CONFOUNDED,0.6637,0.9682,0.0,CONFOUNDED,-0.6374,0.5874
01c01ae4-1c1b-4ecb-8f1e-7fd61970c172,hg19,TFs and others,All cell types,50.0,rnd,230.0,ok,19054,5.0,796659.0,0.4081,0.7935,1314.0,CONFOUNDED,0.534,0.8118,4626.0,CONFOUNDED,-0.5229,0.3074
024833b9-8811-460a-86f4-67ec569c8e10,mm10,Bisulfite-Seq,Gonad,999.0,bed,593.0,ok,1570,8.0,384308.0,0.3295,0.6312,274.0,PARTIALLY CONFOUNDED,0.2238,0.3261,1.0,PARTIALLY CONFOUNDED,0.2849,0.5498
02910c63-0472-4c1a-9a9f-fe33d3b080fd,,,,,,,TOO FEW SETS (<8),0,,,,,,,,,,,,
02ba6c13-f6a7-477a-ade0-37fda399819b,hg38,Histone,Liver,50.0,rnd,31.0,ok,61,3925.0,327419.0,0.1576,0.26,7.0,NOT SIZE-DOMINATED,0.3594,0.3108,44.0,PARTIALLY CONFOUNDED,,0.3822
02cfcf63-0137-497b-85cb-6e82d6139439,hg19,ATAC-Seq,All cell types,50.0,bed,5000.0,ok,27815,35.0,317164.0,0.6491,0.9199,1802.0,CONFOUNDED,0.6556,0.941,223.0,CONFOUNDED,-0.3542,0.2624
03190117-c14b-4e47-95f4-94aa3b980317,hg38,TFs and others,All cell types,50.0,rnd,462.0,ok,21057,31.0,807639.0,0.3536,0.7158,6413.0,PARTIALLY CONFOUNDED,0.6216,0.8541,10058.0,CONFOUNDED,-0.3927,0.0929
03840b67-4f67-479b-8e3d-ecc91c92d8ad,hg38,Bisulfite-Seq,Blood,999.0,bed,265.0,ok,6348,1.0,451122.0,0.361,0.7998,399.0,PARTIALLY CONFOUNDED,0.3538,0.8838,1572.0,PARTIALLY CONFOUNDED,-0.3992,-0.4691
039dd7f4-2a24-4add-942e-19adbc080b11,hg38,Histone,Blood,100.0,bed,21444.0,ok,9097,2.0,156283.0,0.6388,0.9882,28.0,CONFOUNDED,0.6816,0.966,74.0,CONFOUNDED,0.1716,0.715
03bb638b-33ce-460f-81bc-d8ee07295e06,hg19,TFs and others,Blood,50.0,bed,1000.0,ok,7403,5.0,179825.0,0.4261,0.7845,3321.0,CONFOUNDED,0.4155,0.8835,0.0,CONFOUNDED,-0.7676,0.5934
03c660b5-9d6a-4d60-9fdd-78ecf2c02962,hg38,DNase-seq,Blood,50.0,rnd,2326.0,ok,817,96.0,223431.0,0.5543,0.9634,19.0,CONFOUNDED,0.6695,0.9907,23.0,CONFOUNDED,-0.8167,-0.0876
03ce5de5-27cf-40a2-b392-365841d20d46,hg38,TFs and others,Gonad,50.0,bed,90.0,ok,112,569.0,103269.0,0.4588,0.7892,26.0,CONFOUNDED,0.6071,0.8109,18.0,CONFOUNDED,,0.4012
03d8513f-168b-4902-a506-9486e2f709ed,hg38,TFs and others,Blood,50.0,bed,736.0,ok,5460,109.0,180689.0,0.5891,0.92,788.0,CONFOUNDED,0.597,0.9324,202.0,CONFOUNDED,-0.3855,0.226
03ee07d0-d22c-4d5f-8e45-0ea0ea7a24f7,mm10,TFs and others,Pluripotent stem cell,50.0,rnd,3405.0,ok,7321,8.0,285009.0,0.1973,0.4437,2.0,NOT SIZE-DOMINATED,0.6232,0.9758,2195.0,CONFOUNDED,0.5759,-0.9314
0407fa7e-898f-4a89-b4f4-68ffdedd528b,hg38,TFs and others,Pluripotent stem cell,50.0,rnd,2889.0,ok,2024,40.0,807639.0,0.3816,0.92,722.0,PARTIALLY CONFOUNDED,0.3926,0.972,364.0,PARTIALLY CONFOUNDED,,0.5508
04418d9b-5dcb-4593-ac79-d2f65b8b81e7,hg38,Histone,All cell types,50.0,rnd,239.0,ok,32916,19.0,529293.0,0.4919,0.9037,1857.0,CONFOUNDED,0.7339,0.9666,10254.0,CONFOUNDED,-0.8583,0.0179
045bb394-ffb3-4cea-9a65-c8208580cbcd,hg38,TFs and others,Liver,100.0,bed,123.0,ok,1316,171.0,102806.0,0.1868,0.2677,1266.0,NOT SIZE-DOMINATED,0.4572,0.8703,0.0,CONFOUNDED,-0.8579,0.2664
046e6f19-b238-453d-b2fb-758c50197788,hg38,TFs and others,All cell types,50.0,rnd,3003.0,ok,32610,1.0,807639.0,0.278,0.8169,4706.0,PARTIALLY CONFOUNDED,0.6327,0.9921,1714.0,CONFOUNDED,-0.776,0.361
04819184-fa92-47ed-a3a9-cc39ed930e05,hg38,TFs and others,Neural,50.0,rnd,102.0,ok,775,224.0,128027.0,,,775.0,NOT SIZE-DOMINATED,0.3973,0.5873,587.0,PARTIALLY CONFOUNDED,,
049789b4-3d61-4df2-b931-e2ffefe67c0c,hg38,Bisulfite-Seq,Blood,999.0,rnd,557.0,ok,7521,1.0,646491.0,0.535,0.8848,3482.0,CONFOUNDED,0.5595,0.8412,3803.0,CONFOUNDED,-0.7594,0.1986
049af925-2d7c-455d-a596-6136ed210ed8,hg38,TFs and others,All cell types,50.0,bed,1475.0,ok,26070,29.0,807639.0,0.4388,0.9102,1021.0,CONFOUNDED,0.4674,0.9322,2094.0,CONFOUNDED,-0.2059,-0.0296
04d612ec-03b5-4501-8be4-ff47222006e7,hg38,TFs and others,All cell types,50.0,rnd,1293.0,ok,21561,53.0,807639.0,0.3874,0.7766,1047.0,PARTIALLY CONFOUNDED,0.6165,0.9184,4274.0,CONFOUNDED,-0.4885,0.0731
04deb9c3-38d8-4c53-b4c0-2d77142baba5,hg38,TFs and others,Bone,100.0,rnd,2843.0,ok,858,8.0,91697.0,0.5685,0.7116,268.0,CONFOUNDED,0.7433,0.9396,397.0,CONFOUNDED,-0.2895,-0.1551
055ffcfe-0155-4fd1-bc9c-0a7fc836b533,,,,,,,TOO FEW SETS (<8),0,,,,,,,,,,,,
056f38a1-1182-4602-bc25-b22d04572376,hg38,Histone,Blood,50.0,rnd,80.0,ok,7286,75.0,529293.0,0.2064,0.7425,26.0,PARTIALLY CONFOUNDED,0.3673,0.7072,2834.0,PARTIALLY CONFOUNDED,-0.7071,-0.0763
