job,n_sets,r2_query,r2_control,size_min,size_max
000b5579-acc7-4baf-9c77-6d4ab0b438dc,22267,0.4404,0.5483,67,807639
0015b573-c11f-4860-a675-e2c29384b718,26767,0.4663,0.6011,1,83768
00401d19-f0e9-4c58-b5d0-993d21971ea2,399,0.35,0.2902,64,53559
00480f72-c37c-47f4-be0a-5bc50ceaa194,22249,0.2348,0.1718,18,807639
00520983-cdf6-4499-83d3-2bdeb167b01b,860,0.4476,0.7968,297,94025
011b03c8-d133-417a-bd48-875a1126f7c6,31877,0.345,0.752,9,807639
0183d9f0-f016-44a9-90e9-6ac07867f0cc,3145,0.6013,0.4993,6,145418
0186e43c-0a6e-4f88-b51a-61ee808be276,21858,0.4865,0.5794,20,285009
01957b37-94fa-4879-9066-2acd799d1c8a,1148,0.7785,0.6637,18,94035
01c01ae4-1c1b-4ecb-8f1e-7fd61970c172,19054,0.4081,0.534,5,796659
024833b9-8811-460a-86f4-67ec569c8e10,1570,0.3295,0.2238,8,384308
02ba6c13-f6a7-477a-ade0-37fda399819b,61,0.1576,0.3594,3925,327419
02cfcf63-0137-497b-85cb-6e82d6139439,27815,0.6491,0.6556,35,317164
03190117-c14b-4e47-95f4-94aa3b980317,21057,0.3536,0.6216,31,807639
03840b67-4f67-479b-8e3d-ecc91c92d8ad,6348,0.361,0.3538,1,451122
039dd7f4-2a24-4add-942e-19adbc080b11,9097,0.6388,0.6816,2,156283
03bb638b-33ce-460f-81bc-d8ee07295e06,7403,0.4261,0.4155,5,179825
03c660b5-9d6a-4d60-9fdd-78ecf2c02962,817,0.5543,0.6695,96,223431
03ce5de5-27cf-40a2-b392-365841d20d46,112,0.4588,0.6071,569,103269
03d8513f-168b-4902-a506-9486e2f709ed,5460,0.5891,0.597,109,180689
03ee07d0-d22c-4d5f-8e45-0ea0ea7a24f7,7321,0.1973,0.6232,8,285009
0407fa7e-898f-4a89-b4f4-68ffdedd528b,2024,0.3816,0.3926,40,807639
04418d9b-5dcb-4593-ac79-d2f65b8b81e7,32916,0.4919,0.7339,19,529293
