n_sets,agreement_raw,agreement_after_removing_size,pct_of_agreement_that_is_size,job_a,job_b
19177,0.6093,0.1744,71.4,000b5579-acc7-4baf-9c77-6d4ab0b438dc,00480f72-c37c-47f4-be0a-5bc50ceaa194
22260,0.7123,0.1712,76.0,000b5579-acc7-4baf-9c77-6d4ab0b438dc,011b03c8-d133-417a-bd48-875a1126f7c6
19215,0.664,0.2328,64.9,000b5579-acc7-4baf-9c77-6d4ab0b438dc,03190117-c14b-4e47-95f4-94aa3b980317
4887,0.7816,0.2486,68.2,000b5579-acc7-4baf-9c77-6d4ab0b438dc,03d8513f-168b-4902-a506-9486e2f709ed
1220,0.8609,0.1616,81.2,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0407fa7e-898f-4a89-b4f4-68ffdedd528b
22267,0.5944,0.0116,98.1,000b5579-acc7-4baf-9c77-6d4ab0b438dc,046e6f19-b238-453d-b2fb-758c50197788
762,,,,000b5579-acc7-4baf-9c77-6d4ab0b438dc,04819184-fa92-47ed-a3a9-cc39ed930e05
21462,0.7902,0.09,88.6,000b5579-acc7-4baf-9c77-6d4ab0b438dc,049af925-2d7c-455d-a596-6136ed210ed8
19760,0.7725,0.426,44.9,000b5579-acc7-4baf-9c77-6d4ab0b438dc,04d612ec-03b5-4501-8be4-ff47222006e7
1221,0.7848,0.3888,50.5,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0583d301-e593-4cbe-8e62-3f5358da29c1
1151,0.8574,0.0416,95.2,000b5579-acc7-4baf-9c77-6d4ab0b438dc,05e9aecd-b2bd-4560-900a-66690f9275cb
1194,-0.1056,-0.1477,-39.9,000b5579-acc7-4baf-9c77-6d4ab0b438dc,062aef2f-acb0-4a46-9407-78ee8170ebdf
22267,0.7824,0.122,84.4,000b5579-acc7-4baf-9c77-6d4ab0b438dc,068d84e4-ec3f-4735-a748-c0ae32309b8a
373,0.7963,0.4249,46.6,000b5579-acc7-4baf-9c77-6d4ab0b438dc,083f4603-7c3e-4fa7-baec-d9130703aecb
22259,0.7273,0.0892,87.7,000b5579-acc7-4baf-9c77-6d4ab0b438dc,085d186b-b9fa-409a-94df-50902f4f1083
22267,0.5581,0.1103,80.2,000b5579-acc7-4baf-9c77-6d4ab0b438dc,08b2dabb-c378-4b06-b447-edb6f06fde84
1152,0.8299,0.1795,78.4,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0a6203e7-0fb7-4010-8eff-48176d22f4c6
22267,0.0473,-0.1371,-190.1,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0adebc66-be53-47fa-9301-554075be57ac
22263,0.7656,0.1516,80.2,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0aeaff29-d399-4b99-a217-80ea19b65264
18051,0.5581,0.0412,92.6,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0bcc4a48-0f11-4bac-97c4-29157b5410ce
22267,0.4823,0.0658,86.4,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0c01606c-be17-4298-a45d-c085923e61e3
14509,0.4901,0.1926,60.7,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0c03c281-e2dc-4f3b-a52f-c28535cd5b61
21504,0.8558,0.4301,49.7,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0c49a659-ca54-4366-adfa-0e7583fb52d5
19204,0.6206,0.3143,49.4,000b5579-acc7-4baf-9c77-6d4ab0b438dc,0c7ca86a-94a4-43c3-9c59-20754d160b28
