program,R_p_k562,n_hits_q05_k562,n_present_k562,R_p_rpe1,n_hits_q05_rpe1,n_present_rpe1
HALLMARK_MYC_TARGETS_V1,3.7565,5707,194,3.3666,2325,194
HALLMARK_E2F_TARGETS,3.7535,5668,190,3.3802,2399,187
HALLMARK_G2M_CHECKPOINT,3.7185,5229,182,3.3736,2363,181
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.5214,3321,193,2.7267,532,194
HALLMARK_MYC_TARGETS_V2,3.479,3012,55,3.2838,1921,54
HALLMARK_TNFA_SIGNALING_VIA_NFKB,3.4209,2635,78,3.2201,1659,119
HALLMARK_HEME_METABOLISM,3.3854,2428,133,2.8722,744,118
HALLMARK_MITOTIC_SPINDLE,3.2443,1754,158,3.2672,1849,171
HALLMARK_MTORC1_SIGNALING,3.2322,1706,176,3.181,1516,180
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.9661,924,45,3.2725,1872,132
HALLMARK_CHOLESTEROL_HOMEOSTASIS,2.8887,773,52,1.8573,71,52
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.7143,517,94,2.791,617,99
HALLMARK_APOPTOSIS,2.6274,423,85,3.0626,1154,104
HALLMARK_INFLAMMATORY_RESPONSE,2.5378,344,51,2.1492,140,70
HALLMARK_GLYCOLYSIS,2.5237,333,117,2.6474,443,146
HALLMARK_COMPLEMENT,2.5224,332,80,2.5694,370,96
HALLMARK_INTERFERON_GAMMA_RESPONSE,2.4728,296,74,2.6712,468,90
HALLMARK_PROTEIN_SECRETION,2.4265,266,84,2.9961,990,87
HALLMARK_ADIPOGENESIS,2.2856,192,147,1.8388,68,157
HALLMARK_APICAL_JUNCTION,2.1847,152,82,2.9782,950,103
HALLMARK_P53_PATHWAY,2.1818,151,119,3.2601,1819,135
HALLMARK_INTERFERON_ALPHA_RESPONSE,2.0899,122,40,2.4393,274,53
HALLMARK_HYPOXIA,2.0,99,88,3.0734,1183,130
HALLMARK_ESTROGEN_RESPONSE_LATE,1.9823,95,76,2.1106,128,89
HALLMARK_TGF_BETA_SIGNALING,1.9542,89,36,2.4579,286,49
HALLMARK_COAGULATION,1.9294,84,34,3.1611,1448,57
HALLMARK_DNA_REPAIR,1.9243,83,131,2.2695,185,135
HALLMARK_FATTY_ACID_METABOLISM,1.7993,62,105,2.5366,343,106
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.6532,44,32,2.6128,409,37
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.5911,38,41,2.1206,131,42
HALLMARK_UV_RESPONSE_DN,1.4914,30,68,2.942,874,117
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.3222,20,76,0.0,0,78
HALLMARK_ALLOGRAFT_REJECTION,1.2788,18,59,0.301,1,68
HALLMARK_ANDROGEN_RESPONSE,1.2304,16,64,1.0,9,74
HALLMARK_IL2_STAT5_SIGNALING,1.0792,11,89,1.7782,59,106
HALLMARK_KRAS_SIGNALING_UP,1.0414,10,52,2.9395,869,77
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.0,9,76,2.8506,708,98
HALLMARK_KRAS_SIGNALING_DN,0.699,4,26,2.5502,354,25
HALLMARK_UV_RESPONSE_UP,0.6021,3,104,1.3424,21,98
HALLMARK_SPERMATOGENESIS,0.0,0,56,3.081,1204,55
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0,0,20,0.0,0,25
HALLMARK_ANGIOGENESIS,0.0,0,11,2.5843,383,15
HALLMARK_BILE_ACID_METABOLISM,0.0,0,42,0.7782,5,51
HALLMARK_APICAL_SURFACE,0.0,0,12,0.301,1,18
HALLMARK_PEROXISOME,0.0,0,66,0.0,0,68
HALLMARK_PANCREAS_BETA_CELLS,0.0,0,9,0.0,0,9
HALLMARK_NOTCH_SIGNALING,0.0,0,14,0.0,0,19
HALLMARK_MYOGENESIS,0.0,0,54,3.1364,1368,86
HALLMARK_HEDGEHOG_SIGNALING,0.0,0,10,0.0,0,16
HALLMARK_XENOBIOTIC_METABOLISM,0.0,0,85,0.7782,5,100
