screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
100,0.0744,0.0845,84,20245,50,28145866,Calu-1,response to chemicals,GECKO v2
1000,0.203,0.1604,1211,17986,50,30971826,TE-10,cell proliferation,Human CRISPR Library v.1.1
1001,0.1928,0.1495,1530,17986,50,30971826,TE-4,cell proliferation,Human CRISPR Library v.1.1
1002,0.1854,0.141,1363,17986,50,30971826,TE-5,cell proliferation,Human CRISPR Library v.1.1
1003,0.1919,0.1567,1835,17986,50,30971826,TE-8,cell proliferation,Human CRISPR Library v.1.1
1004,0.1288,0.1044,1344,17986,50,30971826,TE-9,cell proliferation,Human CRISPR Library v.1.1
1005,0.2058,0.1693,1629,17986,50,30971826,TGW,cell proliferation,Human CRISPR Library v.1.1
1006,0.199,0.1679,1458,17986,50,30971826,TMK-1,cell proliferation,Human CRISPR Library v.1.1
1007,0.2208,0.1852,1818,17986,50,30971826,TOV-112D,cell proliferation,Human CRISPR Library v.1.1
1008,0.1762,0.1523,1213,17986,50,30971826,TOV-21G,cell proliferation,Human CRISPR Library v.1.1
1009,0.1573,0.1388,1765,17986,50,30971826,TYK-nu,cell proliferation,Human CRISPR Library v.1.1
1010,0.1395,0.1185,1296,17986,50,30971826,U-87MG ATCC,cell proliferation,Human CRISPR Library v.1.1
1011,0.1565,0.1288,1483,17986,50,30971826,U-251MG,cell proliferation,Human CRISPR Library v.1.1
1012,0.2136,0.1784,1227,17986,50,30971826,UACC-893,cell proliferation,Human CRISPR Library v.1.1
1013,0.2521,0.2107,1344,17986,50,30971826,UWB1.289,cell proliferation,Human CRISPR Library v.1.1
1014,0.2292,0.1912,1629,17986,50,30971826,VMRC-LCD,cell proliferation,Human CRISPR Library v.1.1
1015,0.1322,0.1105,440,17986,50,30971826,YH-13,cell proliferation,Human CRISPR Library v.1.1
1017,0.4508,0.422,538,16932,50,30655525,Huh-7.5.1,response to virus,GECKO v2
1018,0.0462,0.0491,21,20787,50,30951565,HEK293T,response to toxin,GECKO v2
1019,0.013,0.0086,27,18926,50,30951565,HEK293T,response to toxin,GECKO v2
1020,0.2754,0.2301,2074,18046,50,30995489,G549NS-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1021,0.2613,0.2128,1984,18045,50,30995489,G583NS-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1022,0.5648,0.5107,2002,16971,50,30995489,G523NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1023,0.6235,0.5889,2901,16971,50,30995489,G564NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1024,0.3639,0.3085,1931,16971,50,30995489,G477NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1025,0.371,0.3176,1737,16971,50,30995489,G432NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1026,0.3397,0.3001,1752,16971,50,30995489,G440NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1027,0.2773,0.2353,1756,16971,50,30995489,G472NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1028,0.3295,0.2805,1971,16971,50,30995489,G510NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1029,0.2388,0.2063,1566,16971,50,30995489,G361NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1030,0.5533,0.5363,3381,18046,50,30995489,HF7450-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1031,0.5224,0.4668,3037,18046,50,30995489,HF6562-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1032,0.3181,0.2527,1594,11632,50,31316073,K-562,cell proliferation,Mini-human
