screen_id,survivors_top10,top10_boundary_tied,r2_size_alone,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
100,8,True,0.0744,84,20245,50,28145866,Calu-1,response to chemicals,GECKO v2
1000,10,False,0.203,1211,17986,50,30971826,TE-10,cell proliferation,Human CRISPR Library v.1.1
1001,10,True,0.1928,1530,17986,50,30971826,TE-4,cell proliferation,Human CRISPR Library v.1.1
1002,10,False,0.1854,1363,17986,50,30971826,TE-5,cell proliferation,Human CRISPR Library v.1.1
1003,9,False,0.1919,1835,17986,50,30971826,TE-8,cell proliferation,Human CRISPR Library v.1.1
1004,9,False,0.1288,1344,17986,50,30971826,TE-9,cell proliferation,Human CRISPR Library v.1.1
1005,9,True,0.2058,1629,17986,50,30971826,TGW,cell proliferation,Human CRISPR Library v.1.1
1006,8,False,0.199,1458,17986,50,30971826,TMK-1,cell proliferation,Human CRISPR Library v.1.1
1007,9,False,0.2208,1818,17986,50,30971826,TOV-112D,cell proliferation,Human CRISPR Library v.1.1
1008,9,False,0.1762,1213,17986,50,30971826,TOV-21G,cell proliferation,Human CRISPR Library v.1.1
1009,9,False,0.1573,1765,17986,50,30971826,TYK-nu,cell proliferation,Human CRISPR Library v.1.1
1010,8,True,0.1395,1296,17986,50,30971826,U-87MG ATCC,cell proliferation,Human CRISPR Library v.1.1
1011,9,True,0.1565,1483,17986,50,30971826,U-251MG,cell proliferation,Human CRISPR Library v.1.1
1012,10,True,0.2136,1227,17986,50,30971826,UACC-893,cell proliferation,Human CRISPR Library v.1.1
1013,9,False,0.2521,1344,17986,50,30971826,UWB1.289,cell proliferation,Human CRISPR Library v.1.1
1014,9,False,0.2292,1629,17986,50,30971826,VMRC-LCD,cell proliferation,Human CRISPR Library v.1.1
1015,9,False,0.1322,440,17986,50,30971826,YH-13,cell proliferation,Human CRISPR Library v.1.1
1017,6,True,0.4508,538,16932,50,30655525,Huh-7.5.1,response to virus,GECKO v2
1018,8,True,0.0462,21,20787,50,30951565,HEK293T,response to toxin,GECKO v2
1019,7,True,0.013,27,18926,50,30951565,HEK293T,response to toxin,GECKO v2
1020,9,False,0.2754,2074,18046,50,30995489,G549NS-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1021,10,False,0.2613,1984,18045,50,30995489,G583NS-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1022,6,True,0.5648,2002,16971,50,30995489,G523NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1023,5,False,0.6235,2901,16971,50,30995489,G564NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1024,9,False,0.3639,1931,16971,50,30995489,G477NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1025,10,False,0.371,1737,16971,50,30995489,G432NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1026,9,False,0.3397,1752,16971,50,30995489,G440NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1027,9,False,0.2773,1756,16971,50,30995489,G472NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1028,9,False,0.3295,1971,16971,50,30995489,G510NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1029,9,False,0.2388,1566,16971,50,30995489,G361NS-Cas9,cell proliferation,TKO (Toronto Knockout) v1
1030,7,True,0.5533,3381,18046,50,30995489,HF7450-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1031,8,False,0.5224,3037,18046,50,30995489,HF6562-Cas9,cell proliferation,Toronto Knockout version 3 (TKOv3)
1032,7,True,0.3181,1594,11632,50,31316073,K-562,cell proliferation,Mini-human
1033,8,False,0.3675,1536,11632,50,31316073,K-562,cell proliferation,Human Activity-optimized genome-wide library
1034,6,False,0.4338,1614,11632,50,31316073,K-562,cell proliferation,GECKO v2
1045,8,True,0.1919,110,18776,50,31294695,LK-2,response to chemicals,CRISPRi-v2 (inhibition)
1048,6,True,0.3484,811,18519,50,29987050,T-47D,cell proliferation,GECKO v2
1050,8,False,0.5196,1036,18519,50,29987050,T-47D,cell proliferation,GECKO v2
1052,6,False,0.4695,968,18519,50,29987050,MCF-7,cell proliferation,GECKO v2
1053,7,False,0.5009,1061,18519,50,29987050,MCF-7,cell proliferation,GECKO v2
1062,7,False,0.2138,173,16931,50,30995489,G432NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1063,8,True,0.28,199,16931,50,30995489,G472NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1064,7,False,0.1657,157,16930,50,30995489,G361NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1065,5,True,0.3331,281,16931,50,30995489,G523NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1066,7,True,0.3687,285,16931,50,30995489,G510NS-Cas9,response to chemicals,TKO (Toronto Knockout) v1
1067,7,True,0.3878,417,16931,50,30995489,G583NS-Cas9,response to chemicals,Toronto Knockout version 3 (TKOv3)
1075,6,True,0.204,177,18134,50,28700943,HCT 116,cell proliferation,"CRISPRn (Martin, 2017)"
1076,8,True,0.0456,62,17862,50,28700943,LS513,cell proliferation,"CRISPRn (Martin, 2017)"
1081,4,False,0.8913,5792,20617,50,31921143,K-562,cell proliferation,GECKO v2
1082,1,True,0.9622,5822,20617,50,31921143,K-562,cell proliferation,GECKO v2
1083,1,True,0.9258,6349,20617,50,31921143,K-562,cell proliferation,GECKO v2
1092,8,True,0.1228,186,20522,50,31540829,U-937,response to bacteria,Bassik Human CRISPR Knockout Library
1104,2,False,0.771,1021,18661,50,31353312,HeLa,protein/peptide accumulation,GECKO v2
1107,7,False,0.7138,3787,19100,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1109,4,True,0.4516,559,19100,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1110,5,True,0.4946,618,19106,50,30449619,CD8+ T s (primary-derived),protein/peptide accumulation,Brunello (human)
1111,8,False,0.1316,747,20401,50,30581143,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1112,8,True,0.1116,476,20407,50,30581143,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1113,7,True,0.4315,565,20395,50,30581143,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1114,8,True,0.175,710,20400,50,30581143,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1119,7,True,0.0786,101,20393,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1121,9,True,0.1466,84,20394,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1123,9,True,0.133,91,20397,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1125,8,False,0.1003,128,20374,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1135,9,True,0.1607,36,20396,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1137,7,True,0.1927,171,20396,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1140,6,False,0.298,260,20398,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1142,8,True,0.197,85,20396,50,30397336,U-937,phagocytosis,Bassik Human CRISPR Knockout Library
1144,5,True,0.4877,141,19049,50,30647128,THP-1,pyroptosis,"CRISPRn (Hoffman and Nyfeler, 2016)"
1145,10,False,0.1105,213,19113,50,32259488,K-562,cell proliferation,Brunello (human)
1146,8,False,0.0882,109,19113,50,32259488,K-562,cell proliferation,Brunello (human)
1147,9,True,0.2758,600,19106,50,32542389,PaTu 8988t,cell proliferation,Brunello (human)
1153,6,True,0.601,1467,18491,50,27018887,K-562,response to chemicals,"CRISPRn (Bassik, 2016)"
1155,8,True,0.028,23,20431,50,31452512,K-562,cell proliferation,"CRISPRn (Settleman, 2019)"
1159,6,True,0.5715,2798,18612,50,31761535,BJ,response to chemicals,Avana
1160,8,True,0.0814,22,20431,50,31452512,K-562,cell proliferation,"CRISPRn (Settleman, 2019)"
1161,7,True,0.2898,457,15964,50,25307932,K-562,response to toxin,"CRISPRi (Weissman, 2014)"
1162,8,True,0.1907,132,15965,50,25307932,K-562,response to toxin,"CRISPRa (Weissman, 2014)"
1163,8,True,0.0251,22,19049,50,31801065,HepG2-NTCP1 HBV Cas9,response to virus,"CRISPRn (Helliwell, 2018)"
1164,10,False,0.0118,38,19049,50,31801065,HepG2-NTCP1 HBV Cas9,response to virus,"CRISPRn (Helliwell, 2018)"
1168,7,True,0.0301,30,21594,50,27383987,Huh-7.5.1,response to virus,GECKO v2
1169,9,True,0.0545,30,21570,50,27383987,Huh-7.5.1,response to virus,GECKO v2
1170,6,True,0.5782,1013,21705,50,31527793,H1-HeLa+CHDR3,response to virus,GECKO v2
1171,4,True,0.7396,981,21641,50,31527793,H1-HeLa+CHDR3,response to virus,GECKO v2
1172,8,True,0.1025,133,18373,50,31019072,iPSC derived neural progenitor,response to virus,Human Activity-optimized genome-wide library
1176,8,False,0.2202,619,31965,50,28985505,K-562,response to chemicals,"CRISPRi (Weissman, 2014)"
1177,6,False,0.5533,666,31965,50,28985505,K-562,response to chemicals,"CRISPRa (Weissman, 2014)"
1187,9,True,0.0262,52,18646,50,32728216,K-562,protein/peptide accumulation,CRISPRi-v2 (inhibition)
1188,8,True,0.0085,25,20386,50,29211708,K-562,protein/peptide accumulation,Bassik Human CRISPR Knockout Library
1192,8,False,0.1959,528,19253,50,31727847,T-47D,cell proliferation,"CRISPRn (Liu and Brown, 2019)"
1193,9,False,0.1748,281,19253,50,31727847,LNCaP,cell proliferation,"CRISPRn (Liu and Brown, 2019)"
1199,8,True,0.1662,177,19106,50,31519728,U2OS,protein/peptide accumulation,Brunello (human)
1203,9,True,0.0516,191,19455,50,27667664,K-562,viability,Avana-4
1204,9,False,0.212,1218,19455,50,27667664,K-562,viability,Avana-4
1205,8,False,0.1919,930,18958,50,31551363,PLC/PRF/5,cell proliferation,GECKO v2
1206,7,True,0.0733,58,18958,50,31551363,PLC/PRF/5,cell proliferation,GECKO v2
1209,3,True,0.5586,936,18408,50,31142663,HuH-7,response to virus,Human SAM library in lentiSAMv2 backbone
1210,3,True,0.691,957,18411,50,31142663,HuH-7,response to virus,Human SAM library in lentiSAMv2 backbone
1220,6,False,0.201,431,20806,50,33333024,Huh-7.5.1,response to virus,GECKO v2
1221,5,False,0.2379,560,20806,50,33333024,Huh-7.5.1,response to virus,GECKO v2
1222,5,False,0.3949,596,20806,50,33333024,Huh-7.5.1,response to virus,GECKO v2
1224,9,True,0.177,100,18001,50,27351204,H4,protein/peptide accumulation,"CRISPRn (Hoffman and Nyfeler, 2016)"
1225,9,True,0.1169,102,18001,50,27351204,H4,protein/peptide accumulation,"CRISPRn (Hoffman and Nyfeler, 2016)"
1227,7,True,0.0408,20,18603,50,29736038,U-937,response to toxin,"CRISPRn (Spaan, 2018)"
1228,8,True,0.185,386,20570,50,29507424,K-562,cell proliferation,Bassik Human CRISPR Knockout Library
1229,6,True,0.1965,214,20568,50,29507424,K-562,cell proliferation,Bassik Human CRISPR Knockout Library
1238,6,False,0.4551,2811,19948,50,32238925,NCI-H23,cell proliferation,Bassik Human CRISPR Knockout Library
1239,8,True,0.2332,154,19854,50,32238925,NCI-H23,response to chemicals,Bassik Human CRISPR Knockout Library
1240,7,False,0.5175,2431,19948,50,32238925,NCI-H23,cell proliferation,Bassik Human CRISPR Knockout Library
1241,6,True,0.1445,167,19842,50,32238925,NCI-H23,response to chemicals,Bassik Human CRISPR Knockout Library
1242,7,False,0.3291,605,19849,50,32238925,NCI-H23,cell proliferation,Bassik Human CRISPR Knockout Library
1243,7,False,0.3394,2703,19963,50,32238925,NCI-H2009,cell proliferation,Bassik Human CRISPR Knockout Library
1244,7,False,0.3179,1933,19963,50,32238925,NCI-H2009,cell proliferation,Bassik Human CRISPR Knockout Library
