screen_id,survivors_top10,top10_boundary_tied,r2_size_alone
100,8,True,0.0744
1000,10,False,0.203
1001,10,True,0.1928
1002,10,False,0.1854
1003,9,False,0.1919
1004,9,False,0.1288
1005,9,True,0.2058
1006,8,False,0.199
1007,9,False,0.2208
1008,9,False,0.1762
1009,9,False,0.1573
1010,8,True,0.1395
1011,9,True,0.1565
1012,10,True,0.2136
1013,9,False,0.2521
1014,9,False,0.2292
1015,9,False,0.1322
1017,6,True,0.4508
1018,8,True,0.0462
1019,7,True,0.013
1020,9,False,0.2754
1021,10,False,0.2613
1022,6,True,0.5648
1023,5,False,0.6235
1024,9,False,0.3639
1025,10,False,0.371
1026,9,False,0.3397
1027,9,False,0.2773
1028,9,False,0.3295
1029,9,False,0.2388
1030,7,True,0.5533
1031,8,False,0.5224
1032,7,True,0.3181
1033,8,False,0.3675
1034,6,False,0.4338
1045,8,True,0.1919
1048,6,True,0.3484
1050,8,False,0.5196
1052,6,False,0.4695
1053,7,False,0.5009
1062,7,False,0.2138
1063,8,True,0.28
1064,7,False,0.1657
1065,5,True,0.3331
1066,7,True,0.3687
1067,7,True,0.3878
1075,6,True,0.204
1076,8,True,0.0456
1081,4,False,0.8913
1082,1,True,0.9622
1083,1,True,0.9258
1092,8,True,0.1228
1104,2,False,0.771
1107,7,False,0.7138
1109,4,True,0.4516
1110,5,True,0.4946
1111,8,False,0.1316
1112,8,True,0.1116
1113,7,True,0.4315
1114,8,True,0.175
1119,7,True,0.0786
1121,9,True,0.1466
1123,9,True,0.133
1125,8,False,0.1003
1135,9,True,0.1607
1137,7,True,0.1927
1140,6,False,0.298
1142,8,True,0.197
1144,5,True,0.4877
1145,10,False,0.1105
1146,8,False,0.0882
1147,9,True,0.2758
1153,6,True,0.601
1155,8,True,0.028
1159,6,True,0.5715
1160,8,True,0.0814
1161,7,True,0.2898
1162,8,True,0.1907
1163,8,True,0.0251
1164,10,False,0.0118
1168,7,True,0.0301
1169,9,True,0.0545
1170,6,True,0.5782
1171,4,True,0.7396
1172,8,True,0.1025
1176,8,False,0.2202
1177,6,False,0.5533
1187,9,True,0.0262
1188,8,True,0.0085
1192,8,False,0.1959
1193,9,False,0.1748
1199,8,True,0.1662
1203,9,True,0.0516
1204,9,False,0.212
1205,8,False,0.1919
