screen_id,gate_r2_logsize,n_sets_used,has_scores,before_rho2,before_r2_linear,source_id,C1_hypergeom_rho2,C1_hypergeom_top10,C1_hypergeom_r2_linear,C2_perm_z_rho2,C2_perm_z_top10,C2_perm_z_r2_linear,C3_camera_rho0_rho2,C3_camera_rho0_top10,C3_camera_rho0_r2_linear,C4_vif_rho01_rho2,C4_vif_rho01_top10,C4_vif_rho01_r2_linear,C4_vif_rho05_rho2,C4_vif_rho05_top10,C4_vif_rho05_r2_linear,C5_residual_rho2,C5_residual_top10,C5_residual_r2_linear
100,0.0744,50,True,0.0559,0.0845,28145866,0.0114,8,0.0066,0.0306,7,0.0,0.0066,4,0.0039,0.006,4,0.0454,0.0228,4,0.0952,0.0254,8,0.0
1000,0.203,50,True,0.0618,0.1604,30971826,0.0419,10,0.0278,0.1269,10,0.0028,0.0921,9,0.0568,0.0301,9,0.0281,0.0102,9,0.0122,0.0334,10,0.0
1001,0.1928,50,True,0.0592,0.1495,30971826,0.0276,10,0.0267,0.1275,10,0.002,0.1397,10,0.0589,0.072,10,0.0305,0.0316,10,0.0147,0.0139,10,0.0
1002,0.1854,50,True,0.0521,0.141,30971826,0.0536,10,0.0278,0.1193,10,0.0024,0.128,10,0.0624,0.0602,10,0.0328,0.0281,10,0.0162,0.0233,10,-0.0
1003,0.1919,50,True,0.082,0.1567,30971826,0.107,9,0.0267,0.1183,9,0.0006,0.1063,9,0.0558,0.0339,9,0.0284,0.0033,9,0.0129,0.0177,9,0.0
1004,0.1288,50,True,0.0465,0.1044,30971826,0.0145,9,0.0306,0.0968,9,0.0038,0.136,9,0.0641,0.0632,9,0.0353,0.0206,9,0.0178,0.0071,9,0.0
1005,0.2058,50,True,0.0626,0.1693,30971826,0.0538,9,0.0338,0.1166,9,0.0032,0.1127,9,0.0587,0.0316,9,0.0309,0.0006,9,0.0148,0.0192,9,-0.0
1006,0.199,50,True,0.0819,0.1679,30971826,0.0345,9,0.0303,0.0975,9,0.0037,0.1141,9,0.0556,0.0207,9,0.0268,0.0016,9,0.011,0.0158,8,-0.0
1007,0.2208,50,True,0.1021,0.1852,30971826,0.0419,9,0.0315,0.1017,9,0.0033,0.1463,9,0.0561,0.0676,9,0.0277,0.027,9,0.0123,0.0177,9,0.0
1008,0.1762,50,True,0.0933,0.1523,30971826,0.0147,9,0.0254,0.0626,9,0.0052,0.1399,9,0.0604,0.0628,9,0.0308,0.013,9,0.0143,0.0087,9,0.0
1009,0.1573,50,True,0.0837,0.1388,30971826,0.0738,9,0.0282,0.0912,9,0.0012,0.1318,9,0.0587,0.0643,9,0.0319,0.0315,9,0.0167,0.012,9,-0.0
1010,0.1395,50,True,0.0767,0.1185,30971826,0.0782,9,0.0278,0.1252,8,0.0019,0.1455,9,0.0493,0.0508,9,0.0231,0.0093,9,0.0092,0.0126,8,-0.0
1011,0.1565,50,True,0.0547,0.1288,30971826,0.0514,9,0.0292,0.1246,9,0.0025,0.1447,9,0.0659,0.0594,9,0.0345,0.0192,9,0.0165,0.0223,9,0.0
1012,0.2136,50,True,0.079,0.1784,30971826,0.0199,10,0.0422,0.1002,10,0.0116,0.0804,10,0.0697,0.0181,10,0.0416,0.0004,10,0.0233,0.0191,10,0.0
1013,0.2521,50,True,0.1027,0.2107,30971826,0.0044,9,0.0424,0.0404,9,0.0124,0.0667,9,0.0593,0.0134,9,0.0348,0.0009,9,0.019,0.0121,9,0.0
1014,0.2292,50,True,0.1155,0.1912,30971826,0.0922,9,0.0314,0.109,9,0.0045,0.1508,9,0.0602,0.0676,9,0.0326,0.0337,9,0.0168,0.0223,9,0.0
1015,0.1322,50,True,0.0252,0.1105,30971826,0.0064,9,0.0434,0.0817,9,0.0222,0.0776,8,0.0697,0.028,9,0.0376,0.0038,9,0.0182,0.0459,9,0.0
1017,0.4508,50,True,0.3641,0.422,30655525,0.0088,8,0.0417,0.0,8,0.0027,0.0187,5,0.0229,0.0003,5,0.0,0.0035,4,0.015,0.0002,6,0.0
1018,0.0462,50,True,0.0411,0.0491,30951565,0.033,10,0.0342,0.3973,8,0.0136,0.0016,1,0.0011,0.006,1,0.0266,0.037,1,0.0857,0.3973,8,0.0
1019,0.013,50,True,0.0106,0.0086,30951565,0.0099,10,0.0011,0.5416,7,0.0052,0.0031,3,0.0,0.0321,3,0.0215,0.0798,3,0.0572,0.5416,7,0.0
1020,0.2754,50,True,0.1094,0.2301,30995489,0.159,9,0.029,0.1627,9,0.0001,0.1678,9,0.0512,0.0475,9,0.0236,0.0151,9,0.009,0.0369,9,-0.0
1021,0.2613,50,True,0.083,0.2128,30995489,0.0992,10,0.0251,0.124,10,0.0001,0.0992,9,0.0587,0.0308,9,0.0275,0.0035,9,0.0108,0.0163,10,-0.0
1022,0.5648,50,True,0.3506,0.5107,30995489,0.0012,8,0.0123,0.004,8,0.0061,0.066,7,0.0331,0.0064,7,0.0079,0.0041,6,0.0001,0.0337,6,0.0
1023,0.6235,50,True,0.4322,0.5889,30995489,0.0039,7,0.0111,0.006,7,0.0024,0.0079,7,0.0181,0.0003,7,0.0023,0.011,7,0.0005,0.0066,5,0.0
1024,0.3639,50,True,0.1718,0.3085,30995489,0.158,9,0.0084,0.1672,9,0.003,0.076,9,0.0342,0.0198,9,0.0096,0.0032,9,0.0008,0.0324,9,-0.0
1025,0.371,50,True,0.1948,0.3176,30995489,0.0647,10,0.009,0.0798,10,0.0,0.0506,8,0.02,0.0059,8,0.0026,0.0004,8,0.0004,0.0216,10,0.0
1026,0.3397,50,True,0.186,0.3001,30995489,0.1306,9,0.0065,0.1528,9,0.006,0.1089,8,0.0403,0.0409,8,0.0139,0.0048,8,0.0025,0.0096,9,0.0
1027,0.2773,50,True,0.1379,0.2353,30995489,0.1442,9,0.0139,0.1646,9,0.0,0.1435,8,0.0395,0.069,8,0.0154,0.0337,8,0.0044,0.039,9,0.0
1028,0.3295,50,True,0.1814,0.2805,30995489,0.1274,9,0.0112,0.147,9,0.0002,0.0602,9,0.0217,0.0063,7,0.0033,0.0001,7,0.0002,0.0227,9,0.0
1029,0.2388,50,True,0.1197,0.2063,30995489,0.0846,9,0.0143,0.1005,9,0.0001,0.0531,9,0.0233,0.0041,8,0.0042,0.0013,8,0.0,0.0188,9,0.0
1030,0.5533,50,True,0.436,0.5363,30995489,0.1267,7,0.0224,0.1339,7,0.0023,0.0256,6,0.0292,0.0,6,0.0063,0.0053,6,0.0,0.0471,7,0.0
1031,0.5224,50,True,0.2571,0.4668,30995489,0.0613,9,0.0326,0.0735,9,0.0027,0.1872,8,0.0658,0.1002,8,0.0314,0.0406,8,0.0129,0.0222,8,0.0
1032,0.3181,50,True,0.1711,0.2527,31316073,0.0978,8,0.0,0.115,7,0.0208,0.0058,7,0.0052,0.001,7,0.0001,0.0166,7,0.0031,0.0036,7,0.0
1033,0.3675,50,True,0.246,0.3126,31316073,0.0556,8,0.0,0.0719,8,0.0143,0.0129,7,0.0181,0.002,7,0.0042,0.0004,7,0.0,0.0042,8,0.0
1034,0.4338,50,True,0.213,0.3331,31316073,0.0665,8,0.0003,0.0911,8,0.0127,0.009,7,0.0086,0.0004,7,0.0007,0.0014,7,0.0016,0.0207,6,0.0
1045,0.1919,50,True,0.1575,0.2185,31294695,0.0285,8,0.0025,0.0,8,0.0015,0.0003,2,0.0014,0.0473,2,0.0324,0.0999,2,0.0764,0.0,8,0.0
1048,0.3484,50,True,0.2921,0.3746,29987050,0.0056,7,0.0225,0.0119,7,0.0014,0.0151,5,0.0157,0.0005,4,0.0007,0.0038,4,0.0021,0.0197,6,0.0
1050,0.5196,50,True,0.3063,0.4886,29987050,0.0007,8,0.0387,0.0149,8,0.0225,0.0421,8,0.0472,0.009,7,0.0215,0.0005,7,0.0083,0.0172,8,0.0
1052,0.4695,50,True,0.3689,0.4369,29987050,0.0,6,0.007,0.004,6,0.0001,0.0032,8,0.0105,0.0254,8,0.0001,0.0507,6,0.0041,0.0062,6,0.0
1053,0.5009,50,True,0.3944,0.4866,29987050,0.0011,8,0.0151,0.0021,8,0.0045,0.0072,7,0.0183,0.0024,7,0.0008,0.0126,7,0.0028,0.0028,7,0.0
1062,0.2138,50,True,0.1849,0.2265,30995489,0.0579,9,0.0322,0.0005,7,0.0109,0.0028,3,0.0006,0.0225,3,0.0383,0.0524,2,0.0979,0.0056,7,-0.0
1063,0.28,50,True,0.256,0.2715,30995489,0.0707,9,0.0445,0.0064,9,0.0139,0.0302,3,0.0249,0.0005,3,0.0019,0.0177,3,0.0021,0.0011,8,0.0
1064,0.1657,50,True,0.189,0.1659,30995489,0.0246,7,0.0196,0.0022,7,0.0017,0.0259,4,0.015,0.001,4,0.0,0.0117,3,0.0075,0.0009,7,0.0
1065,0.3331,50,True,0.2671,0.3326,30995489,0.0059,6,0.0039,0.0263,6,0.0029,0.0185,0,0.0227,0.094,0,0.1273,0.1597,0,0.2311,0.024,5,0.0
1066,0.3687,50,True,0.3045,0.3631,30995489,0.0465,7,0.0108,0.0162,7,0.0022,0.0,3,0.0047,0.0138,2,0.01,0.037,2,0.0492,0.0068,7,-0.0
1067,0.3878,50,True,0.4733,0.4355,30995489,0.0269,8,0.0098,0.0002,8,0.0039,0.0014,3,0.0196,0.0374,2,0.0001,0.1005,1,0.0102,0.0076,7,0.0
1075,0.204,50,True,0.1615,0.1998,28700943,0.1097,7,0.0533,0.0079,7,0.0521,0.0326,7,0.0595,0.0093,7,0.0255,0.0004,7,0.0088,0.0027,6,0.0
1076,0.0456,50,True,0.0684,0.0702,28700943,0.0098,8,0.0105,0.0273,7,0.002,0.0664,3,0.0531,0.0232,3,0.0169,0.0039,3,0.0029,0.0209,8,0.0
1081,0.8913,50,True,0.6021,0.8292,31921143,0.0253,6,0.0361,0.0289,6,0.0038,0.0003,3,0.0083,0.0187,2,0.0039,0.0479,2,0.0334,0.0794,4,0.0
1082,0.9622,50,True,0.8032,0.9329,31921143,0.0461,6,0.0189,0.0312,6,0.0145,0.02,3,0.0128,0.0014,3,0.005,0.014,1,0.0407,0.0185,1,0.0
1083,0.9258,50,True,0.7152,0.8674,31921143,0.0501,4,0.0184,0.0366,4,0.0615,0.0174,5,0.0514,0.0,4,0.0097,0.0086,3,0.0,0.0295,1,0.0
1092,0.1228,50,True,0.0523,0.0966,31540829,0.0016,8,0.0128,0.0241,8,0.0,0.0381,8,0.0541,0.0068,7,0.0199,0.0001,7,0.0055,0.0028,8,-0.0
1104,0.771,50,True,0.7009,0.7298,31353312,0.1342,9,0.1109,0.0968,8,0.074,0.0461,0,0.0551,0.1227,0,0.1529,0.1857,0,0.2302,0.0252,2,-0.0
1107,0.7138,50,True,0.4776,0.646,30449619,0.0278,8,0.0036,0.0317,8,0.001,0.0046,7,0.0166,0.0005,7,0.0012,0.0051,7,0.0012,0.0158,7,0.0
1109,0.4516,50,True,0.4109,0.4577,30449619,0.0002,5,0.0001,0.0053,5,0.0049,0.0021,1,0.0063,0.0039,0,0.002,0.0259,0,0.0173,0.0002,4,0.0
1110,0.4946,50,True,0.3,0.4412,30449619,0.0002,8,0.0064,0.0033,7,0.0,0.0005,0,0.0036,0.0174,0,0.0089,0.0667,0,0.0414,0.0154,5,0.0
1111,0.1316,50,True,0.0529,0.1131,30581143,0.0002,8,0.0055,0.0659,8,0.0008,0.0499,9,0.0155,0.0102,8,0.0,0.0006,7,0.0086,0.0039,8,0.0
1112,0.1116,50,True,0.0402,0.0881,30581143,0.0044,8,0.0185,0.0536,8,0.0016,0.0181,7,0.0182,0.0001,7,0.0022,0.0104,7,0.0005,0.0081,8,0.0
1113,0.4315,50,True,0.2356,0.3787,30581143,0.0098,8,0.0129,0.0016,8,0.0025,0.038,7,0.0376,0.0019,7,0.0023,0.0073,6,0.0045,0.006,7,0.0
1114,0.175,50,True,0.0408,0.1425,30581143,0.0079,9,0.0294,0.0441,9,0.0065,0.037,9,0.0448,0.0059,9,0.0134,0.0,8,0.0014,0.0211,8,0.0
1119,0.0786,50,True,0.0864,0.0716,30397336,0.0198,7,0.0139,0.0016,6,0.0001,0.0161,5,0.0519,0.0,5,0.012,0.0097,5,0.0001,0.0001,7,0.0
1121,0.1466,50,True,0.2071,0.1402,30397336,0.1236,9,0.0034,0.0041,9,0.0036,0.032,5,0.0374,0.0017,5,0.0085,0.0049,5,0.0003,0.0041,9,0.0
1123,0.133,50,True,0.1582,0.1404,30397336,0.0608,9,0.0165,0.0033,9,0.0072,0.0458,6,0.0549,0.0031,6,0.013,0.0001,6,0.0004,0.0034,9,-0.0
1125,0.1003,50,True,0.0923,0.0965,30397336,0.007,8,0.0,0.0005,8,0.0017,0.004,7,0.0005,0.0023,6,0.0052,0.015,6,0.0194,0.0005,8,0.0
1135,0.1607,50,True,0.203,0.1656,30397336,0.1676,9,0.0659,0.0,9,0.0549,0.0581,6,0.0203,0.0141,6,0.0005,0.0002,5,0.004,0.0,9,0.0
1137,0.1927,50,True,0.1964,0.1739,30397336,0.0746,7,0.0143,0.0277,7,0.0072,0.1098,6,0.0596,0.0533,6,0.0204,0.0298,5,0.0048,0.0028,7,-0.0
1140,0.298,50,True,0.216,0.2671,30397336,0.0208,7,0.002,0.0036,6,0.0018,0.0084,9,0.0043,0.0014,9,0.0003,0.0089,8,0.0055,0.0007,6,0.0
1142,0.197,50,True,0.3444,0.2177,30397336,0.1796,10,0.0166,0.0855,10,0.0183,0.0612,5,0.021,0.0245,5,0.0048,0.0034,5,0.0004,0.018,8,0.0
1144,0.4877,50,True,0.485,0.5233,30647128,0.2738,9,0.1794,0.2041,9,0.1774,0.0055,4,0.0068,0.0021,4,0.0057,0.0191,4,0.0322,0.0001,5,0.0
1145,0.1105,50,True,0.0526,0.0872,32259488,0.0309,9,0.0106,0.1096,9,0.0311,0.0004,2,0.0126,0.0141,2,0.0,0.0266,2,0.0087,0.0116,10,0.0
