gene_symbol,epmc_pmid,epmc_year,epmc_cited_by,epmc_paper_count,epmc_title,member_class,reversal_score_wilcoxon,q_value,average_rank,paperclip_pmcid,paperclip_year,paperclip_title,NOT_A_VERDICT
ALDH18A1,27492215,2016,1452,215,From Krebs to clinic: glutamine metabolism to cancer therapy.,perturbed_no_detected_move,0.3351860140630416,0.9053321965364988,5082.0,PMC12088515,2025,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ARFGAP1,17220896,2007,484,121,A general amphipathic alpha-helical motif for sensing membrane curvature.,perturbed_no_detected_move,-1.0636021820384594,0.6178232102739618,8564.0,PMC12304649,2025,Membrane Contact Sites in Proteostasis and ER Stress Response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ASNS,26771115,2016,4497,1076,The Emerging Hallmarks of Cancer Metabolism.,perturbed_no_detected_move,-0.0194736882856465,0.995584166699873,6114.666666666667,PMC12041869,2025,The Role of ER Stress and the Unfolded Protein Response in Cancer,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ATF3,29608179,2018,11270,3613,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,perturbed_no_detected_move,-0.342553939575031,0.9032662423687496,5990.666666666667,PMC12552001,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ATF4,29608179,2018,11270,17266,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,perturbed_moves_program,4.276317948239176,0.0027780913608182,134.66666666666666,PMC11786836,2025,eIF2α phosphorylation-ATF4 axis-mediated transcriptional reprogramming mitigates mitochondrial impairment during ER stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ATF6,22251901,2012,3315,17718,The unfolded protein response: controlling cell fate decisions under ER stress and beyond.,perturbed_no_detected_move,1.3265508186613797,0.5085715138560912,1590.6666666666667,PMC11785932,2025,Mutations in unfolded protein response regulator ATF6 cause hearing and vision loss syndrome,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
ATP6V0D1,24448649,2014,571,169,The nutrient-responsive transcription factor TFE3 promotes autophagy; lysosomal biogenesis; and clearance of cellular de,perturbed_no_detected_move,-0.3743586886270305,0.8933725587638031,6301.333333333333,PMC12552001,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
BAG3,26799652,2016,4317,1517,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,1.257622112259149,0.535231486196179,3475.3333333333335,PMC12667200,2025,The cochaperone  BAG3  promotes the stabilization of p53 under heat stress conditions,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
BANF1,33512317,2021,319,116,DNA damage-how and why we age?,perturbed_no_detected_move,0.9381351309689326,0.6753538611008,2094.3333333333335,PMC11581032,2024,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CALR,29362479,2018,5207,1954,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,perturbed_no_detected_move,0.7043637409448177,0.7713826435826447,6162.0,PMC11394613,2024,An Essential Role for Calnexin in ER-Phagy and the Unfolded Protein Response,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CCL2,25792098,2015,4770,6521,Neuroinflammation in Alzheimer's disease.,never_perturbed,,,,PMC12592176,2025,Endoplasmic reticulum stress and unfolded protein response in immune cell function,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CEBPB,26799652,2016,4317,1089,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,perturbed_no_detected_move,-0.5042683264124359,0.8475019822224997,7625.333333333333,PMC12552001,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
CEBPG,22553043,2012,2005,276,Genomic analysis of reactive astrogliosis.,perturbed_no_detected_move,0.2151254424038539,0.941669466141385,6696.333333333333,PMC12552001,2025,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,"Aggregate input only. Guide-pair concordance is -0.019, so this row is NOT evidence about this gene. See docs/SCOPE_STATEMENT.md."
