program,n_declared,n_present,frac_present,expr_ratio,sd_ratio,essentiality_density,coherence,n_hits_q05,R_p,passes_measurability_gate,is_sealed_program_B,is_program_A
HALLMARK_MYC_TARGETS_V1,200,194,0.97,6.9733,1.1064,0.6546,0.1149,5707,3.7565,True,False,False
HALLMARK_E2F_TARGETS,200,190,0.95,2.5679,1.0042,0.5158,0.0924,5668,3.7535,True,False,False
HALLMARK_G2M_CHECKPOINT,200,182,0.91,2.0771,0.9985,0.489,0.0706,5229,3.7185,False,False,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,193,0.965,3.7826,1.0676,0.2798,0.0676,3321,3.5214,True,False,False
HALLMARK_MYC_TARGETS_V2,58,55,0.9483,2.3728,1.0129,0.6727,0.1418,3012,3.479,True,False,False
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,78,0.39,0.6844,1.1068,0.0897,0.1099,2635,3.4209,False,False,False
HALLMARK_HEME_METABOLISM,200,133,0.665,1.1793,1.0681,0.0526,0.0935,2428,3.3854,True,False,False
HALLMARK_MITOTIC_SPINDLE,199,158,0.794,1.3067,1.0088,0.2595,0.0493,1754,3.2443,True,False,False
HALLMARK_MTORC1_SIGNALING,200,176,0.88,2.235,1.0762,0.3182,0.0213,1706,3.2322,True,False,False
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,45,0.225,0.6435,1.1901,0.0889,0.08,924,2.9661,False,False,False
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,52,0.7027,0.9205,1.0911,0.1346,0.0483,773,2.8887,False,True,False
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,94,0.8319,2.2515,1.0536,0.4468,0.0235,517,2.7143,True,False,True
HALLMARK_APOPTOSIS,161,85,0.528,1.1485,1.0741,0.1647,0.0502,423,2.6274,True,False,False
HALLMARK_INFLAMMATORY_RESPONSE,200,51,0.255,0.971,1.0323,0.0392,0.0609,344,2.5378,False,False,False
HALLMARK_GLYCOLYSIS,200,117,0.585,1.2148,1.0093,0.1795,0.02,333,2.5237,True,False,False
HALLMARK_COMPLEMENT,200,80,0.4,0.9634,1.0366,0.075,0.0544,332,2.5224,False,False,False
HALLMARK_INTERFERON_GAMMA_RESPONSE,200,74,0.37,0.8601,1.0639,0.1081,0.0633,296,2.4728,False,False,False
HALLMARK_PROTEIN_SECRETION,96,84,0.875,1.487,1.0303,0.2381,0.0716,266,2.4265,True,False,False
HALLMARK_ADIPOGENESIS,200,147,0.735,1.4095,1.0229,0.1156,0.0292,192,2.2856,True,False,False
HALLMARK_APICAL_JUNCTION,200,82,0.41,1.0193,1.0214,0.1098,0.0382,152,2.1847,False,False,False
HALLMARK_P53_PATHWAY,200,119,0.595,0.9672,1.0561,0.1513,0.0308,151,2.1818,False,False,False
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,40,0.4124,0.8832,1.0637,0.1,0.0774,122,2.0899,False,False,False
HALLMARK_HYPOXIA,200,88,0.44,1.1211,1.0885,0.0682,0.033,99,2.0,False,False,False
HALLMARK_ESTROGEN_RESPONSE_LATE,200,76,0.38,1.0624,1.0499,0.1316,0.0155,95,1.9823,False,False,False
HALLMARK_TGF_BETA_SIGNALING,54,36,0.6667,1.2344,1.0392,0.1111,0.0738,89,1.9542,True,False,False
HALLMARK_COAGULATION,138,34,0.2464,0.7801,1.1256,0.1176,0.0779,84,1.9294,False,False,False
HALLMARK_DNA_REPAIR,150,131,0.8733,1.9105,1.028,0.5267,0.0394,83,1.9243,True,False,False
HALLMARK_FATTY_ACID_METABOLISM,158,105,0.6646,1.6071,1.0226,0.0857,0.0233,62,1.7993,True,False,False
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,32,0.3678,0.8026,1.0236,0.0625,0.0664,44,1.6532,False,False,False
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,41,0.8367,1.6816,1.0719,0.1707,0.0314,38,1.5911,True,False,False
HALLMARK_UV_RESPONSE_DN,144,68,0.4722,0.757,1.0091,0.0441,0.0388,30,1.4914,False,False,False
