perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
8402_SREBF2_P1P2_ENSG00000198911,SREBF2,7.056912138842358,0.16584485083345352,0.1608925029681531,1.0,1.0,6.0,2.6666666666666665
7686_SCAP_P1P2_ENSG00000114650,SCAP,4.821162908952059,0.13204039176240867,0.12393830614510466,33.0,2.0,46.0,27.0
8325_SPATA5L1_P1P2_ENSG00000171763,SPATA5L1,5.4426133259674,0.053421381940816935,0.11787017405471154,11.0,16.0,54.0,27.0
9390_TTC4_P1P2_ENSG00000243725,TTC4,5.644057439708954,0.039423216160366134,0.11029381026450749,8.0,46.0,69.0,41.0
5739_NOLC1_P1P2_ENSG00000166197,NOLC1,5.900752670480025,0.054878372534851505,0.09025433403507205,4.0,12.0,115.0,43.666666666666664
2557_EIF3M_P1P2_ENSG00000149100,EIF3M,4.906578017504886,0.05171292557983195,0.09901788832603045,27.0,17.0,89.0,44.333333333333336
4888_MBTPS2_P1P2_ENSG00000012174,MBTPS2,3.736472823184752,0.10933375585768718,0.15282990449735254,129.0,3.0,16.0,49.333333333333336
2611_EMC2_P1P2_ENSG00000104412,EMC2,4.827472643373198,0.07060751418279723,0.09055857844680812,32.0,6.0,114.0,50.666666666666664
1614_CINP_P1P2_ENSG00000100865,CINP,4.706148920885297,0.035259615111267475,0.13057108016920393,38.0,82.0,38.0,52.666666666666664
7427_RPF2_P1P2_ENSG00000197498,RPF2,4.718396030741098,0.03403854850780986,0.140434050830005,37.0,97.0,29.0,54.333333333333336
4887_MBTPS1_P1P2_ENSG00000140943,MBTPS1,4.001773786206908,0.09215605318678598,0.11163803917002496,99.0,5.0,66.0,56.666666666666664
5389_MYLIP_P1P2_ENSG00000007944,MYLIP,4.721550897951667,0.06383882440176852,0.08562562755206729,36.0,8.0,127.0,57.0
8826_TEX10_P1P2_ENSG00000136891,TEX10,4.83775517354098,0.03273554758749509,0.14343412864247082,30.0,121.0,25.0,58.666666666666664
1813_COX20_P1P2_ENSG00000203667,COX20,5.045100587669888,0.09397452247352087,0.07168738481855019,21.0,4.0,186.0,70.33333333333333
6740_PREB_P1P2_ENSG00000138073,PREB,4.656876120134991,0.056159255877369973,0.07598114992434889,39.0,11.0,163.0,71.0
5738_NOL9_P1P2_ENSG00000162408,NOL9,4.277532549797432,0.032776578637209515,0.1414030186994357,69.0,119.0,27.0,71.66666666666667
5861_NUDC_P1P2_ENSG00000090273,NUDC,4.189663655636384,0.03263337829815329,0.14643432264634976,81.0,124.0,21.0,75.33333333333333
4523_LAS1L_P1P2_ENSG00000001497,LAS1L,4.427155048432037,0.03493922873405309,0.1024399798540644,60.0,85.0,81.0,75.33333333333333
2554_EIF3J_P1P2_ENSG00000104131,EIF3J,4.239790990204322,0.05787416991436485,0.07871657385472647,72.0,10.0,152.0,78.0
2558_EIF4A1_P1P2_ENSG00000161960,EIF4A1,4.033672999113778,0.04312921466801578,0.08942568955825664,96.0,32.0,118.0,82.0
1129_SPOUT1_P1P2_ENSG00000198917,SPOUT1,4.643847687024676,0.029582399357002406,0.13665169771653232,42.0,185.0,32.0,86.33333333333333
859_BMS1_P1P2_ENSG00000165733,BMS1,5.7333284970747,0.02746745978958509,0.2142591439009747,7.0,250.0,2.0,86.33333333333333
7742_SEC23B_P1P2_ENSG00000101310,SEC23B,5.2855712136084865,0.06727072237288513,0.05823258601918175,15.0,7.0,259.0,93.66666666666667
5983_OSBP_P1P2_ENSG00000110048,OSBP,4.232254362979073,0.061274969344737064,0.06339657994885459,74.0,9.0,226.0,103.0
2553_EIF3I_P1P2_ENSG00000084623,EIF3I,4.918379557811091,0.028622835304181665,0.10541509708647169,25.0,214.0,76.0,105.0
3693_HERC1_P1P2_ENSG00000103657,HERC1,3.834215283245546,0.04291411706186341,0.07354470054405249,115.0,34.0,173.0,107.33333333333333
8622_SYNCRIP_P1P2_ENSG00000135316,SYNCRIP,4.564041231290639,0.029713733940792558,0.09831612186736319,52.0,178.0,93.0,107.66666666666667
5673_NIP7_P1P2_ENSG00000132603,NIP7,5.154877751670083,0.027329432366951203,0.11557046303096694,18.0,257.0,59.0,111.33333333333333
7057_RAC3_P1P2_ENSG00000169750,RAC3,4.184931354820529,0.054058768523336485,0.05859103859151003,82.0,14.0,258.0,118.0
1927_CTCF_P1P2_ENSG00000102974,CTCF,3.7583816232581517,0.03787766485248253,0.06907670808873115,125.0,55.0,194.0,124.66666666666667
2349_DPH5_P1P2_ENSG00000117543,DPH5,3.9712183130378724,0.03759756890836501,0.06359915160443698,103.0,58.0,225.0,128.66666666666666
5260_MRPS30_P1P2_ENSG00000112996,MRPS30,3.806405713019044,0.05008065539209733,0.06019314527619682,118.0,18.0,250.0,128.66666666666666
3069_FGF13_ENST00000315930.6_ENSG00000129682,FGF13,4.220598881340024,0.04437837024905375,0.051308505367519686,78.0,27.0,309.0,138.0
2577_EIF5B_P1P2_ENSG00000158417,EIF5B,3.73886818532611,0.03162229509562176,0.07860767599917712,128.0,139.0,153.0,140.0
8784_TCF4_P1P2_ENSG00000196628,TCF4,4.132817622379269,0.04799511828332713,0.050499243720574565,88.0,19.0,316.0,141.0
5285_MSL1_P1P2_ENSG00000188895,MSL1,4.238192821845047,0.05487245497799275,0.04735419385269543,73.0,13.0,344.0,143.33333333333334
4037_IFI27L1_P1P2_ENSG00000165948,IFI27L1,3.959884160466567,0.031504219395447265,0.07186760620727609,104.0,142.0,185.0,143.66666666666666
2346_DPH1_P1_ENSG00000108963,DPH1,4.597809995137106,0.03550396690101229,0.05043215188053943,45.0,79.0,317.0,147.0
924_BTF3_P1P2_ENSG00000145741,BTF3,3.2746246092070486,0.03139286612822878,0.09838283181532699,209.0,145.0,92.0,148.66666666666666
2131_DDX55_P1P2_ENSG00000111364,DDX55,4.069545007767291,0.029649667221988828,0.07298586802709082,94.0,180.0,175.0,149.66666666666666
9907_XRCC5_P1P2_ENSG00000079246,XRCC5,4.504566142024716,0.025172165410656318,0.11250460305368551,57.0,338.0,64.0,153.0
2548_EIF3D_P1P2_ENSG00000100353,EIF3D,2.856664485418165,0.03975943163642991,0.09915262220611677,329.0,43.0,88.0,153.33333333333334
789_BCCIP_P1P2_ENSG00000107949,BCCIP,3.4619993758651995,0.02801028713144337,0.10435078912403896,165.0,232.0,78.0,158.33333333333334
2297_DNAJC2_P1P2_ENSG00000105821,DNAJC2,3.550101963893698,0.029914354754039342,0.07774101597020591,147.0,172.0,158.0,159.0
6821_PRRC2C_P1P2_ENSG00000117523,PRRC2C,3.5023699914671176,0.03301721504367224,0.0658685984960856,156.0,115.0,213.0,161.33333333333334
8605_SURF6_P1P2_ENSG00000148296,SURF6,4.618869316406462,0.026268629320199903,0.08212117884323192,44.0,296.0,144.0,161.33333333333334
8317_SPAG7_P1P2_ENSG00000091640,SPAG7,4.473243632150553,0.024227274906899608,0.11171264552471495,59.0,375.0,65.0,166.33333333333334
4434_KLHL17_P1P2_ENSG00000187961,KLHL17,3.215686039573324,0.036181215295028914,0.06438786429474183,220.0,69.0,219.0,169.33333333333334
9982_ZBTB24_P1P2_ENSG00000112365,ZBTB24,4.897113415873178,0.03266427876983547,0.045451388799264414,28.0,123.0,369.0,173.33333333333334
3872_HNRNPL_P1_ENSG00000104824,HNRNPL,3.1258307475389535,0.03141858601920445,0.08279585683544886,248.0,143.0,138.0,176.33333333333334
10445_ZNF557_P1P2_ENSG00000130544,ZNF557,3.546888673216266,0.043021267325528446,0.04655506080821764,148.0,33.0,353.0,178.0
5734_NOL12_P1P2_ENSG00000273899,NOL12,3.6988714629645516,0.02699981131459337,0.08388848545791103,133.0,269.0,134.0,178.66666666666666
8986_TMEM115_P1P2_ENSG00000126062,TMEM115,3.7656845566159514,0.03582708242515815,0.047207836039628887,123.0,77.0,345.0,181.66666666666666
1192_CARF_P1P2_ENSG00000138380,CARF,3.9842467461481874,0.02320708637209072,0.13180196419374052,102.0,428.0,37.0,189.0
2119_DDX3X_P1P2_ENSG00000215301,DDX3X,3.2921623576962045,0.03314029385064375,0.05800051725072801,201.0,112.0,264.0,192.33333333333334
3395_GLIS1_ENST00000312233.2_ENSG00000174332,GLIS1,4.56795560357042,0.02216774135674013,0.11412999220925973,50.0,483.0,62.0,198.33333333333334
8517_STK24_P1P2_ENSG00000102572,STK24,4.8367035511374565,0.02094570089784023,0.1529037567498853,31.0,553.0,15.0,199.66666666666666
3649_HBE1_P1P2_ENSG00000213931,HBE1,2.6850841135290127,0.03427152276883412,0.09466315025704611,405.0,92.0,104.0,200.33333333333334
3059_FERMT2_P1P2_ENSG00000073712,FERMT2,3.5284268576877476,0.029108427745365758,0.05790408006792073,152.0,191.0,265.0,202.66666666666666
7013_RAB20_P1P2_ENSG00000139832,RAB20,3.4637520798710715,0.02792445562105655,0.06439967882423629,164.0,233.0,218.0,205.0
3501_GPKOW_P1P2_ENSG00000068394,GPKOW,3.0298409914840314,0.03549381616724657,0.05755068674471999,280.0,80.0,270.0,210.0
5909_NVL_P1P2_ENSG00000143748,NVL,4.076906364591953,0.02252319551435266,0.10159675806006466,93.0,461.0,85.0,213.0
9498_UBE2D3_P1P2_ENSG00000109332,UBE2D3,4.13941947413472,0.03582485418894141,0.0390041573889164,87.0,78.0,475.0,213.33333333333334
5234_MRPL50_P1P2_ENSG00000136897,MRPL50,3.045576762587638,0.047944512828600266,0.04678050910117788,271.0,20.0,350.0,213.66666666666666
10637_ZNF787_P1P2_ENSG00000142409,ZNF787,3.2817045571278354,0.03354215318107398,0.04796589148618603,205.0,101.0,335.0,213.66666666666666
291_AMFR_P1P2_ENSG00000159461,AMFR,3.5614361164650035,0.05371526887368216,0.03887534889700273,146.0,15.0,480.0,213.66666666666666
6066_PAQR4_P1P2_ENSG00000162073,PAQR4,3.184546331735665,0.03598747219117644,0.04663296824123643,228.0,74.0,352.0,218.0
8538_STRAP_P1P2_ENSG00000023734,STRAP,2.9696063971488975,0.035828669703004745,0.05652850059564048,303.0,76.0,279.0,219.33333333333334
607_ATF4_P1P2_ENSG00000128272,ATF4,3.3483552844499043,0.028856331170537045,0.05747679738039048,186.0,200.0,272.0,219.33333333333334
1301_CCDC86_P1P2_ENSG00000110104,CCDC86,5.125257053970848,0.02030721443295434,0.12878036465759746,19.0,602.0,42.0,221.0
8358_SPIDR_P1P2_ENSG00000164808,SPIDR,3.6158867875807594,0.02689458771793355,0.060103774084242556,139.0,277.0,251.0,222.33333333333334
6184_PDK2_P1P2_ENSG00000005882,PDK2,3.276563292043944,0.03972110957988405,0.04155560173148362,208.0,44.0,422.0,224.66666666666666
8602_SURF1_P1P2_ENSG00000148290,SURF1,3.658769612257761,0.03930661928738424,0.037931774484133436,136.0,47.0,500.0,227.66666666666666
7920_SIPA1_P1_ENSG00000213445,SIPA1,3.1669024447432204,0.030361226302690572,0.050122221259310824,234.0,160.0,321.0,238.33333333333334
2329_DOK1_P1P2_ENSG00000115325,DOK1,3.797853897294273,0.04558002825789591,0.03490264362578375,119.0,24.0,580.0,241.0
3040_FBXW9_P1P2_ENSG00000132004,FBXW9,3.0273232745957306,0.03414132627156965,0.046735849890758435,282.0,94.0,351.0,242.33333333333334
9618_URB2_P1P2_ENSG00000135763,URB2,3.9865836848226834,0.022969619389297577,0.0706224932908757,101.0,437.0,189.0,242.33333333333334
8418_SRP9_P1P2_ENSG00000143742,SRP9,2.9761612417244083,0.03804708648749688,0.04479591867409326,300.0,54.0,377.0,243.66666666666666
5946_OPA3_P2_ENSG00000125741,OPA3,2.8430611679249407,0.027892674235874146,0.07692860116255189,341.0,234.0,159.0,244.66666666666666
7643_SAMD4B_P1P2_ENSG00000179134,SAMD4B,2.866605825070488,0.028867402668967496,0.06427895497952343,327.0,199.0,220.0,248.66666666666666
6404_PKP3_P1_ENSG00000184363,PKP3,3.4145721444085204,0.0383831917794726,0.036565562328556865,172.0,52.0,530.0,251.33333333333334
9293_TRIP10_P2_ENSG00000125733,TRIP10,2.9154478433674536,0.03190769632364813,0.0519935806682063,313.0,137.0,306.0,252.0
4592_LIN37_P1P2_ENSG00000267796,LIN37,3.6906104016977683,0.025496391129596417,0.05202432818968306,135.0,322.0,305.0,254.0
7569_RRS1_P1P2_ENSG00000179041,RRS1,4.914757302865622,0.018650354198167622,0.1563583479472022,26.0,726.0,14.0,255.33333333333334
5253_MRPS23_P1P2_ENSG00000181610,MRPS23,2.8371603977718385,0.033194941118984723,0.049768780952908834,343.0,107.0,325.0,258.3333333333333
4380_KIF18B_P1P2_ENSG00000186185,KIF18B,3.059892253001351,0.02810160806352042,0.05242671832674431,265.0,228.0,300.0,264.3333333333333
8661_TAF1_P1P2_ENSG00000147133,TAF1,3.4017063580632034,0.021018636702680053,0.10786370619619877,174.0,548.0,72.0,264.6666666666667
8819_TERF2IP_P1P2_ENSG00000166848,TERF2IP,3.4799353801919564,0.027308142038513734,0.04452475399946457,160.0,258.0,383.0,267.0
