perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
4901_MCM4_P1P2_ENSG00000104738,MCM4,5.8994819833946295,0.06755750879504281,0.09657728153839326,2.0,7.0,74.0,27.666666666666668
2414_DUT_P1P2_ENSG00000128951,DUT,4.991406908168641,0.05555045374874297,0.11482514031351211,24.0,34.0,30.0,29.333333333333332
7758_SEH1L_P1P2_ENSG00000085415,SEH1L,6.17285422946271,0.07364702796520307,0.08839614574628041,1.0,2.0,98.0,33.666666666666664
5969_ORC5_P1P2_ENSG00000164815,ORC5,5.506674354462812,0.06528810157729384,0.0897937452006302,7.0,9.0,93.0,36.333333333333336
2548_EIF3D_P1P2_ENSG00000100353,EIF3D,4.3911150141013255,0.05771612784508344,0.10920380674534552,57.0,26.0,41.0,41.333333333333336
6396_PKM_P1_ENSG00000067225,PKM,5.10228059203211,0.05610180933505735,0.0966041243004267,20.0,31.0,73.0,41.333333333333336
5898_NUP54_P1P2_ENSG00000138750,NUP54,5.119401118299021,0.061474525263533995,0.08827225520778012,18.0,15.0,99.0,44.0
4903_MCM6_P1P2_ENSG00000076003,MCM6,5.535537482414112,0.060836399585760204,0.08401547690227927,6.0,17.0,115.0,46.0
6872_PSMD4_P1P2_ENSG00000159352,PSMD4,5.412465515060753,0.04218307456158875,0.112425211996065,9.0,126.0,35.0,56.666666666666664
497_ARIH1_P1P2_ENSG00000166233,ARIH1,5.21337210238647,0.053389157421763866,0.08377305420376793,13.0,42.0,116.0,57.0
9613_UQCRFS1_P1P2_ENSG00000169021,UQCRFS1,5.120360190776055,0.05618822786212498,0.0813735676888652,17.0,29.0,130.0,58.666666666666664
7249_RFC5_P1P2_ENSG00000111445,RFC5,5.236418145122727,0.06635810446185976,0.07546711626067688,12.0,8.0,162.0,60.666666666666664
4898_MCM2_P1P2_ENSG00000073111,MCM2,4.363761657315599,0.05332838664715383,0.09275259179909737,60.0,43.0,83.0,62.0
5356_MVD_P1P2_ENSG00000167508,MVD,4.7581583017226645,0.06117738562917574,0.07713634393293516,31.0,16.0,153.0,66.66666666666667
7929_SIRT7_P1P2_ENSG00000187531,SIRT7,4.445620852592399,0.05818902719170994,0.08222332154083167,52.0,24.0,125.0,67.0
8499_STAT5B_P1P2_ENSG00000173757,STAT5B,4.733979561233775,0.060558047745851606,0.07618028247450034,32.0,18.0,158.0,69.33333333333333
8264_SOCS3_P1P2_ENSG00000184557,SOCS3,4.188324201552067,0.04630184560341251,0.1025067324922099,89.0,84.0,54.0,75.66666666666667
20_ABCB10_P1P2_ENSG00000135776,ABCB10,4.337971000794116,0.05451346706377876,0.08241509159577012,65.0,39.0,123.0,75.66666666666667
6250_PGAM1_P1P2_ENSG00000171314,PGAM1,5.444093921538112,0.07669996113251817,0.06804815009913405,8.0,1.0,219.0,76.0
9172_TONSL_P1P2_ENSG00000160949,TONSL,4.0268276412055535,0.05240886688343891,0.09765899248799244,120.0,47.0,70.0,79.0
261_ALDOA_P1P2_ENSG00000149925,ALDOA,4.230277583697655,0.062413477834240234,0.07895811737863956,80.0,12.0,147.0,79.66666666666667
7170_RBM33_P1P2_ENSG00000184863,RBM33,5.550480379689228,0.04300392451436077,0.08082965322004709,5.0,116.0,132.0,84.33333333333333
2569_EIF4G2_P1_ENSG00000110321,EIF4G2,5.554575517717977,0.07171222538926629,0.06452600781557412,4.0,3.0,251.0,86.0
3372_GINS4_P1P2_ENSG00000147536,GINS4,4.1239782561428955,0.04515448659716476,0.09146035584897078,101.0,94.0,86.0,93.66666666666667
2640_ENO1_P1P2_ENSG00000074800,ENO1,4.730056723741881,0.061608706555435266,0.06562246236320811,34.0,14.0,239.0,95.66666666666667
4900_MCM3_P1P2_ENSG00000112118,MCM3,4.6022816648411355,0.05126758879416876,0.0700741595807278,40.0,52.0,203.0,98.33333333333333
2552_EIF3H_P1P2_ENSG00000147677,EIF3H,4.8494089902454025,0.06197601754268767,0.06366889328372462,29.0,13.0,256.0,99.33333333333333
9639_USP1_P1P2_ENSG00000162607,USP1,4.361541423217033,0.04537431229016694,0.07834068713518008,61.0,91.0,149.0,100.33333333333333
9621_URI1_P1P2_ENSG00000105176,URI1,5.092434834643841,0.048061983307818495,0.06762915628609328,22.0,73.0,223.0,106.0
2568_EIF4G1_P1P2_ENSG00000114867,EIF4G1,4.600103399932227,0.04174720115538947,0.07781244339520867,41.0,130.0,152.0,107.66666666666667
