gene,pmid,year,cited_by,hits,title,class,u_z,q,rank
ALDH18A1,27492215,2016,1452,215,From Krebs to clinic: glutamine metabolism to cancer therapy.,DISAGREES,0.3351860140630416,0.9053321965364988,5082.0
ARFGAP1,17220896,2007,484,121,A general amphipathic alpha-helical motif for sensing membrane curvature.,DISAGREES,-1.0636021820384594,0.6178232102739618,8564.0
ASNS,26771115,2016,4497,1076,The Emerging Hallmarks of Cancer Metabolism.,DISAGREES,-0.0194736882856465,0.995584166699873,6114.666666666667
ATF3,29608179,2018,11270,3613,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,DISAGREES,-0.342553939575031,0.9032662423687495,5990.666666666667
ATF4,29608179,2018,11270,17266,Integrating single-cell transcriptomic data across different conditions; technologies; and species.,AGREES,4.276317948239176,0.002778091360818211,134.66666666666666
ATF6,22251901,2012,3315,17718,The unfolded protein response: controlling cell fate decisions under ER stress and beyond.,DISAGREES,1.3265508186613797,0.5085715138560912,1590.6666666666667
ATP6V0D1,24448649,2014,571,169,The nutrient-responsive transcription factor TFE3 promotes autophagy; lysosomal biogenesis; and clearance of cellular de,DISAGREES,-0.3743586886270305,0.8933725587638031,6301.333333333333
BAG3,26799652,2016,4317,1517,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,1.257622112259149,0.535231486196179,3475.3333333333335
BANF1,33512317,2021,319,116,DNA damage-how and why we age?,DISAGREES,0.9381351309689326,0.6753538611008,2094.3333333333335
CALR,29362479,2018,5207,1954,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,DISAGREES,0.7043637409448177,0.7713826435826447,6162.0
CCL2,25792098,2015,4770,6521,Neuroinflammation in Alzheimer's disease.,UNTESTED,,,
CEBPB,26799652,2016,4317,1089,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,-0.5042683264124359,0.8475019822224997,7625.333333333333
CEBPG,22553043,2012,2005,276,Genomic analysis of reactive astrogliosis.,DISAGREES,0.2151254424038539,0.941669466141385,6696.333333333333
CHAC1,33268902,2021,3413,846,Ferroptosis: molecular mechanisms and health implications.,DISAGREES,0.6209361949336025,0.804140974068829,4525.0
CKS1B,31474370,2019,763,147,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An,UNTESTED,,,
CNOT2,19396146,2009,320,60,Discovery of insect and human dengue virus host factors.,DISAGREES,2.1594011347978586,0.2099667543146426,2208.3333333333335
CNOT4,32475992,2020,184,88,PROteolysis TArgeting Chimeras (PROTACs) as emerging anticancer therapeutics.,DISAGREES,-1.136357237679653,0.5853393174072735,9330.333333333334
CNOT6,31292544,2019,602,198,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.,DISAGREES,-2.0594750846727496,0.23949536696657459,10638.666666666666
CXXC1,31237565,2019,123,37,Unified single-cell analysis of testis gene regulation and pathology in five mouse strains.,AGREES,3.4440667976451587,0.022017808922058825,835.3333333333334
DCP1A,24598541,2014,783,186,C9orf72 nucleotide repeat structures initiate molecular cascades of disease.,DISAGREES,-0.7857872832398365,0.7386274965215078,8230.333333333334
DCP2,26799652,2016,4317,310,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,0.969153623271797,0.6602649060700119,4103.0
DCTN1,33634751,2021,2271,416,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.,DISAGREES,0.7204829012707443,0.763540833860999,3687.3333333333335
DDIT4,26799652,2016,4317,854,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).,DISAGREES,-2.865376791775269,0.06926302740348737,10928.666666666666
DDX10,29125603,2018,507,59,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.,DISAGREES,2.8194154021972886,0.07491507801029537,3560.6666666666665
DKC1,31953710,2020,764,313,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi,DISAGREES,2.4701524067028178,0.1344303470899669,2993.3333333333335
DNAJA4,16952052,2006,647,269,The diversity of the DnaJ/Hsp40 family; the crucial partners for Hsp70 chaperones.,UNTESTED,,,
DNAJB9,32457508,2020,2205,685,Mechanisms; regulation and functions of the unfolded protein response.,DISAGREES,-1.3831434311459965,0.48887620283432004,9477.0
DNAJC3,14559994,2003,1727,790,XBP-1 regulates a subset of endoplasmic reticulum resident chaperone genes in the unfolded protein response.,DISAGREES,2.4632690895906655,0.13608099601352425,1196.3333333333333
EDC4,31292544,2019,602,96,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.,DISAGREES,0.0628723914907827,0.985301744385996,6712.333333333333
EDEM1,22722607,2012,1329,1052,Vertebrate protein glycosylation: diversity; synthesis and function.,DISAGREES,-0.2905369735502838,0.9192467517292433,6888.333333333333
EEF2,22500797,2012,6836,1278,mTOR signaling in growth control and disease.,DISAGREES,1.297461710342563,0.5209064852131672,2617.3333333333335
EIF2AK3,29362479,2018,5207,2255,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.,DISAGREES,-0.3991067956033053,0.8862183969706481,6946.333333333333
