gene,paperclip_n_papers,paperclip_pmcid,paperclip_year,paperclip_date,paperclip_title,epmc_pmid,epmc_year,epmc_cited_by,epmc_hits,epmc_title
ALDH18A1,9,PMC12088515,2025,2025-05-08,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,27492215,2016,1452,215,From Krebs to clinic: glutamine metabolism to cancer therapy.
ARFGAP1,10,PMC12304649,2025,2025-07-28,Membrane Contact Sites in Proteostasis and ER Stress Response,17220896,2007,484,121,A general amphipathic alpha-helical motif for sensing membrane curvature.
ASNS,8,PMC12041869,2025,2025-04-25,The Role of ER Stress and the Unfolded Protein Response in Cancer,26771115,2016,4497,1076,The Emerging Hallmarks of Cancer Metabolism.
ATF3,9,PMC12552001,2025,2025-03-04,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29608179,2018,11270,3613,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
ATF4,13,PMC11786836,2025,2025-01-03,eIF2α phosphorylation-ATF4 axis-mediated transcriptional reprogramming mitigates mitochondrial impairment during ER stress,29608179,2018,11270,17266,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
ATF6,9,PMC11785932,2025,2025-02-03,Mutations in unfolded protein response regulator ATF6 cause hearing and vision loss syndrome,22251901,2012,3315,17718,The unfolded protein response: controlling cell fate decisions under ER stress and beyond.
ATP6V0D1,10,PMC12552001,2025,2025-03-04,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,24448649,2014,571,169,The nutrient-responsive transcription factor TFE3 promotes autophagy; lysosomal biogenesis; and clearance of cellular de
BAG3,11,PMC12667200,2025,2025-07-31,The cochaperone  BAG3  promotes the stabilization of p53 under heat stress conditions,26799652,2016,4317,1517,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
BANF1,9,PMC11581032,2024,2024-11-08,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,33512317,2021,319,116,DNA damage-how and why we age?
CALR,11,PMC11394613,2024,2024-09-06,An Essential Role for Calnexin in ER-Phagy and the Unfolded Protein Response,29362479,2018,5207,1954,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
CCL2,9,PMC12592176,2025,2025-10-24,Endoplasmic reticulum stress and unfolded protein response in immune cell function,25792098,2015,4770,6521,Neuroinflammation in Alzheimer's disease.
CEBPB,10,PMC12552001,2025,2025-03-04,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,26799652,2016,4317,1089,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
CEBPG,10,PMC12552001,2025,2025-03-04,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,22553043,2012,2005,276,Genomic analysis of reactive astrogliosis.
CHAC1,11,PMC11554486,2024,2024-10-29,CHAC1: a master regulator of oxidative stress and ferroptosis in human diseases and cancers,33268902,2021,3413,846,Ferroptosis: molecular mechanisms and health implications.
CKS1B,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,31474370,2019,763,147,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An
CNOT2,9,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,19396146,2009,320,60,Discovery of insect and human dengue virus host factors.
CNOT4,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,32475992,2020,184,88,PROteolysis TArgeting Chimeras (PROTACs) as emerging anticancer therapeutics.
CNOT6,9,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,31292544,2019,602,198,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.
CXXC1,10,PMC12242609,2025,2025-04-28,The Role of ER Stress and the Unfolded Protein Response in Cancer,31237565,2019,123,37,Unified single-cell analysis of testis gene regulation and pathology in five mouse strains.
DCP1A,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,24598541,2014,783,186,C9orf72 nucleotide repeat structures initiate molecular cascades of disease.
DCP2,9,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,26799652,2016,4317,310,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
DCTN1,10,PMC12088515,2025,2025-05-08,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,33634751,2021,2271,416,Guidelines for the use and interpretation of assays for monitoring autophagy (4th edition)&lt;sup&gt;1&lt;/sup&gt;.
DDIT4,12,PMC11939615,2025,2025-03-03,The PERK-eIF2α-ATF4 Axis Is Involved in Mediating ER-Stress-Induced Ferroptosis via DDIT4-mTORC1 Inhibition and Acetaminophen-Induced Hepatotoxicity,26799652,2016,4317,854,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
DDX10,8,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,29125603,2018,507,59,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.
DKC1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,31953710,2020,764,313,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
DNAJA4,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,16952052,2006,647,269,The diversity of the DnaJ/Hsp40 family; the crucial partners for Hsp70 chaperones.
DNAJB9,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,32457508,2020,2205,685,Mechanisms; regulation and functions of the unfolded protein response.
DNAJC3,9,PMC12805106,2025,2025-12-13,The role of DNAJC3 in enhancing glioma progression and regulating the tumor immune microenvironment,14559994,2003,1727,790,XBP-1 regulates a subset of endoplasmic reticulum resident chaperone genes in the unfolded protein response.
EDC4,9,PMC11850225,2025,2025-02-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,31292544,2019,602,96,m&lt;sup&gt;6&lt;/sup&gt;A enhances the phase separation potential of mRNA.
EDEM1,10,PMC12305169,2025,2025-07-29,EDEM1 Inhibits Endoplasmic Reticulum Stress to Induce Doxorubicin Resistance through Accelerating ERAD and Activating Keap1/Nrf2 Antioxidant Pathway i,22722607,2012,1329,1052,Vertebrate protein glycosylation: diversity; synthesis and function.
EEF2,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,22500797,2012,6836,1278,mTOR signaling in growth control and disease.
EIF2AK3,9,PMC11470120,2024,2024-10-11,The Role of ER Stress and the Unfolded Protein Response in Cancer,29362479,2018,5207,2255,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
EIF2S1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29362479,2018,5207,1031,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
EIF4A1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,33268902,2021,3413,412,Ferroptosis: molecular mechanisms and health implications.
EIF4A2,8,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,32144406,2020,984,333,Cellular adaptation to hypoxia through hypoxia inducible factors and beyond.
EIF4A3,9,PMC12242609,2025,2025-04-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,24987004,2014,954,345,Selenoproteins: molecular pathways and physiological roles.
EIF4E,9,PMC11578187,2024,2024-11-22,Hepatovirus translation requires PDGFA-associated protein 1; an eIF4E-binding protein regulating endoplasmic reticulum stress responses,22500797,2012,6836,2984,mTOR signaling in growth control and disease.
EIF4EBP1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,22500797,2012,6836,1613,mTOR signaling in growth control and disease.
EIF4G1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,20094052,2010,2175,547,The mechanism of eukaryotic translation initiation and principles of its regulation.
ERN1,9,PMC12239684,2025,2025-07-09,Endoplasmic Reticulum Stress and Unfolded Protein Response Sensor  ERN1  Regulates Organic Dust Induction of Lung Inflammation,22116877,2011,4713,2523,The unfolded protein response: from stress pathway to homeostatic regulation.
ERO1A,10,PMC11833095,2025,2025-02-17,Small molecule-mediated inhibition of the oxidoreductase ERO1A restrains aggressive breast cancer by impairing VEGF and PD-L1 in the tumor microenviro,14757749,2004,786,405,Oxidative protein folding in eukaryotes: mechanisms and consequences.
EXOC2,10,PMC12304649,2025,2025-07-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,26799652,2016,4317,46,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
EXOSC1,10,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,30265241,2018,303,33,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC10,9,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,26308899,2015,720,66,GGGGCC repeat expansion in C9orf72 compromises nucleocytoplasmic transport.
EXOSC2,11,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,27259150,2016,403,49,Modulated Expression of Specific tRNAs Drives Gene Expression and Cancer Progression.
EXOSC4,12,PMC12154690,2025,2025-06-01,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,30265241,2018,303,35,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC5,10,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,30265241,2018,303,46,Identification of functionally distinct fibro-inflammatory and adipogenic stromal subpopulations in visceral adipose tis
EXOSC9,10,PMC12242609,2025,2025-04-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,29125603,2018,507,66,Cell cycle arrest through indirect transcriptional repression by p53: I have a DREAM.
FKBP14,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,19420237,2009,232,110,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
FUS,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,26799652,2016,4317,4075,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition).
GEMIN4,8,PMC12242609,2025,2025-04-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,18485868,2008,521,50,SMN deficiency causes tissue-specific perturbations in the repertoire of snRNAs and widespread defects in splicing.
GOSR2,10,PMC12794328,2025,2025-12-01,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,39866113,2025,748,87,2025 Heart Disease and Stroke Statistics: A Report of US and Global Data From the American Heart Association.
H2AX,9,PMC12571189,2025,2025-10-29,Inhibition of Histone Deacetylases Induces Cancer Cell Apoptosis Through the PERK Pathway of ER Stress Response,24999379,2014,3798,2910,Lipid peroxidation: production; metabolism; and signaling mechanisms of malondialdehyde and 4-hydroxy-2-nonenal.
HERPUD1,10,PMC12589607,2025,2025-11-05,HERPUD1 mediates palmitic acid-induced UPR sustaining TNBC aggressiveness and is destabilized by CK2 pharmacological inhibition,29608179,2018,11270,969,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
HSP90B1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,31474370,2019,763,1752,Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to An
HSPA5,7,PMC12242609,2025,2025-04-28,The Role of ER Stress and the Unfolded Protein Response in Cancer,31740819,2019,9217,9028,Fast; sensitive and accurate integration of single-cell data with Harmony.
HSPA9,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29362479,2018,5207,1233,Molecular mechanisms of cell death: recommendations of the Nomenclature Committee on Cell Death 2018.
HYOU1,8,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,31953710,2020,764,786,Human Inborn Errors of Immunity: 2019 Update on the Classification from the International Union of Immunological Societi
IARS1,8,PMC12242609,2025,2025-04-28,Unveiling the intercompartmental signaling axis: Mitochondrial to ER Stress Response (MERSR) and its impact on proteostasis,35501376,2022,60,43,Functional and pathologic association of aminoacyl-tRNA synthetases with cancer.
IFIT1,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29608179,2018,11270,837,Integrating single-cell transcriptomic data across different conditions; technologies; and species.
IGFBP1,10,PMC11739220,2024,2024-10-31,IGFBP6 Modulates Proteostasis by Activating ATF4 Targets and Reducing ER Retrotranslocon Expression,18522489,2008,1272,459,Redox regulation of cell survival.
IMP3,9,PMC12242609,2025,2025-04-28,The Role of ER Stress and the Unfolded Protein Response in Cancer,33391635,2020,248,102,RNA packaging into extracellular vesicles: An orchestra of RNA-binding proteins?
KDELR3,10,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,19420237,2009,232,127,ATF6alpha induces XBP1-independent expansion of the endoplasmic reticulum.
KHSRP,10,PMC11850225,2025,2025-02-28,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,30181377,2019,447,141,What Are 3' UTRs Doing?
KIF5B,9,PMC12242609,2025,2025-04-28,When Proteins Go Berserk: The Unfolded Protein Response and ER Stress,29950571,2018,519,447,Mitochondrial dynamics in adaptive and maladaptive cellular stress responses.
LSM1,9,PMC12242609,2025,2025-04-28,The unfolded protein response regulates ER exit sites via SNRPB-dependent RNA splicing and contributes to bone development,23629963,2013,803,181,Stress granules as crucibles of ALS pathogenesis.
