target,u_z,cosine,delta,avg_rank,rpe1_u_z,rpe1_rank,rpe1_covered,depmap_chronos,depmap_n_lines,essential,depmap_covered,tier
MCM4,5.8994819833946295,0.0675575087950428,0.0965772815383932,27.666666666666668,2.0181336027368477,827.0,True,-1.2792648902680417,1178.0,True,True,T2_reversal_confounded_by_essentiality
DUT,4.991406908168641,0.0555504537487429,0.1148251403135121,29.333333333333332,2.4214001566686187,600.0,True,-1.7460361913575557,1178.0,True,True,T2_reversal_confounded_by_essentiality
SEH1L,6.17285422946271,0.073647027965203,0.0883961457462804,33.666666666666664,4.50320321334071,38.0,True,-1.2491359942356328,1178.0,True,True,T2_reversal_confounded_by_essentiality
ORC5,5.506674354462812,0.0652881015772938,0.0897937452006302,36.333333333333336,0.422235329019958,1720.0,True,-0.5239930029378088,1178.0,True,True,T2_reversal_confounded_by_essentiality
EIF3D,4.3911150141013255,0.0577161278450834,0.1092038067453455,41.333333333333336,2.128464642648517,765.0,True,-1.7117792974189054,1178.0,True,True,T2_reversal_confounded_by_essentiality
PKM,5.10228059203211,0.0561018093350573,0.0966041243004267,41.333333333333336,3.9025653540609686,104.0,True,-0.7496902031298799,1178.0,True,True,T2_reversal_confounded_by_essentiality
NUP54,5.119401118299021,0.0614745252635339,0.0882722552077801,44.0,2.5101612181572235,550.0,True,-0.736589996946083,1178.0,True,True,T2_reversal_confounded_by_essentiality
MCM6,5.535537482414112,0.0608363995857602,0.0840154769022792,46.0,3.033483310621823,324.0,True,-1.2173419838663488,1178.0,True,True,T2_reversal_confounded_by_essentiality
PSMD4,5.412465515060753,0.0421830745615887,0.112425211996065,56.666666666666664,1.9615874440878855,860.0,True,-1.4754255413287696,1178.0,True,True,T2_reversal_confounded_by_essentiality
ARIH1,5.21337210238647,0.0533891574217638,0.0837730542037679,57.0,-1.8489353304312481,2274.0,True,-1.4000003983943075,1178.0,True,True,T2_reversal_confounded_by_essentiality
UQCRFS1,5.120360190776055,0.0561882278621249,0.0813735676888652,58.666666666666664,0.3987044434675236,1727.0,True,-0.5119890916406172,1178.0,True,True,T2_reversal_confounded_by_essentiality
RFC5,5.236418145122727,0.0663581044618597,0.0754671162606768,60.666666666666664,1.3614698254751199,1227.0,True,-1.4592576723483428,1178.0,True,True,T2_reversal_confounded_by_essentiality
MCM2,4.363761657315599,0.0533283866471538,0.0927525917990973,62.0,1.9637484437814765,859.0,True,-1.5840559975993396,1178.0,True,True,T2_reversal_confounded_by_essentiality
MVD,4.7581583017226645,0.0611773856291757,0.0771363439329351,66.66666666666667,3.3759190366399814,214.0,True,-0.47244834722400547,1178.0,False,True,T1_reversal_not_explained_by_fitness
SIRT7,4.445620852592399,0.0581890271917099,0.0822233215408316,67.0,4.34120827334708,53.0,True,-0.1811869332731682,1178.0,False,True,T1_reversal_not_explained_by_fitness
STAT5B,4.733979561233775,0.0605580477458516,0.0761802824745003,69.33333333333333,5.239463812649703,4.0,True,-0.16990583270124532,1178.0,False,True,T1_reversal_not_explained_by_fitness
ABCB10,4.337971000794116,0.0545134670637787,0.0824150915957701,75.66666666666667,2.78873008606623,429.0,True,0.05097266427919377,1178.0,False,True,T1_reversal_not_explained_by_fitness
SOCS3,4.188324201552067,0.0463018456034125,0.1025067324922099,75.66666666666667,,,False,-0.19913872197256616,1178.0,False,True,T1_reversal_not_explained_by_fitness
