program,n_declared,n_present,frac_present,expr_ratio,sd_ratio,essentiality_density,coherence,R_p_predicted,n_hits_q05,R_p_observed,predicted_reversible,observed_reversible,passes_gate,residual,imputed_features,unscoreable
REACTOME_GASTRULATION,119,59,0.4957983193277311,3.4938754029422903,1.043938311396372,0.5423728813559322,0.07564021503667884,1.3633,795,2.9009,False,True,False,1.5376,,False
REACTOME_EPH_EPHRIN_SIGNALING,92,49,0.532608695652174,2.4744913821206227,1.0605492205953218,0.2857142857142857,0.08096464984363018,1.8065,415,2.6191,False,True,True,0.8126,,False
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,129,12,0.09302325581395349,1.4588264837692146,1.0312564706590506,0.08333333333333333,0.04578509172635733,0.1159,0,0.0,False,False,False,-0.1159,,False
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,69,1,0.014492753623188406,1.0688254681370943,1.727340401398725,0.0,0.04828599999999999,5.2595,0,0.0,True,False,False,-5.2595,coherence,True
REACTOME_RET_SIGNALING,40,16,0.4,0.6660916478274163,0.9902733827432003,0.125,0.03778500369930581,0.2707,0,0.0,False,False,False,-0.2707,,False
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,118,76,0.6440677966101694,0.9537150673183312,0.9923007254188079,0.34210526315789475,0.03513626014887242,1.2642,3,0.6021,False,False,False,-0.6622,,False
REACTOME_G_PROTEIN_MEDIATED_EVENTS,54,25,0.46296296296296297,0.8051854300878585,1.04044244099938,0.0,0.040988505234945065,0.8939,0,0.0,False,False,False,-0.8939,,False
REACTOME_TRIGLYCERIDE_METABOLISM,38,12,0.3157894736842105,1.3151543961309045,1.0294347660269834,0.16666666666666666,0.023985510669084404,-0.0559,0,0.0,False,False,False,0.0559,,False
REACTOME_MEIOSIS,120,40,0.3333333333333333,1.5287402360400708,0.9938839698521592,0.4,0.05054247228404624,0.5548,7,0.9031,False,False,False,0.3483,,False
REACTOME_REGULATION_OF_PYRUVATE_METABOLISM,33,26,0.7878787878787878,1.1956104349749,0.994248265452602,0.11538461538461539,0.015194642879867064,0.2942,0,0.0,False,False,False,-0.2942,,False
