gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
SREBF2,1,2.6666666666666665,7.056912138842358,0.1658448508334535,0.1608925029681531,1.3973247301352364e-09,,False,-0.0241885173352592,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SPATA5L1,2,27.0,5.4426133259674,0.0534213819408169,0.1178701740547115,6.873210139547295e-06,433.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene
SCAP,3,27.0,4.821162908952059,0.1320403917624086,0.1239383061451046,0.00012172604894448949,197.0,True,-1.0042523766596063,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
TTC4,4,41.0,5.644057439708954,0.0394232161603661,0.1102938102645074,2.6711795711524147e-06,22.0,True,-0.5494383542004999,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NOLC1,5,43.666666666666664,5.900752670480025,0.0548783725348515,0.090254334035072,7.406679163768578e-07,118.0,True,-0.4880156726495305,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF3M,6,44.333333333333336,4.906578017504886,0.0517129255798319,0.0990178883260304,8.622989123678006e-05,387.0,True,-1.1372098545291192,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MBTPS2,7,49.333333333333336,3.736472823184752,0.1093337558576871,0.1528299044973525,0.0058850519611415245,1483.0,True,-0.4921760431913202,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EMC2,8,50.666666666666664,4.827472643373198,0.0706075141827972,0.0905585784468081,0.00011883349789638878,,False,-0.2555393794767031,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CINP,9,52.666666666666664,4.706148920885297,0.0352596151112674,0.1305710801692039,0.0002001388097564378,426.0,True,-0.9583334078310254,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
RPF2,10,54.333333333333336,4.718396030741098,0.0340385485078098,0.140434050830005,0.0001911539247377612,282.0,True,-1.2927857288616549,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MBTPS1,11,56.666666666666664,4.001773786206908,0.0921560531867859,0.1116380391700249,0.0024921958204112593,63.0,True,-0.5774590008324582,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MYLIP,12,57.0,4.721550897951667,0.0638388244017685,0.0856256275520672,0.0001895661255123102,,False,0.0545825932261326,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TEX10,13,58.666666666666664,4.83775517354098,0.032735547587495,0.1434341286424708,0.00011520693757522166,1222.0,True,-0.7891037815972182,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
COX20,14,70.33333333333333,5.045100587669888,0.0939745224735208,0.0716873848185501,4.6391438403857633e-05,,False,-0.4836638366277417,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PREB,15,71.0,4.656876120134991,0.0561592558773699,0.0759811499243488,0.00024257097863984652,934.0,True,-1.1940324828986386,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NOL9,16,71.66666666666667,4.277532549797432,0.0327765786372095,0.1414030186994357,0.001040256065263124,620.0,True,-1.0837036604446213,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
NUDC,17,75.33333333333333,4.189663655636384,0.0326333782981532,0.1464343226463497,0.0013674467855988132,670.0,True,-0.7478075680911416,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
LAS1L,18,75.33333333333333,4.427155048432037,0.034939228734053,0.1024399798540644,0.0005939005455316197,640.0,True,-1.0494599869173846,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
EIF3J,19,78.0,4.239790990204322,0.0578741699143648,0.0787165738547264,0.0011660786330245862,316.0,True,-0.5819011721543028,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
EIF4A1,20,82.0,4.033672999113778,0.0431292146680157,0.0894256895582566,0.002264454724352272,62.0,True,-1.245994647314526,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SPOUT1,21,86.33333333333333,4.643847687024676,0.0295823993570024,0.1366516977165323,0.0002516344882385913,788.0,True,-1.3577038860079365,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
BMS1,22,86.33333333333333,5.7333284970747,0.027467459789585,0.2142591439009747,1.7056500219315422e-06,1603.0,True,-0.982993300101007,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
SEC23B,23,93.66666666666669,5.2855712136084865,0.0672707223728851,0.0582325860191817,1.4850263125591575e-05,,False,0.1068872227084116,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
OSBP,24,103.0,4.232254362979073,0.061274969344737,0.0633965799488545,0.0011947967471213038,1720.0,True,-0.4417770843735645,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
