rule,program,n_present,n_finite,hits
R1,HALLMARK_ADIPOGENESIS,147,9837,196
R1,HALLMARK_ALLOGRAFT_REJECTION,59,9837,20
R1,HALLMARK_ANDROGEN_RESPONSE,64,9837,18
R1,HALLMARK_ANGIOGENESIS,11,9837,0
R1,HALLMARK_APICAL_JUNCTION,82,9837,148
R1,HALLMARK_APICAL_SURFACE,12,9837,0
R1,HALLMARK_APOPTOSIS,85,9837,370
R1,HALLMARK_BILE_ACID_METABOLISM,42,9837,0
R1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,9837,736
R1,HALLMARK_COAGULATION,34,9837,83
R1,HALLMARK_COMPLEMENT,80,9837,303
R1,HALLMARK_DNA_REPAIR,131,9837,81
R1,HALLMARK_E2F_TARGETS,190,9837,5111
R1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,9837,834
R1,HALLMARK_ESTROGEN_RESPONSE_EARLY,76,9837,20
R1,HALLMARK_ESTROGEN_RESPONSE_LATE,76,9837,102
R1,HALLMARK_FATTY_ACID_METABOLISM,105,9837,76
R1,HALLMARK_G2M_CHECKPOINT,182,9837,4719
R1,HALLMARK_GLYCOLYSIS,117,9837,335
R1,HALLMARK_HEDGEHOG_SIGNALING,10,9837,0
R1,HALLMARK_HEME_METABOLISM,133,9837,2227
R1,HALLMARK_HYPOXIA,88,9837,86
R1,HALLMARK_IL2_STAT5_SIGNALING,89,9837,20
R1,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,9837,44
R1,HALLMARK_INFLAMMATORY_RESPONSE,51,9837,309
R1,HALLMARK_INTERFERON_ALPHA_RESPONSE,40,9837,110
R1,HALLMARK_INTERFERON_GAMMA_RESPONSE,74,9837,291
R1,HALLMARK_KRAS_SIGNALING_DN,26,9837,4
R1,HALLMARK_KRAS_SIGNALING_UP,52,9837,9
R1,HALLMARK_MITOTIC_SPINDLE,158,9837,1587
R1,HALLMARK_MTORC1_SIGNALING,176,9837,1677
R1,HALLMARK_MYC_TARGETS_V1,194,9837,5194
R1,HALLMARK_MYC_TARGETS_V2,55,9837,2901
R1,HALLMARK_MYOGENESIS,54,9837,0
R1,HALLMARK_NOTCH_SIGNALING,14,9837,0
R1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,9837,3120
R1,HALLMARK_P53_PATHWAY,119,9837,151
R1,HALLMARK_PEROXISOME,66,9837,0
R1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,18
R1,HALLMARK_PROTEIN_SECRETION,84,9837,256
R1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,43
R1,HALLMARK_SPERMATOGENESIS,56,9837,0
R1,HALLMARK_TGF_BETA_SIGNALING,36,9837,84
R1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,9837,2305
R1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,9837,542
R1,HALLMARK_UV_RESPONSE_DN,68,9837,31
R1,HALLMARK_UV_RESPONSE_UP,104,9837,3
R1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,9837,0
R1,HALLMARK_XENOBIOTIC_METABOLISM,85,9837,0
R2,HALLMARK_ADIPOGENESIS,147,9837,1232
R2,HALLMARK_ALLOGRAFT_REJECTION,59,9837,1088
R2,HALLMARK_ANDROGEN_RESPONSE,64,9837,1043
R2,HALLMARK_ANGIOGENESIS,11,9837,778
R2,HALLMARK_APICAL_JUNCTION,82,9837,1349
R2,HALLMARK_APICAL_SURFACE,12,9837,529
R2,HALLMARK_APOPTOSIS,85,9837,1713
R2,HALLMARK_BILE_ACID_METABOLISM,42,9837,827
R2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,9837,2001
R2,HALLMARK_COAGULATION,34,9837,1218
R2,HALLMARK_COMPLEMENT,80,9837,1506
R2,HALLMARK_DNA_REPAIR,131,9837,1255
R2,HALLMARK_E2F_TARGETS,190,9837,5640
R2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,9837,2195
R2,HALLMARK_ESTROGEN_RESPONSE_EARLY,76,9837,936
R2,HALLMARK_ESTROGEN_RESPONSE_LATE,76,9837,1046
R2,HALLMARK_FATTY_ACID_METABOLISM,105,9837,1212
R2,HALLMARK_G2M_CHECKPOINT,182,9837,5293
R2,HALLMARK_GLYCOLYSIS,117,9837,1494
R2,HALLMARK_HEDGEHOG_SIGNALING,10,9837,566
R2,HALLMARK_HEME_METABOLISM,133,9837,3282
R2,HALLMARK_HYPOXIA,88,9837,1396
R2,HALLMARK_IL2_STAT5_SIGNALING,89,9837,988
R2,HALLMARK_IL6_JAK_STAT3_SIGNALING,32,9837,1059
R2,HALLMARK_INFLAMMATORY_RESPONSE,51,9837,1630
R2,HALLMARK_INTERFERON_ALPHA_RESPONSE,40,9837,1243
R2,HALLMARK_INTERFERON_GAMMA_RESPONSE,74,9837,1460
R2,HALLMARK_KRAS_SIGNALING_DN,26,9837,909
R2,HALLMARK_KRAS_SIGNALING_UP,52,9837,994
R2,HALLMARK_MITOTIC_SPINDLE,158,9837,3028
R2,HALLMARK_MTORC1_SIGNALING,176,9837,2750
R2,HALLMARK_MYC_TARGETS_V1,194,9837,5642
R2,HALLMARK_MYC_TARGETS_V2,55,9837,3854
R2,HALLMARK_MYOGENESIS,54,9837,908
R2,HALLMARK_NOTCH_SIGNALING,14,9837,445
R2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,9837,4032
R2,HALLMARK_P53_PATHWAY,119,9837,1468
R2,HALLMARK_PEROXISOME,66,9837,824
R2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,9837,971
R2,HALLMARK_PROTEIN_SECRETION,84,9837,1332
R2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,9837,1080
R2,HALLMARK_SPERMATOGENESIS,56,9837,1153
R2,HALLMARK_TGF_BETA_SIGNALING,36,9837,1141
R2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,9837,3448
R2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,9837,1934
R2,HALLMARK_UV_RESPONSE_DN,68,9837,1063
R2,HALLMARK_UV_RESPONSE_UP,104,9837,866
R2,HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,9837,531
R2,HALLMARK_XENOBIOTIC_METABOLISM,85,9837,904
