program,n_present,n_present_indep,n_hits_q05,n_hits_indep,R_p,R_p_indep
HALLMARK_MYC_TARGETS_V1,194,194,5707,5707,3.7565,3.756484
HALLMARK_E2F_TARGETS,190,190,5668,5668,3.7535,3.753506
HALLMARK_G2M_CHECKPOINT,182,182,5229,5229,3.7185,3.718502
HALLMARK_OXIDATIVE_PHOSPHORYLATION,193,193,3321,3321,3.5214,3.5214
HALLMARK_MYC_TARGETS_V2,55,55,3012,3012,3.479,3.478999
HALLMARK_TNFA_SIGNALING_VIA_NFKB,78,78,2635,2635,3.4209,3.420945
HALLMARK_HEME_METABOLISM,133,133,2428,2428,3.3854,3.385428
HALLMARK_MITOTIC_SPINDLE,158,158,1754,1754,3.2443,3.244277
HALLMARK_MTORC1_SIGNALING,176,176,1706,1706,3.2322,3.232234
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,45,45,924,924,2.9661,2.966142
HALLMARK_CHOLESTEROL_HOMEOSTASIS,52,52,773,773,2.8887,2.888741
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,94,94,517,517,2.7143,2.71433
HALLMARK_APOPTOSIS,85,85,423,423,2.6274,2.627366
HALLMARK_INFLAMMATORY_RESPONSE,51,51,344,344,2.5378,2.537819
HALLMARK_GLYCOLYSIS,117,117,333,333,2.5237,2.523746
HALLMARK_COMPLEMENT,80,80,332,332,2.5224,2.522444
HALLMARK_INTERFERON_GAMMA_RESPONSE,74,74,296,296,2.4728,2.472756
HALLMARK_PROTEIN_SECRETION,84,84,266,266,2.4265,2.426511
HALLMARK_ADIPOGENESIS,147,147,192,192,2.2856,2.285557
HALLMARK_APICAL_JUNCTION,82,82,152,152,2.1847,2.184691
HALLMARK_P53_PATHWAY,119,119,151,151,2.1818,2.181844
HALLMARK_INTERFERON_ALPHA_RESPONSE,40,40,122,122,2.0899,2.089905
HALLMARK_HYPOXIA,88,88,99,99,2.0,2.0
HALLMARK_ESTROGEN_RESPONSE_LATE,76,76,95,95,1.9823,1.982271
HALLMARK_TGF_BETA_SIGNALING,36,36,89,89,1.9542,1.954243
HALLMARK_COAGULATION,34,34,84,84,1.9294,1.929419
HALLMARK_DNA_REPAIR,131,131,83,83,1.9243,1.924279
HALLMARK_FATTY_ACID_METABOLISM,105,105,62,62,1.7993,1.799341
HALLMARK_IL6_JAK_STAT3_SIGNALING,32,32,44,44,1.6532,1.653213
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,41,41,38,38,1.5911,1.591065
HALLMARK_UV_RESPONSE_DN,68,68,30,30,1.4914,1.491362
HALLMARK_PI3K_AKT_MTOR_SIGNALING,76,76,20,20,1.3222,1.322219
HALLMARK_ALLOGRAFT_REJECTION,59,59,18,18,1.2788,1.278754
HALLMARK_ANDROGEN_RESPONSE,64,64,16,16,1.2304,1.230449
HALLMARK_IL2_STAT5_SIGNALING,89,89,11,11,1.0792,1.079181
HALLMARK_KRAS_SIGNALING_UP,52,52,10,10,1.0414,1.041393
HALLMARK_ESTROGEN_RESPONSE_EARLY,76,76,9,9,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,26,26,4,4,0.699,0.69897
HALLMARK_UV_RESPONSE_UP,104,104,3,3,0.6021,0.60206
HALLMARK_SPERMATOGENESIS,56,56,0,0,0.0,0.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,20,20,0,0,0.0,0.0
HALLMARK_ANGIOGENESIS,11,11,0,0,0.0,0.0
HALLMARK_BILE_ACID_METABOLISM,42,42,0,0,0.0,0.0
HALLMARK_APICAL_SURFACE,12,12,0,0,0.0,0.0
HALLMARK_PEROXISOME,66,66,0,0,0.0,0.0
HALLMARK_PANCREAS_BETA_CELLS,9,9,0,0,0.0,0.0
HALLMARK_NOTCH_SIGNALING,14,14,0,0,0.0,0.0
HALLMARK_MYOGENESIS,54,54,0,0,0.0,0.0
HALLMARK_HEDGEHOG_SIGNALING,10,10,0,0,0.0,0.0
HALLMARK_XENOBIOTIC_METABOLISM,85,85,0,0,0.0,0.0
