pmid,resolved,doc,tier_a_n,tier_b_n,tier_a,tier_b
10.1101/2023.01.23.525275,False,,0,0,,
10.1101/2024.05.08.593110,False,,0,0,,
25307932,False,,0,0,,
26472758,False,,0,0,,
26627737,False,,0,0,,
26673326,False,,0,0,,
27018887,True,PMC4836973,0,0,,
27159373,True,PMC4900911,0,0,,
27260156,False,,0,0,,
27351204,True,PMC4924995,0,0,,
27383987,True,PMC4964798,0,1,,CAMERA
27667664,False,,0,0,,
27760321,True,PMC5081405,0,0,,
27869803,False,,0,0,,
28145866,True,PMC5305212,0,0,,
28162770,False,,0,0,,
28215525,False,,0,0,,
28474669,True,PMC5424143,0,0,,
28611215,False,,0,0,,
28700943,False,,0,0,,
28775154,False,,0,0,,
28877469,False,,0,0,,
28894007,False,,0,0,,
28985505,True,PMC5640507,0,1,,CAMERA
28985567,False,,0,0,,
29028833,True,PMC5640240,0,0,,
29038160,False,,0,0,,
29083409,True,PMC5709193,1,0,set size,
29211708,True,PMC5774979,0,0,,
29269392,True,PMC5777035,2,0,gene[- ]set size|set size,
29507424,True,PMC5893388,0,0,,
29576454,False,,0,0,,
29662178,False,,0,0,,
29736038,False,,0,0,,
29973717,True,PMC6071917,0,0,,
29987050,True,PMC6077722,0,0,,
30111820,True,PMC6093911,0,0,,
30154076,True,PMC6138439,0,0,,
30397336,False,,0,0,,
30414698,False,,0,0,,
30449619,False,,0,0,,
30532030,True,PMC6450769,0,0,,
30556811,True,PMC6312402,0,1,,CAMERA
30581143,False,,0,0,,
30647128,False,,0,0,,
30655525,True,PMC6336797,0,0,,
30862715,False,,0,0,,
30898113,True,PMC6429770,0,0,,
30951565,True,PMC6469816,0,0,,
30962421,True,PMC6453886,0,0,,
30971826,False,,0,0,,
30991026,False,,0,0,,
30995489,False,,0,0,,
31019072,False,,0,0,,
31040274,True,PMC6491561,0,1,,CAMERA
31048320,False,,0,0,,
31048321,False,,0,0,,
31142663,False,,0,0,,
31160565,True,PMC6546744,0,0,,
31294695,True,PMC6701926,0,0,,
31316073,True,PMC6637147,0,0,,
31353312,False,,0,0,,
31406246,False,,0,0,,
31451760,False,,0,0,,
31452512,True,PMC6713475,0,0,,
31462500,False,,0,0,,
31508509,True,PMC6733792,0,0,,
31519728,True,PMC6781443,0,1,,CAMERA
31519875,True,PMC6744515,0,0,,
31527793,True,PMC6879830,0,0,,
31540829,False,,0,0,,
31551363,False,,0,0,,
31692446,True,PMC6863627,0,0,,
31727847,True,PMC6911175,0,0,,
31730859,False,,0,0,,
31761535,False,,0,0,,
31801065,False,,0,0,,
31855178,True,PMC6968917,0,0,,
31921143,True,PMC6917608,0,0,,
32028983,True,PMC7006212,0,0,,
32094149,True,PMC7153937,0,0,,
32238925,True,PMC7368463,0,0,,
32259488,False,,0,0,,
32268084,True,PMC7166082,0,0,,
32416067,False,,0,0,,
32542389,True,PMC7367200,0,0,,
32585766,True,PMC7463323,0,0,,
32649862,False,,0,0,,
