gene,log2FC,t,p,q
PHLDA1,3.5801440422246835,14.82224359332124,4.232344297404629e-23,5.07415757815841e-19
CD24,3.0507312178361996,10.784381476978133,1.707992223870358e-16,1.023855938599086e-12
MMP7,3.7837415817695152,10.390917115261491,5.156829158858222e-16,2.0608408261850404e-12
AKR1B1,2.199612707356139,9.824059126691552,9.119737328566046e-15,2.233702732121119e-11
ZMAT3,1.7224133069933636,9.95828889624553,9.315634048382346e-15,2.233702732121119e-11
TIMP1,2.4982432925931874,9.50232647823183,2.2599055903949684e-14,4.51566802054088e-11
BLVRB,-0.8809763774569213,-10.134233723672626,5.438543724256772e-14,9.314671530016348e-11
SELENOW,1.3728407327694967,9.170542072734392,1.568006665321602e-13,2.169082442295556e-10
CCND2,1.385916827072971,9.034158537614235,1.628304444128785e-13,2.169082442295556e-10
LBH,2.281470223956448,8.960395417427229,2.568080884034149e-13,3.0788721718685415e-10
FABP5,-1.6114784636161197,-9.130863424505712,2.9927509627369484e-13,3.261826481113934e-10
MDK,3.1211228209773183,8.815562765184607,4.54410950840361e-13,4.539944074687574e-10
FDFT1,-0.8957865041980426,-8.748589680853323,7.915229698151302e-13,7.10944890027351e-10
DCXR,-1.244296057988178,-9.125331579006122,8.301967186907093e-13,7.10944890027351e-10
TNC,2.967022110277834,8.71039637028307,9.428128281614592e-13,7.535588664551823e-10
TESC,3.1219433759316315,9.25682656550116,2.52519934904164e-12,1.892163437228764e-09
CDKN1A,1.499722826109485,8.342510002274512,4.269138960247499e-12,3.0107474702592507e-09
LTBP3,1.0589653024120524,8.350578262133123,6.186546758617127e-12,4.120583838281152e-09
FCGR2A,1.7864155811547282,7.9921194121992105,1.5069670971266696e-11,9.508962382869285e-09
PDLIM4,3.0526767877443275,8.06565956729068,1.8311103905647485e-11,1.0976591236240384e-08
SLPI,-1.3022031185210547,-7.907780459452049,2.1447911020135825e-11,1.2244714534305163e-08
ACAT2,-1.3009076588474064,-7.906863281832429,2.2965199908328795e-11,1.2514990077316087e-08
VIM,1.3743052872427306,8.002075436094811,2.706688979915532e-11,1.4108910513133615e-08
CDKN2A,2.637436307340099,9.048651462199508,3.287537255279516e-11,1.6422618397310884e-08
CCND1,1.303350109328811,8.0678193574358,3.865916537233344e-11,1.8539389345956224e-08
MARCKSL1,2.5031509468543094,7.992632893132659,9.63399172874486e-11,4.4423818013816195e-08
GNMT,-2.1446426745993987,-7.610492689612333,1.3648535944435807e-10,6.060455460660773e-08
ZNF385A,1.5221049348001763,7.712770841262588,1.604731404969081e-10,6.591843141055385e-08
IGFBP2,3.3377340245589724,7.534493561438415,1.6234788169618371e-10,6.591843141055385e-08
RRM2B,1.1742318239173528,7.618024824185402,1.649472801999012e-10,6.591843141055385e-08
GSTA4,-1.270187672796684,-7.9348994265857895,1.8096399111731042e-10,6.998636417759467e-08
ERG28,-1.0280699796057693,-7.681910239766044,2.4059626937988426e-10,9.014089604985727e-08
C1orf210,-0.9637534681002959,-7.612217984406156,2.801728939827337e-10,1.017876613926968e-07
MGST1,-0.7749968930772546,-7.345989101141437,3.052073979278358e-10,1.0762151452225952e-07
CXCL14,4.410846689711553,8.14455847107863,3.8644097232364055e-10,1.3237259477680362e-07
FHL2,2.943998025633309,8.297879515834891,4.606109033778589e-10,1.5339622557214307e-07
SAT1,0.7698499856530994,7.279651927491382,4.90192811034943e-10,1.5883571922967382e-07
