gene,log2FC,t,p,q
C1orf54,1.5070893045896883,10.553121539368208,2.983230480026262e-16,3.3341703525539306e-12
APLNR,3.9553540469318063,10.942403535181317,5.522892748971229e-16,3.3341703525539306e-12
CCDC3,3.407402477378443,9.69317179357678,1.2848356532701269e-14,5.171035225861171e-11
COL15A1,4.903635306679886,9.169969970856481,3.7306147179919465e-13,1.1260860526258691e-09
FKBP10,1.271802619003119,8.521134274242696,1.8381183544642838e-12,4.438688202360352e-09
SPRY1,2.4327865132414743,8.3419527238327,2.7969473353114787e-11,5.628390354425132e-08
MMP2,2.4712078870921648,8.02721017558351,3.728824866253182e-11,6.431690205020132e-08
ENSG00000272449,-1.9830279885554047,-7.7011644720938754,5.123807526182147e-11,7.733106508890405e-08
HIPK2,-1.3861118209818892,-7.439094328586879,1.6009045826682094e-10,2.1477024367928844e-07
POSTN,2.4294754801996525,7.1572203227742826,5.471210877214163e-10,6.60594001314838e-07
THY1,2.539127733169928,7.224574685819089,7.37161573046498e-10,7.73516109294268e-07
BDKRB2,2.6466196839075034,7.133751567886021,7.69155108943483e-10,7.73516109294268e-07
PLSCR4,-0.9049116235868757,-7.173965990045901,8.328399387796492e-10,7.73516109294268e-07
CAMK1,-1.286121826099473,-7.087108324799501,1.920161318385195e-09,1.6560019827273462e-06
ZMAT3,1.708295135900756,6.858756818377612,2.2398370001551525e-09,1.8029194626582206e-06
LEF1,2.414563311554331,6.805328686017302,2.6353540250920454e-09,1.8519198164299506e-06
TMEM70,1.4070852369551687,6.858058587964927,2.669698361297847e-09,1.8519198164299506e-06
ENSG00000226197,2.78694892106314,7.073749973953921,2.8851449943786065e-09,1.8519198164299506e-06
DIO3OS,-2.513932036594089,-6.8198736094005605,2.9142352585861407e-09,1.8519198164299506e-06
PDLIM1,0.7796777501922154,6.739531568975526,3.176750807505273e-09,1.9178044624909335e-06
MDK,1.6659909452904769,7.010172819468308,3.4522932628211267e-09,1.956508888094581e-06
GPX3,-1.8209937995001582,-6.829775430987198,3.5649491086699334e-09,1.956508888094581e-06
ALDH2,-1.3059940275272899,-6.9434270911703955,4.3611327740883674e-09,2.2212033290544097e-06
MEIS2,-1.0288075356829713,-6.699506963708015,4.415179716523591e-09,2.2212033290544097e-06
GMDS,0.9970781664391293,6.65446681293136,5.507283856455863e-09,2.6597978113139237e-06
ADAMTSL1,2.4181578965876245,6.582421520497917,8.158617595952907e-09,3.788736494366746e-06
ZNF385D,2.8035575451798627,6.555647411308193,1.0589841334993378e-08,4.620986507698962e-06
FAM13C,2.464026375415705,6.4499342988546395,1.0716218503857127e-08,4.620986507698962e-06
FTH1,-0.7105923706500246,-6.560954134184214,1.3694077554036004e-08,5.701458358187266e-06
ENSG00000233461,1.6425760139935406,6.435260980469482,1.4184841706672785e-08,5.708925958878907e-06
COL18A1,0.823039093451972,6.375189608889953,1.4958445921058436e-08,5.826073420995469e-06
RAB3C,2.489322954038755,6.441320961573885,2.0496966192481164e-08,7.733761556500548e-06
LAMB1,1.6425911138735438,6.285138068473631,2.2865565500039258e-08,8.121205732926013e-06
MT-CO3,0.8155066355972362,6.367521973627487,2.286905705809876e-08,8.121205732926013e-06
RAI14,1.0132371075489628,6.349539944532154,3.040990537977171e-08,1.0490548501581817e-05
RASGEF1B,-1.9575379686292949,-6.317709236107693,3.3336345021342036e-08,1.1180639716324548e-05
IL15RA,-1.1201355821974266,-6.328248138157798,3.428244089720206e-08,1.1187194361968043e-05
SPP1,3.2750100868326184,6.394220678630547,4.5253035628523775e-08,1.4378556636284107e-05
SLPI,-1.5340406122879724,-6.081499133307852,5.073273828351461e-08,1.5706335436798856e-05
CPAMD8,-1.8016371156304416,-6.096822118944923,5.417679005727685e-08,1.635326407878902e-05
PTMA,0.4437900838067872,6.044434123661758,5.8071540041953235e-08,1.6656060559284537e-05
CLEC4E,-2.544820429388004,-6.120235680230549,5.8461076674549545e-08,1.6656060559284537e-05
HACD3,0.608776163447156,6.043936258745751,6.040988544552995e-08,1.6656060559284537e-05
SERPINF2,1.8504917592393837,6.181754476612125,6.06979182216763e-08,1.6656060559284537e-05
C2orf88,-2.0520174017566832,-6.256311439150691,6.26365398303546e-08,1.680607959803781e-05
CHCHD7,-0.7624415399036071,-6.057406652208106,6.49728281529939e-08,1.6882289464638208e-05
MTRF1L,-0.7520959984361006,-6.024359530973102,6.676978793169882e-08,1.6882289464638208e-05
ANKRD29,2.3828670660659608,6.098591402452119,6.711528029672304e-08,1.6882289464638208e-05
SQOR,-0.9369804063476739,-6.006638164804853,7.639189947115752e-08,1.8823587637035832e-05
C12orf57,-0.5364891709584132,-6.020124234437364,7.912706833790667e-08,1.8885703151581743e-05
CDKN2D,-1.3274840939473607,-6.011787666757641,7.977230915443672e-08,1.8885703151581743e-05
STXBP6,-1.957016057881277,-6.410002092911218,9.436055877630227e-08,2.1909795897405263e-05
LMCD1,0.8044356760916198,5.943553535849312,1.006212971716737e-07,2.2922670604731856e-05
HIF3A,-2.150377534593451,-6.033143671122884,1.0297023473066991e-07,2.3023381743298305e-05
BACE2,1.2354966489709263,5.897808485442642,1.0814518849855387e-07,2.3333682213229205e-05
