gene,log2FC,t,p,q
ITIH5,2.262266847897261,11.668812315261121,8.058201480975027e-15,9.51270684829102e-11
ENSG00000248491,3.128591742483271,9.187585278708353,8.630109535484514e-12,3.9339727000724844e-08
CCL11,5.571804454386665,9.436773721436815,9.997389326740749e-12,3.9339727000724844e-08
PLPPR4,3.6704185039451263,8.804058912954368,1.1858583834033358e-10,2.9589375197859144e-07
HTR2A,2.8728272923023175,8.35560991343946,1.253256043958456e-10,2.9589375197859144e-07
ROBO2,4.132688231063278,9.123339196806631,1.9611672874304504e-10,3.858596638019411e-07
POSTN,5.6307786789836065,8.915620080943452,2.91191177127345e-10,4.910731208554725e-07
PDE3B,3.142292784159802,8.390418486458444,4.869156563777418e-10,6.915650871145264e-07
SNAP25,2.6922776095819914,8.045665778966692,5.27241489540935e-10,6.915650871145264e-07
SUGCT,2.7823880225722784,7.835237097133039,1.2829458405685602e-09,1.5145175647911854e-06
CHRDL2,3.2857703683253234,7.9367468237847065,2.095017508154218e-09,2.2483346985236858e-06
COMP,5.280286904704043,7.6328261219736016,2.5314077302125036e-09,2.4902723545965505e-06
KIAA1217,2.9799434050554767,7.381636761376153,3.165433587850244e-09,2.8744571926593947e-06
COL8A1,1.9162368962297913,7.122748219312341,7.559047905334083e-09,6.366664618440474e-06
HMCN1,1.9125560759591824,7.285508000461525,8.089789858247108e-09,6.366664618440474e-06
ACKR2,-2.801983358863793,-6.898250999040019,2.2964414543827938e-08,1.694343210561805e-05
BMP5,3.6004497370521666,6.9001276286194955,2.7094322427759266e-08,1.8265557763124955e-05
CDH11,1.808513922974674,6.927524116218214,2.7850913997140974e-08,1.8265557763124955e-05
TDO2,3.6363356729146057,6.753385141546291,3.237337609829804e-08,2.0114089728442542e-05
DIRAS3,2.828720501391051,6.70629203654356,3.441418314907426e-08,2.031297160374108e-05
TSPAN11,2.7817789754340447,6.55442756083682,5.297146870308736e-08,2.9777532763806968e-05
TGFBI,3.3461865009940217,6.69911160073502,6.736322342717712e-08,3.6146493298082994e-05
LINC01028,-3.3364459912777464,-6.3877365404622966,9.505870177027411e-08,4.773116145853168e-05
COL13A1,3.014053157575071,6.683105211511497,9.703921008087761e-08,4.773116145853168e-05
SPOCK1,-2.8611497152399625,-6.362666058591633,1.0640377661234083e-07,4.964630575181768e-05
SSPN,1.0166694546389259,6.443983777840732,1.093438330832071e-07,4.964630575181768e-05
HPSE2,2.048147801216124,6.41996898773344,1.3044304182579808e-07,5.703259662050171e-05
COL14A1,1.5068688177163203,6.473539540938178,1.465519369654674e-07,6.178734342419081e-05
