gene,log2FC,t,p,q
PLPPR4,3.6053447897139157,9.664910959980359,9.33799663157209e-13,1.1327923713760103e-08
ENSG00000248491,2.696132072965372,9.18780997425714,3.1082242389757737e-12,1.8852934121507557e-08
TDO2,3.6204023107287804,8.770336457654803,1.5878512354941716e-11,6.420741112593266e-08
POSTN,4.977378811051635,8.723263800420476,2.924844454296004e-11,8.870322018766206e-08
ROBO2,3.36549431007599,8.628515125447926,6.455420773047615e-11,1.5662141879568122e-07
CCL11,4.856108870296078,8.564234102126653,1.512652749114777e-10,3.05833174991856e-07
SNAP25,2.349499704814086,7.802579117711149,3.4529488130620145e-10,5.983960293036471e-07
COMP,4.631059982650774,7.7100415965056746,5.587031501250002e-10,8.472034892707972e-07
PTGER1,2.8935997798032562,7.56834893960635,7.83726503624392e-10,1.0563762461630555e-06
SPOCK1,-3.1010822157202336,-7.4959751970687964,1.2894655048907384e-09,1.5642506039829547e-06
FHL2,1.9031034154125699,7.403376182503189,1.8775313793175195e-09,2.0705757420455297e-06
SUGCT,2.2993936568204596,7.344976507068171,2.5936183610435977e-09,2.621932028151657e-06
PDE3B,2.6120865024845097,7.118963195738604,4.1618999660301315e-09,3.883692960608579e-06
BMP5,3.1676708225689683,6.9549914287998895,8.10044914755352e-09,6.818711974194902e-06
TGFBI,3.056707469833082,7.22558606167169,8.431347754754228e-09,6.818711974194902e-06
COL8A1,1.5374682176143617,6.808561444725731,1.1964106287797526e-08,9.071035836079486e-06
HTR2A,2.34908466970463,6.742705898931017,1.689154819929656e-08,1.2053610070921564e-05
HOMER1,2.4663134758547907,6.461985004533623,4.171622339129404e-08,2.7405362231079634e-05
FDFT1,-0.8943438978793372,-6.465993314499681,4.2923244777059845e-08,2.7405362231079634e-05
ARC,3.249250141902656,6.374778072014398,6.064591853528535e-08,3.6784781887577326e-05
TKT,-0.8939607099118749,-6.32438404720846,6.916801431332136e-08,3.995605626832864e-05
ACKR2,-2.2789258374798265,-6.286432024114408,7.932438665871804e-08,4.3740187934404934e-05
CDH11,1.4847637348108966,6.305134576581562,8.502492353110608e-08,4.424663547139541e-05
NFATC2,2.4600277364398835,6.790146373990151,8.753765157971229e-08,4.424663547139541e-05
MXRA5,3.099489344647318,6.895668584164306,9.699273029649339e-08,4.7064752449070454e-05
