gene,log2FC,t,p,q
CXCL14,4.586586071303617,11.323948861310084,7.838822920844691e-17,9.84007441253634e-13
CDKN2A,3.1442031072789933,11.191805436242419,2.531578095695991e-16,1.588944991763589e-12
NPC2,1.5808754698149574,10.66931518182381,2.9553682345915934e-15,1.2366245816276091e-11
ZMAT3,1.8828721005160993,10.733829447670724,1.8285780118712818e-14,5.0540226486274733e-11
KCNN4,2.455746842657855,10.389960151994174,2.013073627271359e-14,5.0540226486274733e-11
CRIP2,1.3745685236219272,10.003292938536248,3.768381159109536e-14,7.884081448383668e-11
HES2,1.4559327451414212,9.587611363882536,1.5737831616655237e-13,2.660724633736707e-10
IGHG4,3.117172632013446,9.689612841976079,1.6956741073762173e-13,2.660724633736707e-10
IGFBP6,2.5805879083788805,9.194150470479213,3.0633554083997587e-13,4.1948529637150355e-10
HMCN1,2.9566778613555416,9.158525130912563,3.448676774582796e-13,4.1948529637150355e-10
WIF1,3.1632417380389497,9.385181804497236,3.67588485627861e-13,4.1948529637150355e-10
TMEM59L,2.291143480080528,9.80513417014435,4.122049341621893e-13,4.3120071154483013e-10
SELENOW,1.4323103737170744,9.25956107485785,7.523878317574185e-13,7.265172655423749e-10
RAB31,2.026720418701558,9.09953300902488,8.254046137598765e-13,7.400931511805521e-10
EMB,1.5808480983974782,8.899323536672027,1.0398486774275652e-12,8.702146965165483e-10
RAB7B,2.3029592511501114,9.185680127894821,1.2147766682321971e-12,9.530682197699233e-10
OCIAD2,1.0026464063357388,9.122885981954468,1.8946519343547997e-12,1.3990332783503413e-09
CPNE4,1.526128824829445,8.82263447664543,3.362012459128582e-12,2.3446301333022824e-09
LY6D,3.549717248265834,8.414453043307496,6.843201540292924e-12,4.521195207120898e-09
GLB1L3,1.6555239992241464,8.677553737320848,7.492651847509366e-12,4.702762932089254e-09
NRP2,1.7646699267664765,8.332095386375961,1.2932405313888962e-11,7.202794105683998e-09
CAPN13,1.5869784866143561,8.351806891552693,1.2998954381079778e-11,7.202794105683998e-09
ITGB4,1.2827582422113908,8.94661955887491,1.319718508967832e-11,7.202794105683998e-09
MX2,2.178364815968802,8.347018048993538,1.497593299554059e-11,7.833036953875876e-09
GPC1,1.3717202037793288,8.862420543717223,1.77131847716576e-11,8.894144337544714e-09
PCP4,2.488623485718508,8.145313476001284,2.2026522923285638e-11,1.0441556874262253e-08
IGHG2,1.6731004107401513,8.165977663426235,2.245853864455356e-11,1.0441556874262253e-08
CRLF1,2.856137231566305,9.080928308562939,3.0110549798764e-11,1.3499204700853016e-08
PSTPIP2,1.3602867459409884,8.13103655902213,3.591565040174174e-11,1.5546522741140137e-08
TFAP2A,1.270565084828871,8.550348730828322,3.8491796721703223e-11,1.610625080825135e-08
