program,n_declared,n_present,frac_present,expr_ratio,sd_ratio,essentiality_density,coherence,n_hits_q05,R_p,scoreable
HALLMARK_ADIPOGENESIS,200,157,0.785,1.1842,1.0483,0.1083,0.0314,68,1.8388,True
HALLMARK_ALLOGRAFT_REJECTION,200,68,0.34,1.7727,1.2174,0.1765,0.0053,1,0.301,True
HALLMARK_ANDROGEN_RESPONSE,101,74,0.7327,1.7547,1.2036,0.2027,0.0377,9,1.0,True
HALLMARK_ANGIOGENESIS,36,15,0.4167,3.2048,1.5299,0.1333,0.109,383,2.5843,True
HALLMARK_APICAL_JUNCTION,200,103,0.515,1.9221,1.1962,0.0874,0.0643,950,2.9782,True
HALLMARK_APICAL_SURFACE,44,18,0.4091,1.4317,1.0332,0.0,0.0309,1,0.301,True
HALLMARK_APOPTOSIS,161,104,0.646,1.9394,1.4821,0.1538,0.0373,1154,3.0626,True
HALLMARK_BILE_ACID_METABOLISM,112,51,0.4554,0.7567,1.0032,0.0392,0.0366,5,0.7782,True
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,52,0.7027,0.8263,1.3307,0.1154,0.0704,71,1.8573,True
HALLMARK_COAGULATION,138,57,0.413,2.642,1.5654,0.0702,0.0909,1448,3.1611,True
HALLMARK_COMPLEMENT,200,96,0.48,1.3829,1.1784,0.0625,0.0318,370,2.5694,True
HALLMARK_DNA_REPAIR,150,135,0.9,1.4993,1.1059,0.5037,0.0435,185,2.2695,True
HALLMARK_E2F_TARGETS,200,187,0.935,1.9374,1.2625,0.5134,0.5203,2399,3.3802,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,132,0.66,3.1943,1.7469,0.0303,0.1059,1872,3.2725,True
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,98,0.49,1.0629,1.1762,0.0816,0.0265,708,2.8506,True
HALLMARK_ESTROGEN_RESPONSE_LATE,200,89,0.445,1.3782,1.2205,0.1236,0.037,128,2.1106,True
HALLMARK_FATTY_ACID_METABOLISM,158,106,0.6709,1.3957,1.0177,0.0849,0.0597,343,2.5366,True
HALLMARK_G2M_CHECKPOINT,200,181,0.905,1.7526,1.2187,0.4862,0.374,2363,3.3736,True
HALLMARK_GLYCOLYSIS,200,146,0.73,1.6658,1.1802,0.1507,0.0331,443,2.6474,True
HALLMARK_HEDGEHOG_SIGNALING,36,16,0.4444,1.0587,1.0651,0.0625,0.0275,0,0.0,True
HALLMARK_HEME_METABOLISM,200,118,0.59,1.3162,1.0773,0.0593,0.0428,744,2.8722,True
HALLMARK_HYPOXIA,200,130,0.65,1.9087,1.378,0.0462,0.0409,1183,3.0734,True
HALLMARK_IL2_STAT5_SIGNALING,199,106,0.5327,1.1671,1.1335,0.0755,0.0228,59,1.7782,True
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,37,0.4253,1.3313,1.0864,0.0541,0.0571,409,2.6128,True
HALLMARK_INFLAMMATORY_RESPONSE,200,70,0.35,1.4179,1.1789,0.0286,0.0369,140,2.1492,True
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,53,0.5464,0.7573,1.0169,0.0943,0.052,274,2.4393,True
HALLMARK_INTERFERON_GAMMA_RESPONSE,200,90,0.45,0.8781,1.1153,0.1,0.0373,468,2.6712,True
HALLMARK_KRAS_SIGNALING_DN,200,25,0.125,0.5989,1.1579,0.08,0.0509,354,2.5502,True
HALLMARK_KRAS_SIGNALING_UP,200,77,0.385,1.2539,1.2103,0.039,0.0377,869,2.9395,True
HALLMARK_MITOTIC_SPINDLE,199,171,0.8593,1.4679,1.0533,0.2339,0.0995,1849,3.2672,True
HALLMARK_MTORC1_SIGNALING,200,180,0.9,1.8381,1.2983,0.3111,0.07,1516,3.181,True
HALLMARK_MYC_TARGETS_V1,200,194,0.97,5.4263,1.3304,0.6546,0.3041,2325,3.3666,True
HALLMARK_MYC_TARGETS_V2,58,54,0.931,1.0676,0.9668,0.6852,0.2913,1921,3.2838,True
HALLMARK_MYOGENESIS,200,86,0.43,1.3489,1.3357,0.0349,0.0516,1368,3.1364,True
HALLMARK_NOTCH_SIGNALING,32,19,0.5938,1.4053,1.059,0.2105,0.0246,0,0.0,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,194,0.97,3.2216,1.1068,0.2784,0.0424,532,2.7267,True
HALLMARK_P53_PATHWAY,200,135,0.675,1.2925,1.4011,0.1259,0.0763,1819,3.2601,True
HALLMARK_PANCREAS_BETA_CELLS,40,9,0.225,1.6014,1.0658,0.4444,-0.0009,0,0.0,False
HALLMARK_PEROXISOME,104,68,0.6538,1.2832,1.0988,0.1176,0.0293,0,0.0,True
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,78,0.7429,1.3647,1.1047,0.2436,0.0337,0,0.0,True
HALLMARK_PROTEIN_SECRETION,96,87,0.9062,2.0259,1.1148,0.2299,0.0818,990,2.9961,True
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,42,0.8571,2.0919,1.3869,0.1667,0.0529,131,2.1206,True
HALLMARK_SPERMATOGENESIS,135,55,0.4074,0.9444,1.0694,0.2182,0.0873,1204,3.081,True
HALLMARK_TGF_BETA_SIGNALING,54,49,0.9074,1.4617,1.0798,0.0816,0.0567,286,2.4579,True
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,119,0.595,1.2648,1.4202,0.0672,0.0846,1659,3.2201,True
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,99,0.8761,1.9613,1.274,0.4242,0.0583,617,2.791,True
HALLMARK_UV_RESPONSE_DN,144,117,0.8125,1.4307,1.0936,0.0256,0.0422,874,2.942,True
HALLMARK_UV_RESPONSE_UP,158,98,0.6203,1.4705,1.1175,0.2653,0.0409,21,1.3424,True
HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,25,0.5952,0.8084,0.9403,0.12,0.0236,0,0.0,True
HALLMARK_XENOBIOTIC_METABOLISM,200,100,0.5,1.2079,1.1246,0.09,0.0247,5,0.7782,True
